Region,Left,Right,Ratio
Amygdala,0.954036,0.933272,1.0222486049083226
Anterior_temporal_lobe_lateral_part,0.817055,0.865214,0.944338626050896
Anterior_temporal_lobe_medial_part,0.733149,0.795235,0.9219274805560621
Caudate_nucleus,0.777107,0.781496,0.9943838484138114
Cerebellum,0.842951,0.900189,0.9364155749514824
Cuneus,0.780914,0.793253,0.9844450635547549
Fusiform_gyrus,0.744547,0.787668,0.9452548535677467
Gyrus_cinguli_anterior_part,0.989904,0.996826,0.9930559596158206
Gyrus_cinguli_posterior_part,0.99884,0.908833,1.0990357964554545
Gyrus_rectus,0.848536,0.788178,1.0765791483649632
Hippocampus,0.829696,0.881561,0.9411668619641749
Inferior_frontal_gyrus,0.87456,0.887164,0.9857929311829606
Inferolateral_remainder_of_parietal_lobe,0.753833,0.737634,1.0219607556050831
Insula,0.950157,0.959992,0.9897551229593581
Lateral_remainder_of_occipital_lobe,0.798653,0.821065,0.9727037445269253
Lateral_ventricle_excluding_temporal_horn,0.542549,0.514601,1.054310038262654
Lateral_ventricle_temporal_horn,0.858067,0.558567,1.536193509462607
Lingual_gyrus,0.888298,0.846854,1.0489387781128743
Middle_and_inferior_temporal_gyri,0.794062,0.841122,0.9440509224583354
Middle_frontal_gyrus,0.82746,0.824585,1.003486602351486
Nucleus_accumbens,0.919604,0.875109,1.0508450947253427
Orbitofrontal_gyri,0.7821,0.810715,0.9647039958555104
Pallidum,0.968606,0.935006,1.0359355982742355
Parahippocampal_and_ambient_gyri,0.727407,0.75572,0.9625350658974224
Postcentral_gyrus,0.731547,0.730854,1.0009482057976011
Posterior_temporal_lobe,0.845983,0.876447,0.9652414806599829
Precentral_gyrus,0.785875,0.785806,1.0000878079322377
Putamen,0.905763,0.901871,1.004315473055459
Superior_frontal_gyrus,0.829879,0.857787,0.9674651166315181
Superior_parietal_gyrus,0.726162,0.725518,1.0008876416574088
Superior_temporal_gyrus,0.829169,0.881686,0.9404357106725071
Thalamus,0.901378,0.904177,0.9969043671758959
Amygdala,0.454084,0.418206,1.0857902564764732
Anterior_temporal_lobe_lateral_part,0.59928,0.550465,1.0886795709082322
Anterior_temporal_lobe_medial_part,0.515615,0.465648,1.1073063773494143
Caudate_nucleus,0.349886,0.376012,0.9305181749518632
Cerebellum,0.472388,0.465473,1.01485585630101
Cuneus,0.481918,0.492397,0.9787183918667255
Fusiform_gyrus,0.403477,0.491233,0.8213556499665128
Gyrus_cinguli_anterior_part,0.623671,0.608214,1.0254137523963605
Gyrus_cinguli_posterior_part,0.675077,0.561474,1.2023299386970723
Gyrus_rectus,0.404648,0.366852,1.1030279240674714
Hippocampus,0.451949,0.475416,0.9506390193009912
Inferior_frontal_gyrus,0.497684,0.536643,0.9274023885525388
Inferolateral_remainder_of_parietal_lobe,0.439269,0.437526,1.003983763250641
Insula,0.45552,0.450902,1.0102416933169514
Lateral_remainder_of_occipital_lobe,0.423705,0.460677,0.9197442025540672
Lateral_ventricle_excluding_temporal_horn,0.18243,0.21802,0.8367580955875609
Lateral_ventricle_temporal_horn,0.499177,0.405628,1.2306275700888498
Lingual_gyrus,0.464623,0.408692,1.136853669756198
Middle_and_inferior_temporal_gyri,0.458417,0.492293,0.9311873213716223
Middle_frontal_gyrus,0.403866,0.406062,0.9945919588634249
Nucleus_accumbens,0.417165,0.469743,0.8880707110058053
Orbitofrontal_gyri,0.411739,0.441849,0.931854547594314
Pallidum,0.442484,0.401319,1.1025742613731222
Parahippocampal_and_ambient_gyri,0.316557,0.384852,0.8225421720557512
Postcentral_gyrus,0.418938,0.418947,0.999978517569048
Posterior_temporal_lobe,0.383351,0.389288,0.9847490803723721
Precentral_gyrus,0.464576,0.434368,1.0695447178429351
Putamen,0.589487,0.559663,1.0532892115433752
Superior_frontal_gyrus,0.443519,0.434498,1.0207618907336742
Superior_parietal_gyrus,0.427416,0.436384,0.9794492923663563
Superior_temporal_gyrus,0.481893,0.480389,1.003130796084007
Thalamus,0.333446,0.356385,0.9356342158059402
