Region,Left,Right,Ratio
Amygdala,0.944792,0.921172,1.0256412483227888
Anterior_temporal_lobe_lateral_part,0.812641,0.851109,0.9548024988573731
Anterior_temporal_lobe_medial_part,0.712149,0.790743,0.9006074034167866
Caudate_nucleus,0.78097,0.777261,1.0047718848623566
Cerebellum,0.833456,0.89042,0.9360256957390894
Cuneus,0.785922,0.790542,0.99415590822499
Fusiform_gyrus,0.722744,0.77842,0.928475630122556
Gyrus_cinguli_anterior_part,0.986031,0.996815,0.9891815432151402
Gyrus_cinguli_posterior_part,0.992522,0.908732,1.0922054026929833
Gyrus_rectus,0.848167,0.768392,1.1038207060979293
Hippocampus,0.813185,0.857568,0.9482455035635659
Inferior_frontal_gyrus,0.874864,0.891726,0.9810906040644771
Inferolateral_remainder_of_parietal_lobe,0.760904,0.739511,1.028928575775073
Insula,0.942617,0.962782,0.979055487119618
Lateral_remainder_of_occipital_lobe,0.798353,0.820904,0.9725290655180143
Lateral_ventricle_excluding_temporal_horn,0.536112,0.513414,1.0442099358412509
Lateral_ventricle_temporal_horn,0.830323,0.547707,1.5159985174555008
Lingual_gyrus,0.887098,0.850028,1.0436103281303675
Middle_and_inferior_temporal_gyri,0.785425,0.836266,0.9392047506415424
Middle_frontal_gyrus,0.833445,0.828998,1.0053643072721525
Nucleus_accumbens,0.89065,0.861208,1.0341868631039193
Orbitofrontal_gyri,0.782678,0.806215,0.9708055543496461
Pallidum,0.946172,0.940204,1.0063475586149389
Parahippocampal_and_ambient_gyri,0.732166,0.756249,0.9681546686342726
Postcentral_gyrus,0.736721,0.736798,0.9998954937445541
Posterior_temporal_lobe,0.846094,0.873002,0.9691776192952595
Precentral_gyrus,0.78961,0.789465,1.0001836686870222
Putamen,0.907306,0.905663,1.0018141405798846
Superior_frontal_gyrus,0.836762,0.867099,0.9650132222502852
Superior_parietal_gyrus,0.732086,0.731469,1.0008435080639098
Superior_temporal_gyrus,0.831579,0.88822,0.9362308887437797
Thalamus,0.905876,0.916861,0.9880189036287943
Amygdala,0.441831,0.45617,0.9685665431746936
Anterior_temporal_lobe_lateral_part,0.6002,0.544822,1.1016442067317398
Anterior_temporal_lobe_medial_part,0.515469,0.462855,1.1136727484849465
Caudate_nucleus,0.360153,0.376003,0.9578460810153111
Cerebellum,0.478444,0.465232,1.0283987343948826
Cuneus,0.482223,0.490319,0.9834883004737732
Fusiform_gyrus,0.401538,0.490224,0.8190908645843533
Gyrus_cinguli_anterior_part,0.621311,0.596408,1.041754973105659
Gyrus_cinguli_posterior_part,0.661134,0.557328,1.1862565670484884
Gyrus_rectus,0.405964,0.354983,1.1436153280579633
Hippocampus,0.463203,0.497519,0.9310257497703605
Inferior_frontal_gyrus,0.498489,0.539937,0.9232354885847793
Inferolateral_remainder_of_parietal_lobe,0.436562,0.438405,0.9957961245879952
Insula,0.44944,0.455511,0.986672111101598
Lateral_remainder_of_occipital_lobe,0.422732,0.461666,0.9156663042112696
Lateral_ventricle_excluding_temporal_horn,0.181546,0.213891,0.8487781159562582
Lateral_ventricle_temporal_horn,0.508688,0.402589,1.2635417261773174
Lingual_gyrus,0.466789,0.407855,1.1444974316852803
Middle_and_inferior_temporal_gyri,0.459886,0.494404,0.9301826037006173
Middle_frontal_gyrus,0.401426,0.405133,0.9908499184218515
Nucleus_accumbens,0.397666,0.51285,0.7754041142634298
Orbitofrontal_gyri,0.415096,0.440225,0.9429178261116475
Pallidum,0.434955,0.39462,1.102212254827429
Parahippocampal_and_ambient_gyri,0.323928,0.392468,0.825361558139772
Postcentral_gyrus,0.420751,0.419846,1.002155552273929
Posterior_temporal_lobe,0.385514,0.390716,0.9866859816337187
Precentral_gyrus,0.467928,0.435936,1.0733869191807972
Putamen,0.586801,0.565972,1.0368021739591358
Superior_frontal_gyrus,0.439486,0.435048,1.0102011732038763
Superior_parietal_gyrus,0.426224,0.435534,0.9786239421032572
Superior_temporal_gyrus,0.485989,0.4791,1.01437904404091
Thalamus,0.341095,0.353317,0.9654078348904808
