Region,Left,Right,Ratio
Amygdala,0.952087,0.949283,1.0029538082953133
Anterior_temporal_lobe_lateral_part,0.835094,0.882961,0.9457880925658099
Anterior_temporal_lobe_medial_part,0.751413,0.82032,0.9159998537156231
Caudate_nucleus,0.67364,0.682861,0.9864965197895326
Cerebellum,0.850296,0.910234,0.9341509985344428
Cuneus,0.763655,0.778645,0.9807486081590454
Fusiform_gyrus,0.760675,0.789078,0.9640048258854005
Gyrus_cinguli_anterior_part,0.986739,0.993574,0.9931207942236815
Gyrus_cinguli_posterior_part,0.998235,0.902543,1.1060248652972766
Gyrus_rectus,0.860723,0.788007,1.0922783680855628
Hippocampus,0.805297,0.881058,0.9140113363705908
Inferior_frontal_gyrus,0.876176,0.882575,0.9927496246777894
Inferolateral_remainder_of_parietal_lobe,0.753373,0.732043,1.0291376326254058
Insula,0.933945,0.944927,0.9883779381899344
Lateral_remainder_of_occipital_lobe,0.80268,0.823907,0.9742361698589768
Lateral_ventricle_excluding_temporal_horn,0.50768,0.453701,1.1189748314418526
Lateral_ventricle_temporal_horn,0.864568,0.559341,1.5456903749233473
Lingual_gyrus,0.875618,0.818645,1.0695942685779551
Middle_and_inferior_temporal_gyri,0.801007,0.850479,0.9418304273238963
Middle_frontal_gyrus,0.832533,0.829896,1.0031775065791377
Nucleus_accumbens,0.837157,0.812295,1.030607107023926
Orbitofrontal_gyri,0.798266,0.828083,0.9639927398582027
Pallidum,0.932229,0.861322,1.0823234516243634
Parahippocampal_and_ambient_gyri,0.680479,0.71399,0.9530651689799576
Postcentral_gyrus,0.715119,0.715218,0.999861580664916
Posterior_temporal_lobe,0.84148,0.877335,0.9591319165427118
Precentral_gyrus,0.785631,0.779337,1.0080760954503636
Putamen,0.902639,0.894155,1.0094882878248177
Superior_frontal_gyrus,0.830628,0.859556,0.9663454155401161
Superior_parietal_gyrus,0.718424,0.711484,1.0097542601098548
Superior_temporal_gyrus,0.823063,0.867063,0.949253975778
Thalamus,0.882466,0.879718,1.003123728285655
Amygdala,0.441301,0.40784,1.082044429187917
Anterior_temporal_lobe_lateral_part,0.634348,0.5816,1.0906946354883083
Anterior_temporal_lobe_medial_part,0.538491,0.467308,1.1523256610201411
Caudate_nucleus,0.350591,0.382616,0.9162998933656721
Cerebellum,0.491129,0.479903,1.0233922271792424
Cuneus,0.507861,0.509066,0.9976329198964378
Fusiform_gyrus,0.431269,0.52011,0.8291880563726904
Gyrus_cinguli_anterior_part,0.655821,0.621509,1.0552075673884047
Gyrus_cinguli_posterior_part,0.688124,0.589845,1.1666183488882673
Gyrus_rectus,0.437787,0.387546,1.1296388041677632
Hippocampus,0.44503,0.47117,0.9445210858076702
Inferior_frontal_gyrus,0.510438,0.562499,0.9074469465723494
Inferolateral_remainder_of_parietal_lobe,0.450063,0.451272,0.9973209062383662
Insula,0.482513,0.481224,1.002678586271674
Lateral_remainder_of_occipital_lobe,0.435782,0.478774,0.9102039793305401
Lateral_ventricle_excluding_temporal_horn,0.208014,0.236534,0.8794253680232018
Lateral_ventricle_temporal_horn,0.499197,0.396893,1.2577621676371213
Lingual_gyrus,0.47415,0.413889,1.1455970078934208
Middle_and_inferior_temporal_gyri,0.459502,0.513905,0.8941380216187819
Middle_frontal_gyrus,0.409501,0.410255,0.998162118682283
Nucleus_accumbens,0.38496,0.426489,0.9026258590491197
Orbitofrontal_gyri,0.427664,0.442972,0.9654425110390725
Pallidum,0.449258,0.430275,1.0441182964383242
Parahippocampal_and_ambient_gyri,0.341907,0.41382,0.826221545599536
Postcentral_gyrus,0.433299,0.429077,1.0098397257368723
Posterior_temporal_lobe,0.39313,0.40019,0.9823583797696094
Precentral_gyrus,0.472778,0.447141,1.057335381904142
Putamen,0.659927,0.632713,1.0430116024168936
Superior_frontal_gyrus,0.460746,0.455206,1.0121703140995506
Superior_parietal_gyrus,0.440187,0.449653,0.9789482111761736
Superior_temporal_gyrus,0.504981,0.509978,0.9902015381055653
Thalamus,0.335722,0.359504,0.9338477457830789
