Region,Left,Right,Ratio
Amygdala,0.866174,0.853583,1.0147507623746022
Anterior_temporal_lobe_lateral_part,0.740964,0.779548,0.950504651413383
Anterior_temporal_lobe_medial_part,0.664621,0.726271,0.9151143306011117
Caudate_nucleus,0.637542,0.645761,0.9872723809582803
Cerebellum,0.789238,0.842545,0.9367309757935778
Cuneus,0.739035,0.744543,0.9926021734137586
Fusiform_gyrus,0.68023,0.723852,0.939736299685571
Gyrus_cinguli_anterior_part,0.956334,0.960456,0.9957082885629327
Gyrus_cinguli_posterior_part,0.950591,0.872752,1.0891879938401745
Gyrus_rectus,0.784312,0.716615,1.0944677406975851
Hippocampus,0.74674,0.795642,0.938537684033774
Inferior_frontal_gyrus,0.815248,0.824732,0.98850050683131
Inferolateral_remainder_of_parietal_lobe,0.710576,0.688437,1.0321583529066567
Insula,0.898395,0.903339,0.9945269716020232
Lateral_remainder_of_occipital_lobe,0.730639,0.751002,0.9728855582275414
Lateral_ventricle_excluding_temporal_horn,0.475993,0.441459,1.0782269701150051
Lateral_ventricle_temporal_horn,0.782293,0.556878,1.4047834534673664
Lingual_gyrus,0.844713,0.792208,1.0662767858946136
Middle_and_inferior_temporal_gyri,0.734668,0.77068,0.9532724347329631
Middle_frontal_gyrus,0.76947,0.760076,1.0123592903867509
Nucleus_accumbens,0.775008,0.74904,1.0346683755206665
Orbitofrontal_gyri,0.700593,0.725906,0.9651290938496169
Pallidum,0.887462,0.838235,1.0587269679743747
Parahippocampal_and_ambient_gyri,0.640672,0.676944,0.9464180198066605
Postcentral_gyrus,0.682863,0.680124,1.0040272068034652
Posterior_temporal_lobe,0.785836,0.812778,0.966851957114981
Precentral_gyrus,0.744126,0.74198,1.0028922612469338
Putamen,0.857918,0.85754,1.000440795764629
Superior_frontal_gyrus,0.783002,0.815778,0.9598224026634696
Superior_parietal_gyrus,0.692631,0.689571,1.0044375416019524
Superior_temporal_gyrus,0.778464,0.819222,0.9502479181467295
Thalamus,0.826379,0.825413,1.0011703232200122
Amygdala,0.496491,0.466058,1.0652987396418472
Anterior_temporal_lobe_lateral_part,0.665221,0.629133,1.0573614800050226
Anterior_temporal_lobe_medial_part,0.540316,0.500363,1.0798480303299804
Caudate_nucleus,0.371947,0.395197,0.9411685817453068
Cerebellum,0.533484,0.523553,1.0189684711958482
Cuneus,0.53907,0.545794,0.9876803336057195
Fusiform_gyrus,0.453117,0.530038,0.8548764428210808
Gyrus_cinguli_anterior_part,0.68521,0.656817,1.0432281746666119
Gyrus_cinguli_posterior_part,0.696793,0.606976,1.1479745492408266
Gyrus_rectus,0.45602,0.406793,1.1210124068014935
Hippocampus,0.485275,0.507443,0.9563143052520185
Inferior_frontal_gyrus,0.568721,0.616415,0.9226268017488218
Inferolateral_remainder_of_parietal_lobe,0.475863,0.475859,1.000008405851313
Insula,0.52005,0.519197,1.001642921665572
Lateral_remainder_of_occipital_lobe,0.470678,0.51217,0.9189878360700549
Lateral_ventricle_excluding_temporal_horn,0.222457,0.247979,0.8970799946769685
Lateral_ventricle_temporal_horn,0.533022,0.44073,1.2094071200054455
Lingual_gyrus,0.505624,0.4491,1.125860610109107
Middle_and_inferior_temporal_gyri,0.512266,0.552961,0.9264052980228261
Middle_frontal_gyrus,0.447042,0.450145,0.9931066656299636
Nucleus_accumbens,0.413707,0.445316,0.929018943851108
Orbitofrontal_gyri,0.474405,0.498064,0.9524980725368628
Pallidum,0.488014,0.465824,1.0476360170364774
Parahippocampal_and_ambient_gyri,0.37086,0.443487,0.8362364623991233
Postcentral_gyrus,0.460173,0.453417,1.0149001912147095
Posterior_temporal_lobe,0.423365,0.436377,0.9701817465173462
Precentral_gyrus,0.503435,0.474075,1.0619311290407634
Putamen,0.674837,0.651435,1.0359237682961462
Superior_frontal_gyrus,0.498793,0.496041,1.005547928497846
Superior_parietal_gyrus,0.460746,0.469442,0.981475879874404
Superior_temporal_gyrus,0.551348,0.55991,0.9847082566841098
Thalamus,0.374656,0.39132,0.9574159255851988
