Region,Left,Right,Ratio
Amygdala,0.97599,0.973122,1.0029472152515306
Anterior_temporal_lobe_lateral_part,0.827286,0.881498,0.9385001440729304
Anterior_temporal_lobe_medial_part,0.745452,0.829211,0.8989895213642848
Caudate_nucleus,0.814383,0.809008,1.0066439392441113
Cerebellum,0.862325,0.927047,0.9301847694884942
Cuneus,0.792495,0.805508,0.9838449773310755
Fusiform_gyrus,0.766104,0.817944,0.9366215780053402
Gyrus_cinguli_anterior_part,0.995038,1.00857,0.986582983828589
Gyrus_cinguli_posterior_part,1.0086,0.923972,1.0915915200893533
Gyrus_rectus,0.863635,0.797793,1.082530180134446
Hippocampus,0.852781,0.936377,0.9107239925799118
Inferior_frontal_gyrus,0.888539,0.905012,0.9817980314073183
Inferolateral_remainder_of_parietal_lobe,0.77,0.753564,1.0218110206963178
Insula,0.962222,0.973751,0.9881602175504826
Lateral_remainder_of_occipital_lobe,0.811583,0.835465,0.9714147211433154
Lateral_ventricle_excluding_temporal_horn,0.581441,0.53233,1.092256682884677
Lateral_ventricle_temporal_horn,0.923049,0.589301,1.5663455517638696
Lingual_gyrus,0.905278,0.864933,1.0466452314803576
Middle_and_inferior_temporal_gyri,0.80223,0.858543,0.934408643480874
Middle_frontal_gyrus,0.851647,0.852616,0.9988634977527985
Nucleus_accumbens,0.954466,0.894312,1.0672628791741585
Orbitofrontal_gyri,0.816425,0.853094,0.9570164600852895
Pallidum,0.9708,0.931496,1.0421944914417238
Parahippocampal_and_ambient_gyri,0.746547,0.789086,0.9460907936524029
Postcentral_gyrus,0.752803,0.750974,1.0024355037591182
Posterior_temporal_lobe,0.860023,0.89482,0.9611128495116337
Precentral_gyrus,0.807639,0.805377,1.0028086225457147
Putamen,0.920408,0.916299,1.0044843440841908
Superior_frontal_gyrus,0.850654,0.879905,0.9667566385007472
Superior_parietal_gyrus,0.738782,0.738917,0.9998173001839178
Superior_temporal_gyrus,0.846439,0.895136,0.9455982107746755
Thalamus,0.927485,0.929524,0.9978064041380319
Amygdala,0.423516,0.371644,1.1395744314451466
Anterior_temporal_lobe_lateral_part,0.605445,0.544071,1.1128051302127848
Anterior_temporal_lobe_medial_part,0.537399,0.448745,1.197559861391213
Caudate_nucleus,0.350228,0.372793,0.9394704299705198
Cerebellum,0.456502,0.44654,1.0223093115958257
Cuneus,0.463826,0.480193,0.9659157880268976
Fusiform_gyrus,0.394832,0.494559,0.7983516627945301
Gyrus_cinguli_anterior_part,0.583587,0.577701,1.0101886616086868
Gyrus_cinguli_posterior_part,0.649255,0.547612,1.1856113452590522
Gyrus_rectus,0.383264,0.34148,1.1223614852992854
Hippocampus,0.424751,0.450417,0.9430172484608706
Inferior_frontal_gyrus,0.475078,0.506646,0.9376921953395466
Inferolateral_remainder_of_parietal_lobe,0.427401,0.425412,1.0046754675467546
Insula,0.442406,0.43246,1.0229986588354993
Lateral_remainder_of_occipital_lobe,0.415167,0.448565,0.9255447928393878
Lateral_ventricle_excluding_temporal_horn,0.17572,0.214066,0.8208683303280296
Lateral_ventricle_temporal_horn,0.513922,0.395155,1.3005580088825903
Lingual_gyrus,0.446657,0.396151,1.127491789746839
Middle_and_inferior_temporal_gyri,0.433928,0.479264,0.9054049542632034
Middle_frontal_gyrus,0.387597,0.387529,1.000175470738964
Nucleus_accumbens,0.426287,0.48316,0.8822895107210863
Orbitofrontal_gyri,0.398481,0.412857,0.9651792267056147
Pallidum,0.421492,0.387454,1.0878504286960515
Parahippocampal_and_ambient_gyri,0.306919,0.364586,0.8418288140521029
Postcentral_gyrus,0.40951,0.410704,0.9970927967587362
Posterior_temporal_lobe,0.373229,0.374983,0.9953224546179426
Precentral_gyrus,0.448226,0.422589,1.0606665104865485
Putamen,0.586142,0.553132,1.0596783407938795
Superior_frontal_gyrus,0.430756,0.422876,1.0186343041458963
Superior_parietal_gyrus,0.421336,0.433061,0.9729252922798405
Superior_temporal_gyrus,0.459272,0.45677,1.0054775926615145
Thalamus,0.319864,0.342212,0.9346954519420709
