Region,Left,Right,Ratio
Amygdala,0.80685,0.80501,1.0022856858921008
Anterior_temporal_lobe_lateral_part,0.761284,0.791846,0.9614041114055004
Anterior_temporal_lobe_medial_part,0.649475,0.709112,0.915899039925992
Caudate_nucleus,0.546695,0.551491,0.9913035752170027
Cerebellum,0.778791,0.823832,0.9453274454014896
Cuneus,0.711452,0.711985,0.9992513887230771
Fusiform_gyrus,0.683589,0.708803,0.9644273514643703
Gyrus_cinguli_anterior_part,0.925582,0.927911,0.9974900610080061
Gyrus_cinguli_posterior_part,0.889787,0.839974,1.0593030260460443
Gyrus_rectus,0.746391,0.687718,1.0853154926874096
Hippocampus,0.706981,0.754863,0.936568622385784
Inferior_frontal_gyrus,0.822086,0.815712,1.0078140324035934
Inferolateral_remainder_of_parietal_lobe,0.70797,0.676586,1.0463858253052827
Insula,0.873814,0.86933,1.0051579952377117
Lateral_remainder_of_occipital_lobe,0.724073,0.73768,0.9815543325018978
Lateral_ventricle_excluding_temporal_horn,0.425529,0.383433,1.1097871075259562
Lateral_ventricle_temporal_horn,0.749233,0.54953,1.3634069113606173
Lingual_gyrus,0.806279,0.751508,1.0728814596784066
Middle_and_inferior_temporal_gyri,0.752806,0.782093,0.9625530467604235
Middle_frontal_gyrus,0.77671,0.760254,1.0216453974592703
Nucleus_accumbens,0.693503,0.677876,1.023052888728912
Orbitofrontal_gyri,0.691617,0.717952,0.9633192748261722
Pallidum,0.834706,0.775518,1.0763206011981667
Parahippocampal_and_ambient_gyri,0.605908,0.639028,0.9481712851393053
Postcentral_gyrus,0.667748,0.662824,1.007428819716848
Posterior_temporal_lobe,0.781836,0.804649,0.9716485076101505
Precentral_gyrus,0.731816,0.721789,1.0138918714471958
Putamen,0.827017,0.822721,1.0052216972703991
Superior_frontal_gyrus,0.781222,0.809213,0.9654096016747136
Superior_parietal_gyrus,0.656223,0.652561,1.0056117359143437
Superior_temporal_gyrus,0.791685,0.817816,0.968047824938617
Thalamus,0.759804,0.755845,1.0052378463838485
Amygdala,0.495298,0.47619,1.0401268401268402
Anterior_temporal_lobe_lateral_part,0.727466,0.665912,1.0924356371412438
Anterior_temporal_lobe_medial_part,0.564341,0.524222,1.0765305538493235
Caudate_nucleus,0.365902,0.383819,0.9533191426167021
Cerebellum,0.555864,0.536707,1.0356935907301377
Cuneus,0.56413,0.571489,0.9871231117309345
Fusiform_gyrus,0.489873,0.544906,0.8990045989583525
Gyrus_cinguli_anterior_part,0.681655,0.658385,1.0353440616052918
Gyrus_cinguli_posterior_part,0.679457,0.616335,1.102415082706645
Gyrus_rectus,0.473542,0.420246,1.1268209572488495
Hippocampus,0.4809,0.508825,0.9451186557264286
Inferior_frontal_gyrus,0.609176,0.643076,0.9472846133271963
Inferolateral_remainder_of_parietal_lobe,0.496192,0.491678,1.0091808053238096
Insula,0.547932,0.532655,1.028680853460495
Lateral_remainder_of_occipital_lobe,0.504289,0.537493,0.9382243117584786
Lateral_ventricle_excluding_temporal_horn,0.2425,0.256546,0.94524958486977
Lateral_ventricle_temporal_horn,0.526115,0.445606,1.1806730609551936
Lingual_gyrus,0.50749,0.460294,1.1025344671014612
Middle_and_inferior_temporal_gyri,0.55571,0.585976,0.94834942045408
Middle_frontal_gyrus,0.477382,0.470992,1.0135671094201175
Nucleus_accumbens,0.41872,0.44471,0.9415574194418834
Orbitofrontal_gyri,0.510534,0.524288,0.973766326904297
Pallidum,0.502484,0.478588,1.0499302113717854
Parahippocampal_and_ambient_gyri,0.397451,0.458259,0.8673064795235881
Postcentral_gyrus,0.476572,0.461778,1.0320370394431957
Posterior_temporal_lobe,0.438158,0.445368,0.9838111404501446
Precentral_gyrus,0.518856,0.48618,1.0672096754288534
Putamen,0.703085,0.676388,1.0394699492007546
Superior_frontal_gyrus,0.530061,0.536519,0.9879631476238494
Superior_parietal_gyrus,0.465698,0.472917,0.9847351649443772
Superior_temporal_gyrus,0.596905,0.600175,0.9945515891198401
Thalamus,0.375577,0.391202,0.9600589976533862
