Region,Left,Right,Ratio
Amygdala,0.822066,0.82675,0.994334442092531
Anterior_temporal_lobe_lateral_part,0.772628,0.803266,0.96185821384199
Anterior_temporal_lobe_medial_part,0.672451,0.735785,0.9139232248550867
Caudate_nucleus,0.555928,0.557738,0.9967547486454214
Cerebellum,0.794906,0.841041,0.9451453615222087
Cuneus,0.717803,0.718804,0.9986074089737953
Fusiform_gyrus,0.710382,0.728361,0.9753158118021145
Gyrus_cinguli_anterior_part,0.93009,0.933853,0.9959704578772033
Gyrus_cinguli_posterior_part,0.898485,0.845777,1.0623190273559107
Gyrus_rectus,0.763199,0.706251,1.080634222110836
Hippocampus,0.727495,0.786211,0.9253177582099462
Inferior_frontal_gyrus,0.828531,0.822418,1.0074329598817147
Inferolateral_remainder_of_parietal_lobe,0.715436,0.684217,1.0456273375259604
Insula,0.881927,0.877913,1.0045722070410166
Lateral_remainder_of_occipital_lobe,0.731543,0.745778,0.9809125503836262
Lateral_ventricle_excluding_temporal_horn,0.437803,0.38814,1.1279512547019117
Lateral_ventricle_temporal_horn,0.778922,0.560727,1.3891287560613277
Lingual_gyrus,0.814167,0.756056,1.0768607087305702
Middle_and_inferior_temporal_gyri,0.763057,0.792058,0.9633852571402599
Middle_frontal_gyrus,0.785375,0.771761,1.017640176168529
Nucleus_accumbens,0.713501,0.695002,1.0266171895908214
Orbitofrontal_gyri,0.716249,0.744311,0.9622980178984324
Pallidum,0.842543,0.78077,1.07911805013
Parahippocampal_and_ambient_gyri,0.620485,0.654053,0.9486769420826752
Postcentral_gyrus,0.6753,0.670405,1.007301556521804
Posterior_temporal_lobe,0.789432,0.813966,0.9698586918863934
Precentral_gyrus,0.742005,0.73112,1.0148881168618011
Putamen,0.836453,0.830399,1.0072904712072148
Superior_frontal_gyrus,0.790063,0.81691,0.967135914605036
Superior_parietal_gyrus,0.663568,0.65755,1.0091521557296024
Superior_temporal_gyrus,0.799594,0.823299,0.9712073013571012
Thalamus,0.771729,0.766962,1.0062154317945347
Amygdala,0.479581,0.456238,1.0511640854115616
Anterior_temporal_lobe_lateral_part,0.736366,0.667775,1.1027157350904122
Anterior_temporal_lobe_medial_part,0.578906,0.521544,1.1099849677112574
Caudate_nucleus,0.361852,0.380215,0.951703641360809
Cerebellum,0.547634,0.527214,1.0387319001392223
Cuneus,0.560338,0.566904,0.9884177920776711
Fusiform_gyrus,0.48944,0.548038,0.8930767574511256
Gyrus_cinguli_anterior_part,0.671508,0.649122,1.0344865834157524
Gyrus_cinguli_posterior_part,0.674839,0.610833,1.1047847775087463
Gyrus_rectus,0.471773,0.418552,1.1271550488350313
Hippocampus,0.467074,0.499922,0.9342937498249727
Inferior_frontal_gyrus,0.597872,0.630362,0.9484581875176485
Inferolateral_remainder_of_parietal_lobe,0.491505,0.487062,1.0091220419576974
Insula,0.542643,0.525054,1.0334994114891038
Lateral_remainder_of_occipital_lobe,0.499538,0.533194,0.9368785095106097
Lateral_ventricle_excluding_temporal_horn,0.239375,0.25459,0.9402372441965514
Lateral_ventricle_temporal_horn,0.520022,0.435671,1.193611693227229
Lingual_gyrus,0.501002,0.452054,1.1082790993996292
Middle_and_inferior_temporal_gyri,0.544125,0.581094,0.9363803446602442
Middle_frontal_gyrus,0.471514,0.463333,1.017656847235142
Nucleus_accumbens,0.424599,0.452379,0.9385913139204075
Orbitofrontal_gyri,0.504343,0.512428,0.984222173651713
Pallidum,0.498426,0.476754,1.0454574057060873
Parahippocampal_and_ambient_gyri,0.394699,0.450878,0.8754008844964714
Postcentral_gyrus,0.472626,0.458106,1.0316957210776545
Posterior_temporal_lobe,0.432761,0.438991,0.9858083650917673
Precentral_gyrus,0.513366,0.482634,1.0636755802533597
Putamen,0.704834,0.677007,1.0411029723474055
Superior_frontal_gyrus,0.526284,0.533303,0.9868386264468791
Superior_parietal_gyrus,0.465114,0.472087,0.9852294174590701
Superior_temporal_gyrus,0.586776,0.590964,0.9929132739050093
Thalamus,0.365905,0.382516,0.9565743655167365
