Region,Left,Right,Ratio
Amygdala,0.884078,0.876225,1.0089623099089846
Anterior_temporal_lobe_lateral_part,0.818699,0.846122,0.9675897801971819
Anterior_temporal_lobe_medial_part,0.71293,0.769833,0.9260839688607788
Caudate_nucleus,0.640244,0.641161,0.9985697820048319
Cerebellum,0.821969,0.870051,0.9447365729135417
Cuneus,0.74796,0.749402,0.9980757991038187
Fusiform_gyrus,0.741943,0.758176,0.9785894040433885
Gyrus_cinguli_anterior_part,0.962062,0.965287,0.9966590247252889
Gyrus_cinguli_posterior_part,0.931988,0.864165,1.0784838543565176
Gyrus_rectus,0.812608,0.75142,1.081429826195736
Hippocampus,0.773293,0.838498,0.9222359504733464
Inferior_frontal_gyrus,0.871468,0.862559,1.0103285688283352
Inferolateral_remainder_of_parietal_lobe,0.751003,0.717715,1.0463805270894435
Insula,0.917786,0.914815,1.003247651164443
Lateral_remainder_of_occipital_lobe,0.774546,0.788399,0.9824289477789799
Lateral_ventricle_excluding_temporal_horn,0.47622,0.432015,1.1023228360126385
Lateral_ventricle_temporal_horn,0.824236,0.567005,1.4536661934198112
Lingual_gyrus,0.849151,0.793421,1.0702401373293622
Middle_and_inferior_temporal_gyri,0.79936,0.831739,0.9610707205024652
Middle_frontal_gyrus,0.824023,0.809542,1.0178878921661878
Nucleus_accumbens,0.789218,0.769291,1.0259030717894788
Orbitofrontal_gyri,0.754012,0.782766,0.9632661612793607
Pallidum,0.892104,0.844781,1.0560180685881904
Parahippocampal_and_ambient_gyri,0.667556,0.698671,0.9554654479719353
Postcentral_gyrus,0.715848,0.706261,1.0135743018515817
Posterior_temporal_lobe,0.831629,0.85196,0.9761362035776326
Precentral_gyrus,0.77419,0.766046,1.0106312153578245
Putamen,0.866478,0.859898,1.0076520703618335
Superior_frontal_gyrus,0.818414,0.847337,0.9658660013666345
Superior_parietal_gyrus,0.695322,0.688393,1.0100654713223405
Superior_temporal_gyrus,0.837016,0.862117,0.9708844623177596
Thalamus,0.824821,0.824128,1.000840888793974
Amygdala,0.461409,0.427893,1.0783279932132566
Anterior_temporal_lobe_lateral_part,0.695035,0.62751,1.1076078468869022
Anterior_temporal_lobe_medial_part,0.551608,0.497333,1.1091321106783583
Caudate_nucleus,0.347607,0.368331,0.9437353901789423
Cerebellum,0.515086,0.496549,1.0373316631389853
Cuneus,0.529254,0.528438,1.0015441735832775
Fusiform_gyrus,0.453027,0.520293,0.8707151547301233
Gyrus_cinguli_anterior_part,0.642926,0.622583,1.0326751613841045
Gyrus_cinguli_posterior_part,0.653448,0.571274,1.1438434096423085
Gyrus_rectus,0.438436,0.390557,1.1225915807423756
Hippocampus,0.453887,0.483342,0.9390597134120353
Inferior_frontal_gyrus,0.561002,0.592125,0.947438463162339
Inferolateral_remainder_of_parietal_lobe,0.468596,0.46524,1.0072134812139972
Insula,0.501427,0.487978,1.0275606687186716
Lateral_remainder_of_occipital_lobe,0.469195,0.507019,0.9253992453931706
Lateral_ventricle_excluding_temporal_horn,0.216419,0.237832,0.9099658582528845
Lateral_ventricle_temporal_horn,0.511668,0.418355,1.2230474118870338
Lingual_gyrus,0.475844,0.42493,1.1198173816863954
Middle_and_inferior_temporal_gyri,0.512577,0.551885,0.9287750165342417
Middle_frontal_gyrus,0.446161,0.438982,1.0163537457116691
Nucleus_accumbens,0.408845,0.44405,0.9207183875689675
Orbitofrontal_gyri,0.471973,0.484912,0.9733168079981521
Pallidum,0.463633,0.439423,1.0550949768218778
Parahippocampal_and_ambient_gyri,0.356643,0.418779,0.8516257978551932
Postcentral_gyrus,0.446747,0.43636,1.0238037400311668
Posterior_temporal_lobe,0.409269,0.415166,0.9857960430285717
Precentral_gyrus,0.486278,0.454845,1.0691070584484825
Putamen,0.644303,0.621204,1.037184242213508
Superior_frontal_gyrus,0.491582,0.493751,0.9956070975046127
Superior_parietal_gyrus,0.440621,0.447661,0.9842738143371882
Superior_temporal_gyrus,0.54774,0.543761,1.0073175531161667
Thalamus,0.342104,0.363674,0.9406886387258919
