Region,Left,Right,Ratio
Amygdala,0.808097,0.816263,0.9899958714286939
Anterior_temporal_lobe_lateral_part,0.733583,0.780262,0.9401752231942604
Anterior_temporal_lobe_medial_part,0.651393,0.714063,0.9122346347591179
Caudate_nucleus,0.525462,0.523282,1.0041660137363793
Cerebellum,0.786377,0.841352,0.9346587397426999
Cuneus,0.709274,0.715224,0.9916809279330671
Fusiform_gyrus,0.681481,0.70054,0.972793844748337
Gyrus_cinguli_anterior_part,0.934173,0.942732,0.99092106770535
Gyrus_cinguli_posterior_part,0.926785,0.862058,1.075084275071979
Gyrus_rectus,0.754639,0.69319,1.0886466913833148
Hippocampus,0.698549,0.755823,0.9242229993001007
Inferior_frontal_gyrus,0.790946,0.801725,0.9865552402631825
Inferolateral_remainder_of_parietal_lobe,0.684392,0.664657,1.0296920065537563
Insula,0.86487,0.86353,1.0015517700601022
Lateral_remainder_of_occipital_lobe,0.706365,0.731508,0.9656285372135369
Lateral_ventricle_excluding_temporal_horn,0.422835,0.379707,1.113582314784821
Lateral_ventricle_temporal_horn,0.75184,0.56731,1.3252718971990622
Lingual_gyrus,0.812018,0.750069,1.0825910682883841
Middle_and_inferior_temporal_gyri,0.72608,0.761428,0.9535767006204131
Middle_frontal_gyrus,0.749414,0.744491,1.0066125715421677
Nucleus_accumbens,0.688223,0.640752,1.0740863859964542
Orbitofrontal_gyri,0.684758,0.710259,0.9640961958947369
Pallidum,0.830039,0.747401,1.1105671520375273
Parahippocampal_and_ambient_gyri,0.595891,0.62203,0.9579779110332298
Postcentral_gyrus,0.643705,0.644035,0.9994876054872793
Posterior_temporal_lobe,0.757672,0.798367,0.9490272017756245
Precentral_gyrus,0.716342,0.713244,1.0043435346108767
Putamen,0.837555,0.829414,1.009815363618169
Superior_frontal_gyrus,0.769041,0.802092,0.9587940036803757
Superior_parietal_gyrus,0.660869,0.65481,1.009253065774805
Superior_temporal_gyrus,0.755981,0.791547,0.9550677344491231
Thalamus,0.775001,0.765675,1.0121801025239168
Amygdala,0.504488,0.49017,1.0292102739865763
Anterior_temporal_lobe_lateral_part,0.722263,0.669081,1.0794851445490157
Anterior_temporal_lobe_medial_part,0.576154,0.526133,1.095072918824708
Caudate_nucleus,0.373323,0.38951,0.9584426587250648
Cerebellum,0.559591,0.545231,1.0263374606359505
Cuneus,0.567662,0.57629,0.9850283711325896
Fusiform_gyrus,0.498819,0.556594,0.8961990247828758
Gyrus_cinguli_anterior_part,0.700981,0.678054,1.0338129411521795
Gyrus_cinguli_posterior_part,0.725254,0.650637,1.1146829952800101
Gyrus_rectus,0.490023,0.429878,1.1399117889261605
Hippocampus,0.484197,0.516878,0.9367723137761717
Inferior_frontal_gyrus,0.594646,0.644785,0.9222391960110734
Inferolateral_remainder_of_parietal_lobe,0.495585,0.494673,1.0018436421636112
Insula,0.558393,0.550713,1.0139455578495515
Lateral_remainder_of_occipital_lobe,0.492537,0.53207,0.9256996259890615
Lateral_ventricle_excluding_temporal_horn,0.251958,0.265373,0.9494485120942975
Lateral_ventricle_temporal_horn,0.524867,0.453713,1.1568260111568327
Lingual_gyrus,0.51513,0.464251,1.1095937327006296
Middle_and_inferior_temporal_gyri,0.536612,0.577296,0.9295266206590725
Middle_frontal_gyrus,0.459215,0.457004,1.0048380320522359
Nucleus_accumbens,0.42754,0.425942,1.0037516845016456
Orbitofrontal_gyri,0.500822,0.511054,0.979978632395011
Pallidum,0.522865,0.486716,1.0742712382580397
Parahippocampal_and_ambient_gyri,0.416003,0.4711,0.8830460624071322
Postcentral_gyrus,0.483197,0.472308,1.0230548709740255
Posterior_temporal_lobe,0.437821,0.450888,0.9710194105853338
Precentral_gyrus,0.526525,0.498387,1.0564581339400907
Putamen,0.74394,0.714948,1.040551200926501
Superior_frontal_gyrus,0.525035,0.531913,0.9870693139667578
Superior_parietal_gyrus,0.483543,0.490015,0.9867922410538453
Superior_temporal_gyrus,0.588816,0.602387,0.9774712933712049
Thalamus,0.38728,0.404674,0.9570172533940902
