Region,Left,Right,Ratio
Amygdala,0.901693,0.893939,1.0086739699241223
Anterior_temporal_lobe_lateral_part,0.794276,0.835944,0.950154555807566
Anterior_temporal_lobe_medial_part,0.697398,0.76565,0.9108574413896688
Caudate_nucleus,0.62297,0.636285,0.9790738426962761
Cerebellum,0.820013,0.874054,0.9381720122555357
Cuneus,0.741747,0.752768,0.9853593670294168
Fusiform_gyrus,0.712151,0.744315,0.9567871129830784
Gyrus_cinguli_anterior_part,0.968897,0.973769,0.9949967600118714
Gyrus_cinguli_posterior_part,0.973808,0.883993,1.101601483269664
Gyrus_rectus,0.818377,0.743142,1.1012390633284084
Hippocampus,0.762015,0.821859,0.9271845900574186
Inferior_frontal_gyrus,0.844976,0.850163,0.9938988170503773
Inferolateral_remainder_of_parietal_lobe,0.725564,0.700204,1.0362180164637733
Insula,0.907075,0.916007,0.9902489828134501
Lateral_remainder_of_occipital_lobe,0.765166,0.783814,0.9762086413358271
Lateral_ventricle_excluding_temporal_horn,0.473034,0.428552,1.1037960387537569
Lateral_ventricle_temporal_horn,0.808382,0.547786,1.4757259221666856
Lingual_gyrus,0.852176,0.788118,1.0812797068459292
Middle_and_inferior_temporal_gyri,0.770395,0.810259,0.9508009167439054
Middle_frontal_gyrus,0.797513,0.789921,1.0096110876910476
Nucleus_accumbens,0.779655,0.762573,1.0224004783804306
Orbitofrontal_gyri,0.738609,0.764522,0.9661056189357532
Pallidum,0.897914,0.834889,1.075489076991073
Parahippocampal_and_ambient_gyri,0.641461,0.676386,0.9483652825457651
Postcentral_gyrus,0.685516,0.684207,1.0019131637063052
Posterior_temporal_lobe,0.81055,0.840567,0.9642895807234879
Precentral_gyrus,0.756425,0.750606,1.0077524027252647
Putamen,0.87573,0.870183,1.0063745212213981
Superior_frontal_gyrus,0.800831,0.832353,0.962129048612788
Superior_parietal_gyrus,0.693676,0.685784,1.0115079966870035
Superior_temporal_gyrus,0.794704,0.837708,0.9486646898441938
Thalamus,0.844072,0.840891,1.0037828921941132
Amygdala,0.480219,0.455444,1.0543974670870622
Anterior_temporal_lobe_lateral_part,0.656676,0.613136,1.0710119777667597
Anterior_temporal_lobe_medial_part,0.540915,0.493288,1.0965500883865005
Caudate_nucleus,0.362945,0.392661,0.9243214885104455
Cerebellum,0.519214,0.507652,1.0227754445959043
Cuneus,0.537062,0.534314,1.0051430432292623
Fusiform_gyrus,0.449233,0.525715,0.8545181324481895
Gyrus_cinguli_anterior_part,0.689826,0.65315,1.05615249177065
Gyrus_cinguli_posterior_part,0.714144,0.614834,1.1615232729484706
Gyrus_rectus,0.459165,0.406886,1.1284856200508249
Hippocampus,0.468304,0.49295,0.95000304290496
Inferior_frontal_gyrus,0.546101,0.602269,0.9067393473680364
Inferolateral_remainder_of_parietal_lobe,0.468914,0.471495,0.9945259228623845
Insula,0.509418,0.510025,0.998809862261654
Lateral_remainder_of_occipital_lobe,0.45587,0.502591,0.9070397201700786
Lateral_ventricle_excluding_temporal_horn,0.218879,0.244536,0.8950788431969117
Lateral_ventricle_temporal_horn,0.514585,0.416186,1.2364303460472
Lingual_gyrus,0.496759,0.432792,1.1478007911421653
Middle_and_inferior_temporal_gyri,0.491266,0.54003,0.9097013128900245
Middle_frontal_gyrus,0.429868,0.432668,0.9935285253358233
Nucleus_accumbens,0.392671,0.432166,0.9086115057639889
Orbitofrontal_gyri,0.458968,0.479334,0.9575118810683156
Pallidum,0.473205,0.456028,1.0376665467909865
Parahippocampal_and_ambient_gyri,0.362197,0.440188,0.8228234299890046
Postcentral_gyrus,0.452156,0.445158,1.0157202611207705
Posterior_temporal_lobe,0.410382,0.420981,0.9748230917784889
Precentral_gyrus,0.494604,0.466867,1.0594109243103496
Putamen,0.685137,0.659368,1.039081362759491
Superior_frontal_gyrus,0.483457,0.480184,1.006816137147427
Superior_parietal_gyrus,0.456131,0.463728,0.9836175516682194
Superior_temporal_gyrus,0.538095,0.546969,0.9837760458088117
Thalamus,0.359177,0.379574,0.9462634427015549
