Region,Left,Right,Ratio
Amygdala,0.899886,0.894227,1.0063283707604445
Anterior_temporal_lobe_lateral_part,0.794664,0.833872,0.9529807932152657
Anterior_temporal_lobe_medial_part,0.695053,0.764508,0.9091507217713877
Caudate_nucleus,0.623022,0.638784,0.9753249924857228
Cerebellum,0.818471,0.872812,0.9377403152110648
Cuneus,0.741731,0.752598,0.9855606844557121
Fusiform_gyrus,0.71005,0.74389,0.954509403271989
Gyrus_cinguli_anterior_part,0.970061,0.971398,0.998623633155514
Gyrus_cinguli_posterior_part,0.973851,0.883031,1.102850296308963
Gyrus_rectus,0.818163,0.739299,1.1066740249885363
Hippocampus,0.760076,0.820905,0.9259000736991491
Inferior_frontal_gyrus,0.845897,0.849129,0.9961937467687477
Inferolateral_remainder_of_parietal_lobe,0.726464,0.700455,1.0371315787595206
Insula,0.906419,0.915936,0.9896095360374524
Lateral_remainder_of_occipital_lobe,0.764765,0.783072,0.976621562257366
Lateral_ventricle_excluding_temporal_horn,0.472699,0.429395,1.100848868757205
Lateral_ventricle_temporal_horn,0.811801,0.547667,1.4822894203959704
Lingual_gyrus,0.852082,0.788917,1.0800654568224541
Middle_and_inferior_temporal_gyri,0.769742,0.808895,0.9515969316165881
Middle_frontal_gyrus,0.798588,0.789786,1.0111447911206326
Nucleus_accumbens,0.775057,0.765855,1.0120153292725125
Orbitofrontal_gyri,0.739046,0.764232,0.9670440389829266
Pallidum,0.894338,0.835733,1.0701240707259376
Parahippocampal_and_ambient_gyri,0.640161,0.677172,0.9453447573142422
Postcentral_gyrus,0.686939,0.68467,1.0033140052872187
Posterior_temporal_lobe,0.810233,0.839965,0.964603287041722
Precentral_gyrus,0.757506,0.75031,1.0095907025096293
Putamen,0.876247,0.870365,1.0067580842520092
Superior_frontal_gyrus,0.802593,0.832292,0.9643166100359009
Superior_parietal_gyrus,0.694574,0.686803,1.0113147438202803
Superior_temporal_gyrus,0.794793,0.837438,0.9490768271800419
Thalamus,0.844349,0.841663,1.0031913010314104
Amygdala,0.480198,0.456376,1.0521981874594633
Anterior_temporal_lobe_lateral_part,0.655703,0.613589,1.0686355198675335
Anterior_temporal_lobe_medial_part,0.541044,0.492637,1.0982609913587489
Caudate_nucleus,0.362822,0.394037,0.9207815509711016
Cerebellum,0.519586,0.507999,1.0228091000179134
Cuneus,0.536291,0.534376,1.0035836190248064
Fusiform_gyrus,0.449217,0.526101,0.8538607605763912
Gyrus_cinguli_anterior_part,0.690397,0.649188,1.0634777599093022
Gyrus_cinguli_posterior_part,0.713482,0.612976,1.163964005116024
Gyrus_rectus,0.458229,0.405161,1.1309800301608497
Hippocampus,0.468618,0.493249,0.9500637608996673
Inferior_frontal_gyrus,0.545305,0.60291,0.9044550596274735
Inferolateral_remainder_of_parietal_lobe,0.46834,0.47108,0.9941835781608219
Insula,0.508684,0.510544,0.996356827227428
Lateral_remainder_of_occipital_lobe,0.455981,0.502443,0.9075278190759948
Lateral_ventricle_excluding_temporal_horn,0.218396,0.244892,0.8918053672639368
Lateral_ventricle_temporal_horn,0.517415,0.416486,1.2423346763156502
Lingual_gyrus,0.496725,0.433224,1.1465777519251013
Middle_and_inferior_temporal_gyri,0.490986,0.54057,0.9082745990343526
Middle_frontal_gyrus,0.429128,0.433098,0.9908334834148392
Nucleus_accumbens,0.389217,0.436841,0.8909809289878926
Orbitofrontal_gyri,0.459043,0.479688,0.9569616083787795
Pallidum,0.470273,0.45684,1.0294041677611416
Parahippocampal_and_ambient_gyri,0.361481,0.440634,0.8203656549426508
Postcentral_gyrus,0.452115,0.445265,1.0153840971107093
Posterior_temporal_lobe,0.410573,0.421409,0.974286263463761
Precentral_gyrus,0.494167,0.466644,1.058980721920779
Putamen,0.684451,0.659603,1.0376711446127442
Superior_frontal_gyrus,0.484269,0.479579,1.0097794106914606
Superior_parietal_gyrus,0.455897,0.463596,0.9833928679281098
Superior_temporal_gyrus,0.537459,0.546662,0.9831651001898798
Thalamus,0.359513,0.380289,0.945367864965855
