Region,Left,Right,Ratio
Amygdala,0.897962,0.886586,1.0128312425416148
Anterior_temporal_lobe_lateral_part,0.799777,0.832339,0.9608789207282128
Anterior_temporal_lobe_medial_part,0.69837,0.77525,0.9008319896807482
Caudate_nucleus,0.623654,0.632515,0.9859908460668917
Cerebellum,0.818483,0.870533,0.9402090443440972
Cuneus,0.740525,0.748192,0.9897526303408751
Fusiform_gyrus,0.707081,0.741972,0.9529753144323505
Gyrus_cinguli_anterior_part,0.967948,0.97193,0.995902997129423
Gyrus_cinguli_posterior_part,0.968478,0.887328,1.0914543438277615
Gyrus_rectus,0.831118,0.745077,1.1154793397192506
Hippocampus,0.762846,0.807627,0.9445523738062249
Inferior_frontal_gyrus,0.845381,0.854874,0.9888954395618536
Inferolateral_remainder_of_parietal_lobe,0.724999,0.69826,1.0382937587718042
Insula,0.902344,0.918058,0.982883434379963
Lateral_remainder_of_occipital_lobe,0.761587,0.781657,0.9743237762855063
Lateral_ventricle_excluding_temporal_horn,0.47038,0.426814,1.1020725655672026
Lateral_ventricle_temporal_horn,0.788258,0.536014,1.470592186024992
Lingual_gyrus,0.849097,0.788342,1.077066806030885
Middle_and_inferior_temporal_gyri,0.769594,0.809761,0.9503964750092929
Middle_frontal_gyrus,0.798255,0.790079,1.0103483322553821
Nucleus_accumbens,0.751863,0.745763,1.0081795422942676
Orbitofrontal_gyri,0.751996,0.769825,0.9768401909524892
Pallidum,0.889445,0.835836,1.0641381802171719
Parahippocampal_and_ambient_gyri,0.652209,0.676561,0.9640062019537042
Postcentral_gyrus,0.684526,0.684164,1.0005291129027543
Posterior_temporal_lobe,0.811096,0.838233,0.9676259464850465
Precentral_gyrus,0.753654,0.748257,1.0072127624599572
Putamen,0.876788,0.873902,1.0033024297918989
Superior_frontal_gyrus,0.80231,0.835358,0.9604385185752694
Superior_parietal_gyrus,0.691894,0.685338,1.0095660827212267
Superior_temporal_gyrus,0.797398,0.843352,0.9455102970052838
Thalamus,0.843509,0.844346,0.9990087002247893
Amygdala,0.465323,0.474191,0.9812986750064847
Anterior_temporal_lobe_lateral_part,0.657856,0.604639,1.0880145012147744
Anterior_temporal_lobe_medial_part,0.537687,0.493061,1.0905080710094694
Caudate_nucleus,0.364972,0.389635,0.9367022983048238
Cerebellum,0.520977,0.506282,1.0290253258065662
Cuneus,0.536799,0.533044,1.0070444466122872
Fusiform_gyrus,0.446616,0.520978,0.8572646061829865
Gyrus_cinguli_anterior_part,0.692328,0.648839,1.0670258723658719
Gyrus_cinguli_posterior_part,0.712673,0.617826,1.1535173333592306
Gyrus_rectus,0.467451,0.402092,1.1625473772171542
Hippocampus,0.469136,0.500626,0.9370987523620427
Inferior_frontal_gyrus,0.546473,0.606189,0.9014894694558958
Inferolateral_remainder_of_parietal_lobe,0.470079,0.47282,0.994202867898989
Insula,0.506673,0.512324,0.9889698706287429
Lateral_remainder_of_occipital_lobe,0.45738,0.502468,0.9102669224706846
Lateral_ventricle_excluding_temporal_horn,0.218862,0.242912,0.9009929521802135
Lateral_ventricle_temporal_horn,0.50688,0.411729,1.2311010397615907
Lingual_gyrus,0.494623,0.433031,1.1422346206160758
Middle_and_inferior_temporal_gyri,0.491796,0.538688,0.9129514672686231
Middle_frontal_gyrus,0.428979,0.432843,0.9910729756516797
Nucleus_accumbens,0.381517,0.440722,0.865663615612563
Orbitofrontal_gyri,0.457408,0.476753,0.9594234330984808
Pallidum,0.469982,0.45302,1.037442055538387
Parahippocampal_and_ambient_gyri,0.369352,0.442242,0.8351807381478918
Postcentral_gyrus,0.45328,0.446,1.016322869955157
Posterior_temporal_lobe,0.411046,0.420597,0.9772918018911215
Precentral_gyrus,0.498834,0.469238,1.0630724706865173
Putamen,0.685897,0.665925,1.0299913653940007
Superior_frontal_gyrus,0.482087,0.481469,1.0012835717356674
Superior_parietal_gyrus,0.455644,0.463561,0.9829213415278679
Superior_temporal_gyrus,0.54156,0.548891,0.9866439784948196
Thalamus,0.356367,0.377212,0.9447392977954042
