Region,Left,Right,Ratio
Amygdala,0.921725,0.927434,0.9938443059020912
Anterior_temporal_lobe_lateral_part,0.813681,0.849181,0.9581950137838694
Anterior_temporal_lobe_medial_part,0.732924,0.806889,0.9083331164509617
Caudate_nucleus,0.631308,0.647799,0.9745430295508328
Cerebellum,0.839157,0.895526,0.9370548705453555
Cuneus,0.751847,0.763603,0.984604565461372
Fusiform_gyrus,0.748139,0.770829,0.9705641588471633
Gyrus_cinguli_anterior_part,0.979498,0.976045,1.0035377467227433
Gyrus_cinguli_posterior_part,0.98673,0.887375,1.1119650655021833
Gyrus_rectus,0.848174,0.769918,1.101641993043415
Hippocampus,0.791096,0.865117,0.9144381626993805
Inferior_frontal_gyrus,0.855883,0.857195,0.9984694264432246
Inferolateral_remainder_of_parietal_lobe,0.736322,0.710581,1.036225286068724
Insula,0.916851,0.927963,0.9880253846327924
Lateral_remainder_of_occipital_lobe,0.777425,0.79672,0.9757819560196808
Lateral_ventricle_excluding_temporal_horn,0.490942,0.437464,1.1222454876286962
Lateral_ventricle_temporal_horn,0.854952,0.557616,1.5332271670827238
Lingual_gyrus,0.863185,0.79655,1.083654510074697
Middle_and_inferior_temporal_gyri,0.785913,0.822617,0.9553814229465231
Middle_frontal_gyrus,0.80933,0.802638,1.0083375070704352
Nucleus_accumbens,0.796959,0.797629,0.9991600104810632
Orbitofrontal_gyri,0.780078,0.803966,0.9702873007067464
Pallidum,0.906109,0.846973,1.069820407498232
Parahippocampal_and_ambient_gyri,0.660527,0.7001,0.943475217826025
Postcentral_gyrus,0.695916,0.69258,1.0048167720696526
Posterior_temporal_lobe,0.821421,0.853555,0.9623527482118903
Precentral_gyrus,0.770224,0.759583,1.0140090023078452
Putamen,0.889298,0.87959,1.0110369604020055
Superior_frontal_gyrus,0.813368,0.838778,0.9697059293400637
Superior_parietal_gyrus,0.704544,0.692776,1.0169867316419738
Superior_temporal_gyrus,0.806055,0.844424,0.9545619262361089
Thalamus,0.859042,0.855202,1.0044901672353432
Amygdala,0.450418,0.423326,1.0639979590197626
Anterior_temporal_lobe_lateral_part,0.661658,0.618043,1.0705695234797579
Anterior_temporal_lobe_medial_part,0.553871,0.481339,1.1506879766650946
Caudate_nucleus,0.353757,0.388275,0.9110990921383041
Cerebellum,0.506753,0.494077,1.0256559200286595
Cuneus,0.530225,0.526744,1.0066085233054387
Fusiform_gyrus,0.448113,0.530412,0.8448394832696092
Gyrus_cinguli_anterior_part,0.682546,0.631633,1.080605351525332
Gyrus_cinguli_posterior_part,0.707896,0.602834,1.1742801500910698
Gyrus_rectus,0.458497,0.406374,1.128263619227608
Hippocampus,0.450263,0.478034,0.9419058058631813
Inferior_frontal_gyrus,0.526497,0.585897,0.8986169924065152
Inferolateral_remainder_of_parietal_lobe,0.461651,0.464391,0.9940997995223851
Insula,0.50018,0.501116,0.9981321689987946
Lateral_remainder_of_occipital_lobe,0.44745,0.49446,0.9049265865792986
Lateral_ventricle_excluding_temporal_horn,0.214006,0.243509,0.8788422604503324
Lateral_ventricle_temporal_horn,0.502112,0.401969,1.2491311519047488
Lingual_gyrus,0.489385,0.422359,1.158694380846626
Middle_and_inferior_temporal_gyri,0.474968,0.534732,0.8882356021334051
Middle_frontal_gyrus,0.42037,0.423726,0.9920797874097884
Nucleus_accumbens,0.389308,0.449933,0.8652577161488487
Orbitofrontal_gyri,0.444779,0.457441,0.9723199275972202
Pallidum,0.466087,0.458755,1.015982387112947
Parahippocampal_and_ambient_gyri,0.355605,0.43068,0.8256826414042909
Postcentral_gyrus,0.446623,0.440165,1.0146717708132178
Posterior_temporal_lobe,0.402659,0.412453,0.976254264122215
Precentral_gyrus,0.486605,0.461635,1.0540903527678793
Putamen,0.6858,0.660257,1.038686450882005
Superior_frontal_gyrus,0.480039,0.473124,1.014615618738428
Superior_parietal_gyrus,0.454601,0.461117,0.9858690961296156
Superior_temporal_gyrus,0.52211,0.534037,0.9776663414707221
Thalamus,0.345509,0.368528,0.937537988972344
