Region,Left,Right,Ratio
Amygdala,0.936216,0.943287,0.9925038720983116
Anterior_temporal_lobe_lateral_part,0.826804,0.874735,0.9452051192646915
Anterior_temporal_lobe_medial_part,0.731004,0.80014,0.9135951208538506
Caudate_nucleus,0.637871,0.650375,0.9807741687487986
Cerebellum,0.844844,0.90438,0.9341692651319137
Cuneus,0.756727,0.766262,0.9875564754613958
Fusiform_gyrus,0.767809,0.766224,1.002068585687736
Gyrus_cinguli_anterior_part,0.994375,0.990282,1.00413316610824
Gyrus_cinguli_posterior_part,0.987417,0.894261,1.1041709299634
Gyrus_rectus,0.846651,0.763977,1.1082152996752521
Hippocampus,0.790038,0.858262,0.9205091219231424
Inferior_frontal_gyrus,0.875355,0.872673,1.0030733161218464
Inferolateral_remainder_of_parietal_lobe,0.741768,0.723094,1.0258251347680938
Insula,0.915856,0.928142,0.9867628013816852
Lateral_remainder_of_occipital_lobe,0.794456,0.816783,0.9726647102106679
Lateral_ventricle_excluding_temporal_horn,0.495334,0.440166,1.125334532880777
Lateral_ventricle_temporal_horn,0.860222,0.559433,1.5376676027334821
Lingual_gyrus,0.870635,0.807256,1.0785116493404818
Middle_and_inferior_temporal_gyri,0.788785,0.842757,0.9359578146488252
Middle_frontal_gyrus,0.824061,0.817959,1.0074600316152766
Nucleus_accumbens,0.801649,0.796432,1.006550465074231
Orbitofrontal_gyri,0.780326,0.81033,0.962973109720731
Pallidum,0.914073,0.839092,1.0893596888064718
Parahippocampal_and_ambient_gyri,0.673263,0.695622,0.9678575433209415
Postcentral_gyrus,0.704831,0.701392,1.0049031069644363
Posterior_temporal_lobe,0.82929,0.876084,0.9465873135452765
Precentral_gyrus,0.782112,0.772228,1.0127993286956702
Putamen,0.896887,0.878438,1.0210020513684517
Superior_frontal_gyrus,0.829181,0.854422,0.9704583917548939
Superior_parietal_gyrus,0.719188,0.701561,1.0251253989318108
Superior_temporal_gyrus,0.808935,0.858152,0.9426476894536165
Thalamus,0.859861,0.871386,0.9867739440385777
Amygdala,0.45633,0.424386,1.0752710975385618
Anterior_temporal_lobe_lateral_part,0.64503,0.602345,1.070864703782716
Anterior_temporal_lobe_medial_part,0.551361,0.474401,1.1622256276862821
Caudate_nucleus,0.351207,0.383528,0.9157271437808974
Cerebellum,0.501162,0.48837,1.0261932551139503
Cuneus,0.517955,0.515252,1.0052459767259516
Fusiform_gyrus,0.452652,0.523356,0.8649026666360947
Gyrus_cinguli_anterior_part,0.671127,0.620163,1.0821783950348538
Gyrus_cinguli_posterior_part,0.689205,0.594568,1.1591693464834971
Gyrus_rectus,0.442673,0.388263,1.1401369690132719
Hippocampus,0.454773,0.478271,0.9508688588687166
Inferior_frontal_gyrus,0.522673,0.58004,0.9010982001241294
Inferolateral_remainder_of_parietal_lobe,0.452109,0.456061,0.9913344925349898
Insula,0.490544,0.490522,1.0000448501800123
Lateral_remainder_of_occipital_lobe,0.440892,0.489957,0.8998585590164035
Lateral_ventricle_excluding_temporal_horn,0.213905,0.241254,0.8866381490047834
Lateral_ventricle_temporal_horn,0.512487,0.401846,1.2753318435420535
Lingual_gyrus,0.481685,0.419713,1.147653277358576
Middle_and_inferior_temporal_gyri,0.467112,0.527102,0.8861890108555841
Middle_frontal_gyrus,0.413471,0.416091,0.993703300479943
Nucleus_accumbens,0.383995,0.440974,0.8707883004440171
Orbitofrontal_gyri,0.441464,0.450056,0.9809090424302753
Pallidum,0.459305,0.443963,1.0345569337985374
Parahippocampal_and_ambient_gyri,0.359271,0.424671,0.8459984317271487
Postcentral_gyrus,0.439017,0.434535,1.010314474092996
Posterior_temporal_lobe,0.396014,0.405889,0.9756706882916265
Precentral_gyrus,0.479199,0.453291,1.05715533729988
Putamen,0.674879,0.647298,1.0426094318227461
Superior_frontal_gyrus,0.469698,0.462982,1.0145059635147802
Superior_parietal_gyrus,0.450327,0.454674,0.9904393037648952
Superior_temporal_gyrus,0.51354,0.521331,0.9850555597115844
Thalamus,0.341815,0.36834,0.9279877287288917
