Region,Left,Right,Ratio
Amygdala,0.908936,0.905243,1.00407956758572
Anterior_temporal_lobe_lateral_part,0.78026,0.823456,0.9475430381222555
Anterior_temporal_lobe_medial_part,0.707614,0.768781,0.9204363791508894
Caudate_nucleus,0.665862,0.672121,0.9906876886751046
Cerebellum,0.822422,0.878352,0.9363239339125999
Cuneus,0.755231,0.758303,0.9959488489429688
Fusiform_gyrus,0.741017,0.750016,0.9880015892994283
Gyrus_cinguli_anterior_part,0.98486,0.980479,1.0044682242046998
Gyrus_cinguli_posterior_part,0.967457,0.888206,1.0892259228152028
Gyrus_rectus,0.822961,0.754138,1.0912604854814372
Hippocampus,0.787704,0.840875,0.9367670581239779
Inferior_frontal_gyrus,0.849546,0.851823,0.9973269094635858
Inferolateral_remainder_of_parietal_lobe,0.725981,0.708052,1.0253215865501404
Insula,0.912303,0.921983,0.9895008910142594
Lateral_remainder_of_occipital_lobe,0.759815,0.782072,0.971540983438865
Lateral_ventricle_excluding_temporal_horn,0.502435,0.454759,1.104837947132437
Lateral_ventricle_temporal_horn,0.83001,0.561341,1.4786199475897897
Lingual_gyrus,0.870712,0.812021,1.0722776873997102
Middle_and_inferior_temporal_gyri,0.761858,0.806803,0.9442924728837151
Middle_frontal_gyrus,0.794494,0.786421,1.0102654939275528
Nucleus_accumbens,0.803195,0.790238,1.0163963261700906
Orbitofrontal_gyri,0.75037,0.776354,0.9665307321144735
Pallidum,0.916881,0.861551,1.0642213867780317
Parahippocampal_and_ambient_gyri,0.687208,0.710409,0.9673413484344935
Postcentral_gyrus,0.702974,0.695879,1.0101957380521613
Posterior_temporal_lobe,0.811181,0.850375,0.9539097457004263
Precentral_gyrus,0.766839,0.761822,1.0065855278529632
Putamen,0.884101,0.87203,1.0138424136784285
Superior_frontal_gyrus,0.807458,0.83544,0.96650627214402
Superior_parietal_gyrus,0.715834,0.703153,1.018034481826857
Superior_temporal_gyrus,0.798246,0.845947,0.9436123066811515
Thalamus,0.841008,0.856239,0.9822117422822366
Amygdala,0.460732,0.436822,1.0547362541263947
Anterior_temporal_lobe_lateral_part,0.641433,0.606474,1.0576430316880856
Anterior_temporal_lobe_medial_part,0.538196,0.489021,1.1005580537441133
Caudate_nucleus,0.351532,0.378436,0.9289073978162754
Cerebellum,0.50849,0.498085,1.0208900087334492
Cuneus,0.515467,0.519389,0.9924488196708056
Fusiform_gyrus,0.447806,0.512466,0.8738257757587821
Gyrus_cinguli_anterior_part,0.66253,0.623569,1.0624806557093118
Gyrus_cinguli_posterior_part,0.679426,0.588274,1.15494820440815
Gyrus_rectus,0.432516,0.385476,1.1220309435606888
Hippocampus,0.461209,0.485159,0.9506347403634684
Inferior_frontal_gyrus,0.539658,0.583283,0.9252078322186656
Inferolateral_remainder_of_parietal_lobe,0.456549,0.458986,0.9946904698618259
Insula,0.49316,0.492585,1.0011673112254738
Lateral_remainder_of_occipital_lobe,0.451607,0.496392,0.9097789650115231
Lateral_ventricle_excluding_temporal_horn,0.21621,0.243409,0.8882580348302652
Lateral_ventricle_temporal_horn,0.520758,0.418786,1.2434942906400883
Lingual_gyrus,0.486255,0.429554,1.1319997020165102
Middle_and_inferior_temporal_gyri,0.481677,0.532603,0.9043828142162172
Middle_frontal_gyrus,0.42752,0.43177,0.9901567964425505
Nucleus_accumbens,0.396961,0.462006,0.8592117851283317
Orbitofrontal_gyri,0.450957,0.470171,0.9591340171979982
Pallidum,0.471491,0.451868,1.043426398859844
Parahippocampal_and_ambient_gyri,0.361041,0.423719,0.8520764940916031
Postcentral_gyrus,0.442667,0.440453,1.0050266430243409
Posterior_temporal_lobe,0.403237,0.415638,0.9701639407368913
Precentral_gyrus,0.486119,0.457257,1.063119864758768
Putamen,0.652573,0.626016,1.0424222384092419
Superior_frontal_gyrus,0.48134,0.474072,1.015331004573145
Superior_parietal_gyrus,0.452474,0.456125,0.9919956152370513
Superior_temporal_gyrus,0.518959,0.528337,0.982249965457653
Thalamus,0.348071,0.371746,0.9363140423837781
