Region,Left,Right,Ratio
Amygdala,0.781811,0.803428,0.9730940420299019
Anterior_temporal_lobe_lateral_part,0.773348,0.78022,0.9911922278331753
Anterior_temporal_lobe_medial_part,0.649335,0.721,0.9006033287101248
Caudate_nucleus,0.549979,0.55639,0.9884775067848092
Cerebellum,0.788314,0.82895,0.9509789492731769
Cuneus,0.723054,0.726849,0.9947788330175868
Fusiform_gyrus,0.698543,0.700742,0.9968618978168856
Gyrus_cinguli_anterior_part,0.929905,0.917965,1.0130070318585132
Gyrus_cinguli_posterior_part,0.928632,0.801083,1.159220704970646
Gyrus_rectus,0.770248,0.700713,1.0992346367200265
Hippocampus,0.691851,0.778381,0.8888333605265288
Inferior_frontal_gyrus,0.832334,0.803236,1.036225965967661
Inferolateral_remainder_of_parietal_lobe,0.735618,0.680324,1.081275980268225
Insula,0.87,0.874407,0.9949600129001711
Lateral_remainder_of_occipital_lobe,0.741623,0.744905,0.9955940690423611
Lateral_ventricle_excluding_temporal_horn,0.438883,0.373522,1.1749856768811475
Lateral_ventricle_temporal_horn,0.709638,0.564743,1.2565680318304078
Lingual_gyrus,0.826324,0.75296,1.0974341266468337
Middle_and_inferior_temporal_gyri,0.763342,0.764495,0.9984918148581743
Middle_frontal_gyrus,0.766226,0.764935,1.0016877251008254
Nucleus_accumbens,0.649005,0.68821,0.9430333764403308
Orbitofrontal_gyri,0.713707,0.690025,1.034320495634216
Pallidum,0.833728,0.809961,1.0293433881384413
Parahippocampal_and_ambient_gyri,0.591099,0.66363,0.8907056643008906
Postcentral_gyrus,0.683358,0.669643,1.0204810622973735
Posterior_temporal_lobe,0.794961,0.803937,0.9888349460218898
Precentral_gyrus,0.740698,0.725149,1.0214424897503822
Putamen,0.840864,0.846367,0.9934980924350784
Superior_frontal_gyrus,0.77943,0.816966,0.9540543914924244
Superior_parietal_gyrus,0.676963,0.651968,1.0383377711789537
Superior_temporal_gyrus,0.80696,0.816259,0.9886077825788139
Thalamus,0.780606,0.736388,1.0600471490572905
Amygdala,0.419224,0.419879,0.998440026769617
Anterior_temporal_lobe_lateral_part,0.708919,0.677374,1.0465695465134475
Anterior_temporal_lobe_medial_part,0.551082,0.497924,1.106759264466063
Caudate_nucleus,0.352805,0.368347,0.9578060904527524
Cerebellum,0.532511,0.524093,1.016062034791535
Cuneus,0.553865,0.549657,1.0076556834534993
Fusiform_gyrus,0.473319,0.526626,0.8987763612127011
Gyrus_cinguli_anterior_part,0.666319,0.612721,1.0874753762315965
Gyrus_cinguli_posterior_part,0.672546,0.551458,1.2195779188986287
Gyrus_rectus,0.459495,0.413015,1.1125382855344237
Hippocampus,0.461902,0.510539,0.9047340164022729
Inferior_frontal_gyrus,0.588148,0.627586,0.9371592100524869
Inferolateral_remainder_of_parietal_lobe,0.482035,0.478983,1.0063718336558918
Insula,0.524193,0.519479,1.0090744765428439
Lateral_remainder_of_occipital_lobe,0.490491,0.542417,0.9042692246002614
Lateral_ventricle_excluding_temporal_horn,0.232176,0.24054,0.9652282364679471
Lateral_ventricle_temporal_horn,0.49249,0.443275,1.111025886864813
Lingual_gyrus,0.508384,0.439389,1.1570248686243851
Middle_and_inferior_temporal_gyri,0.526508,0.570822,0.9223680937314959
Middle_frontal_gyrus,0.460729,0.456033,1.0102975004001904
Nucleus_accumbens,0.380732,0.446494,0.8527147061326692
Orbitofrontal_gyri,0.493488,0.505213,0.9767919669525527
Pallidum,0.455957,0.47387,0.9621984932576445
Parahippocampal_and_ambient_gyri,0.369102,0.467705,0.7891769384547952
Postcentral_gyrus,0.457365,0.441102,1.0368690234911653
Posterior_temporal_lobe,0.430862,0.438904,0.9816770865610703
Precentral_gyrus,0.492942,0.470292,1.0481615677068714
Putamen,0.693001,0.680389,1.0185364548809577
Superior_frontal_gyrus,0.515939,0.515039,1.0017474404850895
Superior_parietal_gyrus,0.444078,0.445364,0.9971124742906925
Superior_temporal_gyrus,0.586593,0.568599,1.0316462040911083
Thalamus,0.359049,0.361068,0.9944082555086576
