Region,Left,Right,Ratio
Amygdala,0.753487,0.771783,0.9762938546197572
Anterior_temporal_lobe_lateral_part,0.785687,0.808401,0.9719025582600714
Anterior_temporal_lobe_medial_part,0.648417,0.697451,0.9296954194631594
Caudate_nucleus,0.515386,0.529642,0.9730837055973659
Cerebellum,0.786785,0.83242,0.9451779149948343
Cuneus,0.709728,0.722937,0.9817286983513086
Fusiform_gyrus,0.672202,0.675312,0.9953947212547681
Gyrus_cinguli_anterior_part,0.92433,0.916995,1.0079989531022524
Gyrus_cinguli_posterior_part,0.908704,0.809558,1.1224692980614113
Gyrus_rectus,0.763979,0.690556,1.1063244689786202
Hippocampus,0.63744,0.704594,0.9046912122442143
Inferior_frontal_gyrus,0.837721,0.814871,1.028041248246655
Inferolateral_remainder_of_parietal_lobe,0.728413,0.677854,1.07458685793696
Insula,0.861032,0.848988,1.0141863018087418
Lateral_remainder_of_occipital_lobe,0.748329,0.754235,0.992169549278408
Lateral_ventricle_excluding_temporal_horn,0.388726,0.324139,1.199257108832939
Lateral_ventricle_temporal_horn,0.645369,0.572177,1.1279184587985884
Lingual_gyrus,0.797512,0.746381,1.068505227223094
Middle_and_inferior_temporal_gyri,0.766742,0.772573,0.9924524931624585
Middle_frontal_gyrus,0.767735,0.765727,1.0026223445170406
Nucleus_accumbens,0.626062,0.656754,0.9532671289402121
Orbitofrontal_gyri,0.696687,0.666756,1.0448904846750535
Pallidum,0.8176,0.766021,1.067333663176336
Parahippocampal_and_ambient_gyri,0.571493,0.621582,0.919416907181997
Postcentral_gyrus,0.659197,0.655505,1.0056322987620232
Posterior_temporal_lobe,0.786616,0.800969,0.982080455048822
Precentral_gyrus,0.726287,0.718168,1.011305154225752
Putamen,0.820408,0.824264,0.9953218871623655
Superior_frontal_gyrus,0.772525,0.820408,0.9416351376388333
Superior_parietal_gyrus,0.652048,0.637449,1.0229022243348094
Superior_temporal_gyrus,0.792697,0.807491,0.9816790527696284
Thalamus,0.786745,0.730331,1.0772444275266968
Amygdala,0.499656,0.461521,1.0826289594622995
Anterior_temporal_lobe_lateral_part,0.754675,0.69622,1.083960529717618
Anterior_temporal_lobe_medial_part,0.577067,0.517869,1.1143107619880703
Caudate_nucleus,0.35909,0.375326,0.9567416059638821
Cerebellum,0.562617,0.548248,1.0262089419386848
Cuneus,0.579954,0.57673,1.00559013749935
Fusiform_gyrus,0.494391,0.54416,0.9085397677153779
Gyrus_cinguli_anterior_part,0.700914,0.652054,1.0749324442454153
Gyrus_cinguli_posterior_part,0.693392,0.597579,1.1603352862132037
Gyrus_rectus,0.459135,0.415403,1.1052760812993647
Hippocampus,0.477793,0.515771,0.9263665463936516
Inferior_frontal_gyrus,0.631937,0.673797,0.9378744636737771
Inferolateral_remainder_of_parietal_lobe,0.506249,0.497588,1.0174059663818258
Insula,0.549197,0.546205,1.0054777967979056
Lateral_remainder_of_occipital_lobe,0.510138,0.552011,0.9241446275527118
Lateral_ventricle_excluding_temporal_horn,0.228451,0.230084,0.9929025920967993
Lateral_ventricle_temporal_horn,0.502772,0.485848,1.0348339398330342
Lingual_gyrus,0.512502,0.46099,1.1117421202195275
Middle_and_inferior_temporal_gyri,0.574662,0.591627,0.9713248381159075
Middle_frontal_gyrus,0.470771,0.467663,1.0066458111931027
Nucleus_accumbens,0.34463,0.400646,0.860185799933108
Orbitofrontal_gyri,0.508762,0.525842,0.9675187603881014
Pallidum,0.490681,0.489289,1.0028449443989136
Parahippocampal_and_ambient_gyri,0.389228,0.481385,0.8085586380963262
Postcentral_gyrus,0.474955,0.454155,1.0457993416344642
Posterior_temporal_lobe,0.442174,0.449228,0.9842975059435298
Precentral_gyrus,0.517269,0.484984,1.0665692064068093
Putamen,0.720787,0.703661,1.0243384243264868
Superior_frontal_gyrus,0.521374,0.52732,0.9887241143897444
Superior_parietal_gyrus,0.455642,0.461875,0.9865050067658999
Superior_temporal_gyrus,0.62714,0.607851,1.031733105645956
Thalamus,0.37552,0.376306,0.9979112743352485
