Region,Left,Right,Ratio
Amygdala,0.793122,0.807619,0.9820497041302891
Anterior_temporal_lobe_lateral_part,0.816186,0.824342,0.9901060482178513
Anterior_temporal_lobe_medial_part,0.667987,0.72432,0.9222263640379943
Caudate_nucleus,0.547412,0.570787,0.9590477708847608
Cerebellum,0.798658,0.84245,0.9480182800166181
Cuneus,0.717827,0.729783,0.9836170478073619
Fusiform_gyrus,0.690956,0.691335,0.9994517853139215
Gyrus_cinguli_anterior_part,0.936309,0.923178,1.0142236925056705
Gyrus_cinguli_posterior_part,0.925302,0.818113,1.131019797998565
Gyrus_rectus,0.787405,0.719634,1.094174260804798
Hippocampus,0.6599,0.733266,0.8999462677936794
Inferior_frontal_gyrus,0.853193,0.821698,1.038329167163605
Inferolateral_remainder_of_parietal_lobe,0.739628,0.683676,1.0818399358760582
Insula,0.874932,0.866956,1.0092000055366133
Lateral_remainder_of_occipital_lobe,0.758721,0.763624,0.9935793008077274
Lateral_ventricle_excluding_temporal_horn,0.403595,0.341463,1.1819582209492683
Lateral_ventricle_temporal_horn,0.659225,0.560672,1.1757765681182581
Lingual_gyrus,0.810281,0.753077,1.075960359963191
Middle_and_inferior_temporal_gyri,0.784997,0.78445,1.0006973038434572
Middle_frontal_gyrus,0.780985,0.778496,1.0031971904801054
Nucleus_accumbens,0.63695,0.702838,0.9062543573341226
Orbitofrontal_gyri,0.727631,0.69507,1.0468456414461853
Pallidum,0.837669,0.794694,1.0540774184780557
Parahippocampal_and_ambient_gyri,0.589304,0.641618,0.9184655043966972
Postcentral_gyrus,0.673311,0.666817,1.0097388038997206
Posterior_temporal_lobe,0.799148,0.810965,0.9854284710190945
Precentral_gyrus,0.737124,0.725897,1.015466381594083
Putamen,0.836537,0.840954,0.9947476318562014
Superior_frontal_gyrus,0.785045,0.83085,0.9448697117409882
Superior_parietal_gyrus,0.661368,0.646079,1.0236642887324925
Superior_temporal_gyrus,0.801921,0.817862,0.980508936715485
Thalamus,0.811787,0.756222,1.0734771006397594
Amygdala,0.492399,0.46018,1.0700139076013733
Anterior_temporal_lobe_lateral_part,0.736458,0.679482,1.0838521108726942
Anterior_temporal_lobe_medial_part,0.574661,0.513913,1.1182067781900829
Caudate_nucleus,0.357646,0.377613,0.947123112816561
Cerebellum,0.54948,0.536711,1.0237912023416698
Cuneus,0.567353,0.559942,1.0132352993702918
Fusiform_gyrus,0.482351,0.537287,0.8977529700141638
Gyrus_cinguli_anterior_part,0.694079,0.639782,1.0848679706525035
Gyrus_cinguli_posterior_part,0.68269,0.592136,1.1529277057973168
Gyrus_rectus,0.453256,0.413509,1.0961212452449645
Hippocampus,0.470727,0.505316,0.931549762920628
Inferior_frontal_gyrus,0.615073,0.657478,0.9355035453657765
Inferolateral_remainder_of_parietal_lobe,0.4971,0.488195,1.018240662030541
Insula,0.529937,0.531253,0.997522837518094
Lateral_remainder_of_occipital_lobe,0.499095,0.543844,0.9177172130243232
Lateral_ventricle_excluding_temporal_horn,0.215122,0.22112,0.972874457308249
Lateral_ventricle_temporal_horn,0.499067,0.461476,1.081458190675138
Lingual_gyrus,0.509196,0.448089,1.1363724617207742
Middle_and_inferior_temporal_gyri,0.556234,0.58182,0.9560241999243753
Middle_frontal_gyrus,0.45748,0.456486,1.0021775038007736
Nucleus_accumbens,0.330386,0.412653,0.8006387933687626
Orbitofrontal_gyri,0.49666,0.514085,0.9661048270227686
Pallidum,0.453813,0.474209,0.9569894287118128
Parahippocampal_and_ambient_gyri,0.376531,0.473909,0.7945217330753372
Postcentral_gyrus,0.464852,0.444419,1.0459768821765045
Posterior_temporal_lobe,0.435152,0.44023,0.9884651205051904
Precentral_gyrus,0.502815,0.474074,1.0606255563477431
Putamen,0.703741,0.689512,1.0206363341029596
Superior_frontal_gyrus,0.507714,0.509421,0.9966491369613738
Superior_parietal_gyrus,0.446662,0.453312,0.9853301920090357
Superior_temporal_gyrus,0.608703,0.588898,1.0336306117527991
Thalamus,0.36447,0.365206,0.9979846990465656
