Region,Left,Right,Ratio
Amygdala,0.768962,0.792335,0.9705011137965633
Anterior_temporal_lobe_lateral_part,0.805053,0.812259,0.991128445483522
Anterior_temporal_lobe_medial_part,0.6549,0.708924,0.923794370059414
Caudate_nucleus,0.532584,0.563218,0.9456089826674573
Cerebellum,0.793914,0.837694,0.9477374793182236
Cuneus,0.716758,0.72765,0.985031265031265
Fusiform_gyrus,0.680025,0.684144,0.9939793376832947
Gyrus_cinguli_anterior_part,0.939075,0.915471,1.0257834491753426
Gyrus_cinguli_posterior_part,0.923878,0.806757,1.1451750651063455
Gyrus_rectus,0.777776,0.693856,1.1209472858921736
Hippocampus,0.646546,0.718484,0.8998752929779925
Inferior_frontal_gyrus,0.850374,0.817835,1.0397867540518564
Inferolateral_remainder_of_parietal_lobe,0.737886,0.681361,1.0829589600813667
Insula,0.869371,0.862934,1.0074594349046393
Lateral_remainder_of_occipital_lobe,0.757415,0.760828,0.995514097798714
Lateral_ventricle_excluding_temporal_horn,0.40239,0.333768,1.2055979003379593
Lateral_ventricle_temporal_horn,0.649491,0.566538,1.146420893214577
Lingual_gyrus,0.806958,0.751708,1.0734992842965618
Middle_and_inferior_temporal_gyri,0.778692,0.777515,1.0015137971614696
Middle_frontal_gyrus,0.777429,0.771707,1.0074147312386696
Nucleus_accumbens,0.6272,0.700767,0.8950193145510561
Orbitofrontal_gyri,0.710203,0.674957,1.0522196228796799
Pallidum,0.830185,0.789809,1.0511212204469689
Parahippocampal_and_ambient_gyri,0.579602,0.633205,0.9153465307443875
Postcentral_gyrus,0.670703,0.661347,1.0141468850694113
Posterior_temporal_lobe,0.796876,0.806941,0.9875269691340507
Precentral_gyrus,0.736335,0.723694,1.0174673273510628
Putamen,0.828508,0.831793,0.9960507001140909
Superior_frontal_gyrus,0.782985,0.82438,0.9497865062228584
Superior_parietal_gyrus,0.661519,0.641913,1.0305430798254593
Superior_temporal_gyrus,0.800686,0.81407,0.9835591533897577
Thalamus,0.80441,0.751124,1.0709416820658106
Amygdala,0.495021,0.460765,1.0743459247121634
Anterior_temporal_lobe_lateral_part,0.741452,0.687001,1.0792589821557756
Anterior_temporal_lobe_medial_part,0.572105,0.511834,1.1177549752458804
Caudate_nucleus,0.355146,0.379391,0.9360949521733516
Cerebellum,0.554604,0.541853,1.0235322126111694
Cuneus,0.574373,0.56437,1.0177241880326735
Fusiform_gyrus,0.485272,0.539523,0.8994463628056635
Gyrus_cinguli_anterior_part,0.710266,0.634829,1.1188304252011172
Gyrus_cinguli_posterior_part,0.694358,0.582378,1.192280614995759
Gyrus_rectus,0.452714,0.408329,1.1086991127252779
Hippocampus,0.474759,0.511589,0.9280086162915935
Inferior_frontal_gyrus,0.617783,0.668287,0.9244276785273393
Inferolateral_remainder_of_parietal_lobe,0.498275,0.492824,1.011060743794945
Insula,0.535096,0.539468,0.9918957194866055
Lateral_remainder_of_occipital_lobe,0.500168,0.546714,0.9148622497320352
Lateral_ventricle_excluding_temporal_horn,0.219767,0.225925,0.9727431669801926
Lateral_ventricle_temporal_horn,0.50048,0.477115,1.0489714219842177
Lingual_gyrus,0.511802,0.453538,1.1284655310029148
Middle_and_inferior_temporal_gyri,0.56465,0.587142,0.961692401497423
Middle_frontal_gyrus,0.461678,0.464543,0.9938326484308234
Nucleus_accumbens,0.322187,0.419516,0.7679969297952879
Orbitofrontal_gyri,0.500269,0.520854,0.960478368218349
Pallidum,0.468925,0.486583,0.9637101994932006
Parahippocampal_and_ambient_gyri,0.377336,0.479294,0.7872746164149771
Postcentral_gyrus,0.466712,0.448022,1.0417167014119844
Posterior_temporal_lobe,0.435422,0.444926,0.9786391444869483
Precentral_gyrus,0.509419,0.477917,1.0659152112186843
Putamen,0.70334,0.691765,1.0167325609130269
Superior_frontal_gyrus,0.514763,0.512178,1.005047073478361
Superior_parietal_gyrus,0.45043,0.454484,0.9910799940151909
Superior_temporal_gyrus,0.616069,0.59613,1.0334474024122253
Thalamus,0.367696,0.371075,0.9908940241191134
