Region,Left,Right,Ratio
Amygdala,0.748852,0.754633,0.9923393225581176
Anterior_temporal_lobe_lateral_part,0.720399,0.758492,0.9497779805192408
Anterior_temporal_lobe_medial_part,0.628649,0.679785,0.9247762160094737
Caudate_nucleus,0.519222,0.510073,1.017936648283677
Cerebellum,0.759282,0.805665,0.9424289251736144
Cuneus,0.691417,0.704849,0.9809434361118481
Fusiform_gyrus,0.671403,0.674471,0.9954512499425474
Gyrus_cinguli_anterior_part,0.897256,0.910501,0.985453063752813
Gyrus_cinguli_posterior_part,0.886092,0.807121,1.0978428265402584
Gyrus_rectus,0.726471,0.67923,1.069550814893335
Hippocampus,0.665623,0.734521,0.9062000950279161
Inferior_frontal_gyrus,0.792751,0.785731,1.0089343553964398
Inferolateral_remainder_of_parietal_lobe,0.692362,0.658076,1.0521003653073506
Insula,0.850898,0.843183,1.0091498524045195
Lateral_remainder_of_occipital_lobe,0.698129,0.712297,0.9801094206489709
Lateral_ventricle_excluding_temporal_horn,0.409964,0.348803,1.1753453955384559
Lateral_ventricle_temporal_horn,0.655414,0.566296,1.1573699973158913
Lingual_gyrus,0.787371,0.743864,1.0584878418635666
Middle_and_inferior_temporal_gyri,0.724591,0.740737,0.9782027899240892
Middle_frontal_gyrus,0.726671,0.734683,0.9890946163175138
Nucleus_accumbens,0.643714,0.614162,1.0481175976371055
Orbitofrontal_gyri,0.673013,0.659423,1.0206089262885887
Pallidum,0.816872,0.747325,1.0930612517980798
Parahippocampal_and_ambient_gyri,0.571672,0.62266,0.9181126136254135
Postcentral_gyrus,0.644549,0.646203,0.9974404328051713
Posterior_temporal_lobe,0.755908,0.77934,0.9699335335027074
Precentral_gyrus,0.702151,0.699341,1.0040180684387159
Putamen,0.816117,0.819575,0.995780740017692
Superior_frontal_gyrus,0.744596,0.795648,0.9358359475546976
Superior_parietal_gyrus,0.637411,0.632839,1.0072245863481863
Superior_temporal_gyrus,0.774012,0.791317,0.9781313936134318
Thalamus,0.744478,0.70014,1.0633273345330934
Amygdala,0.460992,0.444435,1.037254041648385
Anterior_temporal_lobe_lateral_part,0.726533,0.675445,1.0756360621516186
Anterior_temporal_lobe_medial_part,0.553822,0.511732,1.0822500840283586
Caudate_nucleus,0.369878,0.373698,0.98977784200076
Cerebellum,0.554722,0.545791,1.0163634065054206
Cuneus,0.562405,0.578581,0.9720419439974697
Fusiform_gyrus,0.494539,0.539065,0.9174014265441087
Gyrus_cinguli_anterior_part,0.673804,0.657378,1.0249871459038786
Gyrus_cinguli_posterior_part,0.677092,0.598915,1.1305310436372442
Gyrus_rectus,0.469534,0.429816,1.0924069834533847
Hippocampus,0.478382,0.524068,0.9128242899776364
Inferior_frontal_gyrus,0.625267,0.649257,0.9630500710812514
Inferolateral_remainder_of_parietal_lobe,0.504802,0.490397,1.0293741601192503
Insula,0.554207,0.53756,1.0309677059305007
Lateral_remainder_of_occipital_lobe,0.517087,0.54853,0.9426777022223033
Lateral_ventricle_excluding_temporal_horn,0.247551,0.246627,1.003746548431437
Lateral_ventricle_temporal_horn,0.495333,0.467671,1.0591484184394586
Lingual_gyrus,0.506129,0.469524,1.0779619359180788
Middle_and_inferior_temporal_gyri,0.560593,0.576185,0.9729392469432562
Middle_frontal_gyrus,0.481081,0.467786,1.0284211156383474
Nucleus_accumbens,0.413061,0.411265,1.0043670139690954
Orbitofrontal_gyri,0.515166,0.524936,0.9813882073243215
Pallidum,0.499887,0.47151,1.0601832410765415
Parahippocampal_and_ambient_gyri,0.396938,0.47155,0.8417728766832785
Postcentral_gyrus,0.474917,0.453907,1.046287014740905
Posterior_temporal_lobe,0.449795,0.45037,0.998723271976375
Precentral_gyrus,0.5143,0.485523,1.059270106668479
Putamen,0.722623,0.696842,1.0369969089119198
Superior_frontal_gyrus,0.531805,0.54056,0.9838038330620097
Superior_parietal_gyrus,0.455358,0.46304,0.9834096406357982
Superior_temporal_gyrus,0.618893,0.597148,1.0364147581504084
Thalamus,0.377912,0.376461,1.0038543169146341
