Region,Left,Right,Ratio
Amygdala,0.781394,0.804721,0.9710123135844597
Anterior_temporal_lobe_lateral_part,0.811932,0.816918,0.9938965722385845
Anterior_temporal_lobe_medial_part,0.666229,0.721966,0.9227983035212184
Caudate_nucleus,0.538328,0.565954,0.951186845574022
Cerebellum,0.798603,0.842233,0.9481972328322447
Cuneus,0.718102,0.728648,0.9855266191631625
Fusiform_gyrus,0.689181,0.688852,1.000477606220204
Gyrus_cinguli_anterior_part,0.940125,0.919703,1.022204994438422
Gyrus_cinguli_posterior_part,0.926509,0.811114,1.1422673015137206
Gyrus_rectus,0.789206,0.706868,1.1164828511122302
Hippocampus,0.657967,0.734943,0.8952626258090763
Inferior_frontal_gyrus,0.853202,0.820008,1.0404800928771427
Inferolateral_remainder_of_parietal_lobe,0.740617,0.683495,1.0835733984886502
Insula,0.87117,0.866091,1.0058642798505006
Lateral_remainder_of_occipital_lobe,0.759569,0.76292,0.9956076652860064
Lateral_ventricle_excluding_temporal_horn,0.405698,0.335983,1.207495617337782
Lateral_ventricle_temporal_horn,0.660584,0.564521,1.1701672745566594
Lingual_gyrus,0.811648,0.751036,1.0807045201561576
Middle_and_inferior_temporal_gyri,0.783392,0.781258,1.0027314920295216
Middle_frontal_gyrus,0.780312,0.775764,1.00586260770028
Nucleus_accumbens,0.642443,0.710162,0.9046428842996387
Orbitofrontal_gyri,0.722157,0.688059,1.0495567967281876
Pallidum,0.832471,0.792464,1.050484312221123
Parahippocampal_and_ambient_gyri,0.584791,0.64066,0.9127946180501357
Postcentral_gyrus,0.673062,0.663169,1.014917766059632
Posterior_temporal_lobe,0.800096,0.810094,0.9876582223791314
Precentral_gyrus,0.738633,0.725855,1.0176040669279676
Putamen,0.834955,0.837243,0.9972672211054616
Superior_frontal_gyrus,0.785058,0.826608,0.9497343359851345
Superior_parietal_gyrus,0.664316,0.643375,1.032548669127647
Superior_temporal_gyrus,0.803246,0.814925,0.9856686198116391
Thalamus,0.808789,0.755573,1.0704313150416966
Amygdala,0.489074,0.458511,1.066657070386534
Anterior_temporal_lobe_lateral_part,0.741138,0.689114,1.075494040173324
Anterior_temporal_lobe_medial_part,0.572893,0.511968,1.119001578223639
Caudate_nucleus,0.353749,0.378124,0.9355370196020352
Cerebellum,0.550485,0.537767,1.0236496475239276
Cuneus,0.571749,0.562389,1.0166432842747635
Fusiform_gyrus,0.483814,0.537045,0.9008816765820369
Gyrus_cinguli_anterior_part,0.709243,0.63707,1.1132889635361891
Gyrus_cinguli_posterior_part,0.695379,0.584331,1.1900429722195125
Gyrus_rectus,0.457003,0.413024,1.106480495080189
Hippocampus,0.472927,0.509762,0.9277407888387128
Inferior_frontal_gyrus,0.614569,0.664845,0.9243793666192872
Inferolateral_remainder_of_parietal_lobe,0.496358,0.49123,1.0104391018463856
Insula,0.53315,0.537134,0.992582856419441
Lateral_remainder_of_occipital_lobe,0.498389,0.546345,0.9122239610502523
Lateral_ventricle_excluding_temporal_horn,0.216305,0.224041,0.9654706058266121
Lateral_ventricle_temporal_horn,0.496645,0.467126,1.0631928002294884
Lingual_gyrus,0.511742,0.448635,1.1406644599730293
Middle_and_inferior_temporal_gyri,0.557173,0.585509,0.9516045013825579
Middle_frontal_gyrus,0.458856,0.460612,0.996187680737801
Nucleus_accumbens,0.327188,0.422353,0.7746790007410862
Orbitofrontal_gyri,0.497507,0.516534,0.9631640898759809
Pallidum,0.463518,0.482063,0.9615299245119413
Parahippocampal_and_ambient_gyri,0.374444,0.478223,0.7829903622368644
Postcentral_gyrus,0.464956,0.44597,1.0425723703388121
Posterior_temporal_lobe,0.433618,0.442415,0.9801159544771312
Precentral_gyrus,0.506233,0.476092,1.063309192340976
Putamen,0.708193,0.695013,1.0189636740607728
Superior_frontal_gyrus,0.512008,0.510122,1.003697154798264
Superior_parietal_gyrus,0.449059,0.453506,0.9901941760417723
Superior_temporal_gyrus,0.611322,0.593792,1.0295221222246174
Thalamus,0.363848,0.367427,0.9902592896003832
