Region,Left,Right,Ratio
Amygdala,0.748851,0.754635,0.9923353674292872
Anterior_temporal_lobe_lateral_part,0.720385,0.758495,0.9497557663531072
Anterior_temporal_lobe_medial_part,0.628651,0.67978,0.9247859601635822
Caudate_nucleus,0.519224,0.510065,1.017956534951428
Cerebellum,0.759279,0.805666,0.9424240317948133
Cuneus,0.691419,0.704858,0.9809337483578253
Fusiform_gyrus,0.671408,0.674471,0.9954586631597206
Gyrus_cinguli_anterior_part,0.897252,0.910511,0.9854378475383604
Gyrus_cinguli_posterior_part,0.886088,0.807128,1.0978283494067855
Gyrus_rectus,0.726472,0.679242,1.0695333916336152
Hippocampus,0.665626,0.734523,0.906201711859261
Inferior_frontal_gyrus,0.792745,0.785734,1.0089228670262456
Inferolateral_remainder_of_parietal_lobe,0.692363,0.658085,1.0520874962960711
Insula,0.850903,0.843184,1.0091545854760051
Lateral_remainder_of_occipital_lobe,0.698134,0.712308,0.980101304491877
Lateral_ventricle_excluding_temporal_horn,0.409965,0.348805,1.1753415232006423
Lateral_ventricle_temporal_horn,0.655404,0.566306,1.157331901833991
Lingual_gyrus,0.787369,0.743874,1.0584709238392522
Middle_and_inferior_temporal_gyri,0.724587,0.74074,0.9781934281934282
Middle_frontal_gyrus,0.726666,0.734687,0.9890824255771506
Nucleus_accumbens,0.643739,0.614151,1.0481770769729268
Orbitofrontal_gyri,0.673009,0.659423,1.020602860379453
Pallidum,0.816887,0.747325,1.093081323386746
Parahippocampal_and_ambient_gyri,0.57168,0.622653,0.9181357834941772
Postcentral_gyrus,0.644547,0.646209,0.9974280766748838
Posterior_temporal_lobe,0.755907,0.779346,0.9699247830873579
Precentral_gyrus,0.702152,0.699347,1.0040108844393412
Putamen,0.816116,0.819574,0.9957807348695785
Superior_frontal_gyrus,0.744593,0.795651,0.9358286484903556
Superior_parietal_gyrus,0.637412,0.632847,1.0072134338947643
Superior_temporal_gyrus,0.77401,0.791321,0.9781239218976875
Thalamus,0.744482,0.700144,1.063326972737037
Amygdala,0.460993,0.444429,1.0372702951427561
Anterior_temporal_lobe_lateral_part,0.726537,0.675444,1.0756435766695684
Anterior_temporal_lobe_medial_part,0.553826,0.511735,1.082251555981123
Caudate_nucleus,0.36988,0.373694,0.9897937885007518
Cerebellum,0.554724,0.545791,1.0163670709117592
Cuneus,0.562406,0.578587,0.9720335921823339
Fusiform_gyrus,0.494542,0.539072,0.9173950789504927
Gyrus_cinguli_anterior_part,0.673801,0.657394,1.0249576357557264
Gyrus_cinguli_posterior_part,0.677081,0.598924,1.1304956889354911
Gyrus_rectus,0.46954,0.429825,1.0923980689815622
Hippocampus,0.478386,0.524077,0.9128162464675992
Inferior_frontal_gyrus,0.625273,0.649255,0.9630622790737075
Inferolateral_remainder_of_parietal_lobe,0.504805,0.490395,1.0293844757797284
Insula,0.554214,0.537559,1.0309826456258755
Lateral_remainder_of_occipital_lobe,0.517089,0.548525,0.9426899412059614
Lateral_ventricle_excluding_temporal_horn,0.247553,0.246626,1.0037587277902573
Lateral_ventricle_temporal_horn,0.495332,0.467682,1.0591213687933254
Lingual_gyrus,0.506126,0.46953,1.0779417715587927
Middle_and_inferior_temporal_gyri,0.560599,0.57618,0.9729581033704744
Middle_frontal_gyrus,0.481085,0.467786,1.02842966655693
Nucleus_accumbens,0.413075,0.41125,1.0044376899696048
Orbitofrontal_gyri,0.515169,0.524935,0.9813957918599444
Pallidum,0.499901,0.471508,1.0602174300330005
Parahippocampal_and_ambient_gyri,0.396944,0.471544,0.8417963116909557
Postcentral_gyrus,0.474919,0.453908,1.0462891158560765
Posterior_temporal_lobe,0.449799,0.450369,0.9987343711489911
Precentral_gyrus,0.514303,0.485525,1.0592719221461304
Putamen,0.722627,0.69684,1.0370056253946387
Superior_frontal_gyrus,0.531804,0.540565,0.9837928833720276
Superior_parietal_gyrus,0.455358,0.463044,0.983401145463498
Superior_temporal_gyrus,0.618899,0.597148,1.0364248059107624
Thalamus,0.377915,0.376463,1.0038569527417038
