Region,Left,Right,Ratio
Amygdala,0.752003,0.753143,0.9984863432309667
Anterior_temporal_lobe_lateral_part,0.728531,0.756914,0.9625016844714196
Anterior_temporal_lobe_medial_part,0.624839,0.679284,0.9198494296936186
Caudate_nucleus,0.517354,0.514443,1.005658547205424
Cerebellum,0.759926,0.802652,0.9467689608946342
Cuneus,0.693371,0.700751,0.9894684417146746
Fusiform_gyrus,0.670593,0.672958,0.9964856647814575
Gyrus_cinguli_anterior_part,0.900067,0.904058,0.995585460224897
Gyrus_cinguli_posterior_part,0.891084,0.799074,1.1151457812417873
Gyrus_rectus,0.725043,0.679588,1.0668861133510303
Hippocampus,0.660951,0.729135,0.9064864531259643
Inferior_frontal_gyrus,0.794506,0.780028,1.0185608721738193
Inferolateral_remainder_of_parietal_lobe,0.693751,0.652903,1.0625636580012652
Insula,0.851257,0.842732,1.010115908734924
Lateral_remainder_of_occipital_lobe,0.69736,0.70895,0.9836518795401651
Lateral_ventricle_excluding_temporal_horn,0.406847,0.353936,1.1494931287012342
Lateral_ventricle_temporal_horn,0.660081,0.559285,1.1802229632477181
Lingual_gyrus,0.790785,0.738091,1.0713922808976128
Middle_and_inferior_temporal_gyri,0.728956,0.736533,0.9897126130125874
Middle_frontal_gyrus,0.727269,0.732425,0.9929603713690822
Nucleus_accumbens,0.619748,0.614693,1.008223617317913
Orbitofrontal_gyri,0.677743,0.659584,1.027530989229575
Pallidum,0.811449,0.753358,1.07710942208087
Parahippocampal_and_ambient_gyri,0.570608,0.621732,0.9177716443741034
Postcentral_gyrus,0.64607,0.643977,1.0032501160755742
Posterior_temporal_lobe,0.757386,0.774767,0.9775661585999404
Precentral_gyrus,0.701866,0.695263,1.009497125548174
Putamen,0.815605,0.820553,0.993969920285466
Superior_frontal_gyrus,0.745659,0.793719,0.9394496037010579
Superior_parietal_gyrus,0.637633,0.630041,1.0120500094438298
Superior_temporal_gyrus,0.774373,0.789765,0.9805106582337784
Thalamus,0.743197,0.696236,1.0674498302299795
Amygdala,0.462496,0.45161,1.024104869245588
Anterior_temporal_lobe_lateral_part,0.722923,0.674136,1.0723696702149121
Anterior_temporal_lobe_medial_part,0.554639,0.513619,1.079864646751775
Caudate_nucleus,0.369061,0.374201,0.9862640666379833
Cerebellum,0.554701,0.546697,1.014640651037046
Cuneus,0.565993,0.574058,0.9859508969476952
Fusiform_gyrus,0.496066,0.53879,0.9207037992538837
Gyrus_cinguli_anterior_part,0.672202,0.647746,1.0377555399801772
Gyrus_cinguli_posterior_part,0.677504,0.593987,1.1406040872948398
Gyrus_rectus,0.468421,0.431023,1.0867656714374871
Hippocampus,0.476758,0.521693,0.9138669677377309
Inferior_frontal_gyrus,0.622833,0.646437,0.9634860009560096
Inferolateral_remainder_of_parietal_lobe,0.502976,0.490798,1.0248126520482967
Insula,0.551238,0.537417,1.0257174596263237
Lateral_remainder_of_occipital_lobe,0.51465,0.549686,0.9362617930964224
Lateral_ventricle_excluding_temporal_horn,0.246089,0.247246,0.9953204500780599
Lateral_ventricle_temporal_horn,0.499769,0.465622,1.0733363114285839
Lingual_gyrus,0.512222,0.465053,1.1014271491636436
Middle_and_inferior_temporal_gyri,0.559048,0.577931,0.9673265493631593
Middle_frontal_gyrus,0.479499,0.468236,1.0240541094661666
Nucleus_accumbens,0.402119,0.420414,0.9564833711531966
Orbitofrontal_gyri,0.514667,0.52539,0.9795903995127428
Pallidum,0.489092,0.479051,1.0209601900423964
Parahippocampal_and_ambient_gyri,0.400065,0.474178,0.8437021540434183
Postcentral_gyrus,0.475036,0.45475,1.044609125893348
Posterior_temporal_lobe,0.449788,0.451544,0.9961111209538828
Precentral_gyrus,0.512138,0.485916,1.053964059631706
Putamen,0.718241,0.698193,1.0287141234586998
Superior_frontal_gyrus,0.532658,0.539935,0.9865224517766026
Superior_parietal_gyrus,0.456022,0.461309,0.9885391353734697
Superior_temporal_gyrus,0.61662,0.597096,1.0326982595763494
Thalamus,0.378373,0.375235,1.008362759337482
