Region,Left,Right,Ratio
Amygdala,0.747997,0.739681,1.01124268434636
Anterior_temporal_lobe_lateral_part,0.691192,0.703844,0.9820244258670956
Anterior_temporal_lobe_medial_part,0.614755,0.657756,0.9346246936553981
Caudate_nucleus,0.540831,0.544975,0.9923959814670397
Cerebellum,0.70566,0.738019,0.9561542453514069
Cuneus,0.637073,0.640946,0.9939573692635573
Fusiform_gyrus,0.637513,0.629794,1.0122563885969063
Gyrus_cinguli_anterior_part,0.824218,0.817643,1.0080414068242498
Gyrus_cinguli_posterior_part,0.812231,0.740945,1.0962095702110144
Gyrus_rectus,0.705552,0.650726,1.0842535875314647
Hippocampus,0.683503,0.699335,0.9773613504257616
Inferior_frontal_gyrus,0.752502,0.728926,1.032343475195013
Inferolateral_remainder_of_parietal_lobe,0.655603,0.627315,1.0450937726660452
Insula,0.789847,0.783126,1.0085822715629413
Lateral_remainder_of_occipital_lobe,0.661332,0.656802,1.0068970557336916
Lateral_ventricle_excluding_temporal_horn,0.426413,0.376739,1.131852555748144
Lateral_ventricle_temporal_horn,0.686662,0.451502,1.5208393318302023
Lingual_gyrus,0.728371,0.680111,1.0709590052212066
Middle_and_inferior_temporal_gyri,0.688025,0.695082,0.9898472410449415
Middle_frontal_gyrus,0.700075,0.684107,1.023341377883869
Nucleus_accumbens,0.660904,0.630917,1.0475292312617985
Orbitofrontal_gyri,0.65271,0.650748,1.0030149919784617
Pallidum,0.77969,0.72505,1.0753603199779327
Parahippocampal_and_ambient_gyri,0.590247,0.597329,0.9881438872045388
Postcentral_gyrus,0.629806,0.605561,1.040037254710921
Posterior_temporal_lobe,0.714623,0.724731,0.9860527561260661
Precentral_gyrus,0.673092,0.652372,1.031761019786257
Putamen,0.756672,0.744071,1.0169352118279036
Superior_frontal_gyrus,0.696064,0.725746,0.9591013936005159
Superior_parietal_gyrus,0.6111,0.599511,1.0193307545649704
Superior_temporal_gyrus,0.720554,0.730031,0.9870183594943229
Thalamus,0.717188,0.715533,1.0023129611073145
Amygdala,0.371541,0.349363,1.0634812501610074
Anterior_temporal_lobe_lateral_part,0.593082,0.543197,1.0918359269289042
Anterior_temporal_lobe_medial_part,0.464672,0.416999,1.1143240151655038
Caudate_nucleus,0.298933,0.312517,0.9565335645740872
Cerebellum,0.438725,0.423044,1.0370670663098873
Cuneus,0.450726,0.456243,0.9879077596806964
Fusiform_gyrus,0.390133,0.440034,0.886597399291873
Gyrus_cinguli_anterior_part,0.559271,0.525331,1.0646068859442903
Gyrus_cinguli_posterior_part,0.553231,0.488442,1.1326442034059316
Gyrus_rectus,0.383438,0.348566,1.1000441810159338
Hippocampus,0.398666,0.403228,0.9886863015465197
Inferior_frontal_gyrus,0.485701,0.510453,0.9515097374293029
Inferolateral_remainder_of_parietal_lobe,0.401619,0.395065,1.016589675116753
Insula,0.435446,0.429253,1.0144273889757323
Lateral_remainder_of_occipital_lobe,0.405471,0.424389,0.955422972791472
Lateral_ventricle_excluding_temporal_horn,0.187809,0.204811,0.9169868805874685
Lateral_ventricle_temporal_horn,0.426299,0.340858,1.250664499586338
Lingual_gyrus,0.411219,0.362523,1.1343252703966369
Middle_and_inferior_temporal_gyri,0.431545,0.463936,0.9301821803007311
Middle_frontal_gyrus,0.385759,0.377184,1.022734262322898
Nucleus_accumbens,0.332544,0.332047,1.001496776058811
Orbitofrontal_gyri,0.407268,0.405976,1.00318245413522
Pallidum,0.41764,0.383334,1.089493757402161
Parahippocampal_and_ambient_gyri,0.315743,0.358658,0.8803456217343543
Postcentral_gyrus,0.388036,0.373618,1.038590217816058
Posterior_temporal_lobe,0.355942,0.357583,0.9954108556614828
Precentral_gyrus,0.420648,0.390329,1.077675499386415
Putamen,0.560957,0.538984,1.0407674439315453
Superior_frontal_gyrus,0.425164,0.423854,1.0030906868874658
Superior_parietal_gyrus,0.382523,0.385702,0.9917578856215421
Superior_temporal_gyrus,0.476852,0.462359,1.0313457724408954
Thalamus,0.293376,0.321915,0.9113461628069522
