Region,Left,Right,Ratio
Amygdala,0.78119,0.77193,1.0119959063645667
Anterior_temporal_lobe_lateral_part,0.714957,0.731486,0.9774035319883088
Anterior_temporal_lobe_medial_part,0.616357,0.666255,0.925106753420237
Caudate_nucleus,0.562923,0.572702,0.9829248020785678
Cerebellum,0.708594,0.743507,0.9530428092808809
Cuneus,0.634239,0.646077,0.9816771065987491
Fusiform_gyrus,0.634612,0.63144,1.005023438489801
Gyrus_cinguli_anterior_part,0.826772,0.826134,1.0007722718106262
Gyrus_cinguli_posterior_part,0.825143,0.749709,1.1006177063367253
Gyrus_rectus,0.713273,0.649817,1.0976521082089266
Hippocampus,0.693469,0.709709,0.9771173819128685
Inferior_frontal_gyrus,0.76983,0.743066,1.0360183348450878
Inferolateral_remainder_of_parietal_lobe,0.66335,0.633889,1.0464765913275036
Insula,0.791971,0.78963,1.002964679660094
Lateral_remainder_of_occipital_lobe,0.682798,0.67869,1.0060528370832045
Lateral_ventricle_excluding_temporal_horn,0.434365,0.381162,1.1395810705159486
Lateral_ventricle_temporal_horn,0.689169,0.440149,1.5657629575439227
Lingual_gyrus,0.727288,0.681003,1.0679659267286634
Middle_and_inferior_temporal_gyri,0.698889,0.710507,0.9836482962166453
Middle_frontal_gyrus,0.717606,0.702654,1.0212793209744768
Nucleus_accumbens,0.700141,0.6636,1.0550647980711272
Orbitofrontal_gyri,0.655627,0.655922,0.9995502514018434
Pallidum,0.799365,0.739558,1.08086857285027
Parahippocampal_and_ambient_gyri,0.591965,0.597585,0.9905954801409004
Postcentral_gyrus,0.630794,0.608985,1.0358120479157942
Posterior_temporal_lobe,0.725465,0.738101,0.98288039170791
Precentral_gyrus,0.677179,0.657592,1.02978594630105
Putamen,0.76593,0.749536,1.021872198266661
Superior_frontal_gyrus,0.707466,0.73944,0.9567591691009413
Superior_parietal_gyrus,0.61064,0.597759,1.0215488181691952
Superior_temporal_gyrus,0.723616,0.734692,0.9849242948065312
Thalamus,0.742188,0.741859,1.0004434804996636
Amygdala,0.393806,0.361486,1.089408718456593
Anterior_temporal_lobe_lateral_part,0.581846,0.520123,1.1186700069022135
Anterior_temporal_lobe_medial_part,0.461581,0.412826,1.118100604128616
Caudate_nucleus,0.310071,0.326846,0.9486761349381665
Cerebellum,0.432327,0.414979,1.0418045250482555
Cuneus,0.449624,0.446232,1.0076014270603633
Fusiform_gyrus,0.379185,0.43823,0.8652648152796476
Gyrus_cinguli_anterior_part,0.568185,0.531752,1.0685150220403496
Gyrus_cinguli_posterior_part,0.561452,0.498718,1.1257905269109998
Gyrus_rectus,0.381128,0.346194,1.1009087390307168
Hippocampus,0.412069,0.406315,1.0141614264794556
Inferior_frontal_gyrus,0.472977,0.508139,0.9308023985563005
Inferolateral_remainder_of_parietal_lobe,0.39621,0.389808,1.016423470016008
Insula,0.42806,0.424582,1.008191586077601
Lateral_remainder_of_occipital_lobe,0.390467,0.413179,0.9450310882208437
Lateral_ventricle_excluding_temporal_horn,0.173265,0.194209,0.8921574180393288
Lateral_ventricle_temporal_horn,0.433869,0.327708,1.3239499798601193
Lingual_gyrus,0.409872,0.352994,1.1611302175107794
Middle_and_inferior_temporal_gyri,0.420862,0.454728,0.9255247092767545
Middle_frontal_gyrus,0.369388,0.360232,1.0254169535188433
Nucleus_accumbens,0.327603,0.334302,0.9799612326578961
Orbitofrontal_gyri,0.399624,0.396606,1.007609567177501
Pallidum,0.406686,0.371785,1.093874147692887
Parahippocampal_and_ambient_gyri,0.311254,0.360358,0.8637355074675738
Postcentral_gyrus,0.38371,0.366406,1.0472263008793523
Posterior_temporal_lobe,0.34834,0.34679,1.0044695637129097
Precentral_gyrus,0.413964,0.384784,1.0758347540438271
Putamen,0.565575,0.536181,1.0548210399100304
Superior_frontal_gyrus,0.407433,0.405197,1.005518303442523
Superior_parietal_gyrus,0.376319,0.382202,0.9846076158680489
Superior_temporal_gyrus,0.469148,0.449557,1.0435784561245849
Thalamus,0.297395,0.326349,0.911279029505223
