Region,Left,Right,Ratio
Amygdala,0.777718,0.76485,1.01682421389815
Anterior_temporal_lobe_lateral_part,0.701819,0.71178,0.9860055073196774
Anterior_temporal_lobe_medial_part,0.636886,0.675884,0.9423007498328114
Caudate_nucleus,0.610332,0.615371,0.9918114438281946
Cerebellum,0.716315,0.74927,0.9560171900649966
Cuneus,0.649695,0.654074,0.9933050388793928
Fusiform_gyrus,0.652587,0.64556,1.0108851229939897
Gyrus_cinguli_anterior_part,0.833939,0.829286,1.0056108507800687
Gyrus_cinguli_posterior_part,0.825584,0.752997,1.0963974624068886
Gyrus_rectus,0.725947,0.672396,1.0796420561692812
Hippocampus,0.711738,0.723671,0.9835104626273542
Inferior_frontal_gyrus,0.765806,0.74226,1.031722038099857
Inferolateral_remainder_of_parietal_lobe,0.664259,0.637185,1.0424900146739173
Insula,0.806441,0.800327,1.0076393774044858
Lateral_remainder_of_occipital_lobe,0.670666,0.666438,1.006344176052386
Lateral_ventricle_excluding_temporal_horn,0.455669,0.411555,1.1071885896174265
Lateral_ventricle_temporal_horn,0.705754,0.444262,1.5885986197334006
Lingual_gyrus,0.745093,0.701404,1.0622879253611328
Middle_and_inferior_temporal_gyri,0.698788,0.705107,0.9910382395863322
Middle_frontal_gyrus,0.711628,0.695807,1.0227376269569006
Nucleus_accumbens,0.717282,0.686413,1.044971467614978
Orbitofrontal_gyri,0.672585,0.67206,1.0007811802517632
Pallidum,0.805684,0.762075,1.0572240265065775
Parahippocampal_and_ambient_gyri,0.626401,0.629105,0.9957018303780767
Postcentral_gyrus,0.64572,0.620694,1.0403193844309757
Posterior_temporal_lobe,0.728174,0.737643,0.9871631670062617
Precentral_gyrus,0.683705,0.664767,1.028488177060534
Putamen,0.770828,0.758614,1.0161004147036568
Superior_frontal_gyrus,0.705995,0.736846,0.9581310070218201
Superior_parietal_gyrus,0.622474,0.612048,1.0170346116644444
Superior_temporal_gyrus,0.732181,0.746142,0.9812890843834016
Thalamus,0.748385,0.749071,0.9990841989611131
Amygdala,0.362233,0.340811,1.0628559524193764
Anterior_temporal_lobe_lateral_part,0.576445,0.523772,1.100564749547513
Anterior_temporal_lobe_medial_part,0.455245,0.407234,1.1178953623715113
Caudate_nucleus,0.294011,0.309085,0.951230244107608
Cerebellum,0.420591,0.407232,1.0328043965110798
Cuneus,0.430902,0.43883,0.9819337784563499
Fusiform_gyrus,0.36929,0.430255,0.8583049586872901
Gyrus_cinguli_anterior_part,0.548027,0.512182,1.0699848881842782
Gyrus_cinguli_posterior_part,0.539771,0.469727,1.149116401654578
Gyrus_rectus,0.358583,0.328068,1.093014253142641
Hippocampus,0.389858,0.395462,0.9858292326443502
Inferior_frontal_gyrus,0.46998,0.494373,0.9506587131578788
Inferolateral_remainder_of_parietal_lobe,0.391179,0.384325,1.0178338645677485
Insula,0.414813,0.40966,1.0125787238197528
Lateral_remainder_of_occipital_lobe,0.39322,0.41117,0.9563440912517938
Lateral_ventricle_excluding_temporal_horn,0.169084,0.190597,0.8871283388510838
Lateral_ventricle_temporal_horn,0.422262,0.327478,1.2894362369380539
Lingual_gyrus,0.40074,0.35057,1.1431097926234417
Middle_and_inferior_temporal_gyri,0.417572,0.4492,0.9295903829029386
Middle_frontal_gyrus,0.372697,0.366065,1.0181170010790435
Nucleus_accumbens,0.329895,0.325329,1.0140350230074786
Orbitofrontal_gyri,0.389887,0.388921,1.002483794909506
Pallidum,0.404003,0.365033,1.106757471242326
Parahippocampal_and_ambient_gyri,0.29773,0.342761,0.8686227429608386
Postcentral_gyrus,0.375878,0.363012,1.0354423545227154
Posterior_temporal_lobe,0.344648,0.344976,0.9990492092203516
Precentral_gyrus,0.409162,0.377574,1.0836604215332624
Putamen,0.529492,0.5098,1.0386269125147116
Superior_frontal_gyrus,0.407569,0.403131,1.0110088283957324
Superior_parietal_gyrus,0.371997,0.375305,0.9911858355204435
Superior_temporal_gyrus,0.456365,0.437814,1.042371874814419
Thalamus,0.281148,0.312654,0.8992304592296917
