Region,Left,Right,Ratio
Amygdala,0.757931,0.748908,1.012048208858765
Anterior_temporal_lobe_lateral_part,0.682899,0.691641,0.9873604948231816
Anterior_temporal_lobe_medial_part,0.621382,0.666094,0.9328743390572503
Caudate_nucleus,0.570208,0.574949,0.9917540512288916
Cerebellum,0.702882,0.735755,0.955320724969589
Cuneus,0.633732,0.638201,0.9929975039211784
Fusiform_gyrus,0.638246,0.630419,1.0124155521962377
Gyrus_cinguli_anterior_part,0.821121,0.816995,1.0050502145055966
Gyrus_cinguli_posterior_part,0.810147,0.74224,1.091489275705971
Gyrus_rectus,0.711263,0.657427,1.0818889397606122
Hippocampus,0.692073,0.707522,0.978164636576672
Inferior_frontal_gyrus,0.747499,0.723319,1.0334292338511777
Inferolateral_remainder_of_parietal_lobe,0.646826,0.617718,1.0471218258169586
Insula,0.789058,0.782871,1.0079029623015798
Lateral_remainder_of_occipital_lobe,0.647812,0.644305,1.0054430743203917
Lateral_ventricle_excluding_temporal_horn,0.43284,0.38547,1.1228889407736011
Lateral_ventricle_temporal_horn,0.694335,0.448108,1.5494813750256635
Lingual_gyrus,0.728072,0.682201,1.067239713808687
Middle_and_inferior_temporal_gyri,0.681061,0.685366,0.9937186846152275
Middle_frontal_gyrus,0.693188,0.676847,1.0241428269608936
Nucleus_accumbens,0.68685,0.653477,1.0510698922838906
Orbitofrontal_gyri,0.660132,0.65755,1.0039266975895371
Pallidum,0.779107,0.730712,1.0662299236908659
Parahippocampal_and_ambient_gyri,0.6008,0.608753,0.9869355879971023
Postcentral_gyrus,0.625448,0.600705,1.0411899351595209
Posterior_temporal_lobe,0.707919,0.718026,0.9859239080478979
Precentral_gyrus,0.666494,0.646858,1.0303559668428002
Putamen,0.75597,0.744285,1.0156996311896653
Superior_frontal_gyrus,0.691912,0.723036,0.9569537339772847
Superior_parietal_gyrus,0.605042,0.594803,1.0172141028205977
Superior_temporal_gyrus,0.715549,0.724428,0.9877434334399002
Thalamus,0.725466,0.725272,1.0002674858535832
Amygdala,0.374769,0.35415,1.0582210927573061
Anterior_temporal_lobe_lateral_part,0.597343,0.543938,1.098182145759259
Anterior_temporal_lobe_medial_part,0.470322,0.420971,1.1172313532286073
Caudate_nucleus,0.306814,0.320553,0.9571396929680895
Cerebellum,0.438138,0.422982,1.035831311970722
Cuneus,0.448957,0.456954,0.9824993325367541
Fusiform_gyrus,0.385419,0.440976,0.8740135517579188
Gyrus_cinguli_anterior_part,0.567638,0.530014,1.0709868041221553
Gyrus_cinguli_posterior_part,0.556444,0.492545,1.1297323087230609
Gyrus_rectus,0.376888,0.345263,1.0915968406692869
Hippocampus,0.397132,0.403628,0.983905972826464
Inferior_frontal_gyrus,0.489709,0.515217,0.9504907640858123
Inferolateral_remainder_of_parietal_lobe,0.403657,0.396723,1.017478190072166
Insula,0.434896,0.429182,1.0133136990833727
Lateral_remainder_of_occipital_lobe,0.407165,0.424374,0.9594485053278476
Lateral_ventricle_excluding_temporal_horn,0.175487,0.19672,0.8920648637657584
Lateral_ventricle_temporal_horn,0.426876,0.333677,1.2793090323876084
Lingual_gyrus,0.413442,0.362174,1.1415562685339091
Middle_and_inferior_temporal_gyri,0.433282,0.466596,0.9286020454525971
Middle_frontal_gyrus,0.383365,0.375569,1.0207578367756658
Nucleus_accumbens,0.34082,0.342539,0.9949815933368172
Orbitofrontal_gyri,0.405977,0.402495,1.0086510391433434
Pallidum,0.415174,0.380838,1.0901590702608457
Parahippocampal_and_ambient_gyri,0.314955,0.357883,0.8800501839986811
Postcentral_gyrus,0.389853,0.373657,1.0433445646675963
Posterior_temporal_lobe,0.356029,0.356419,0.9989057822394429
Precentral_gyrus,0.421505,0.391312,1.077158380013902
Putamen,0.566009,0.5403,1.0475828243568388
Superior_frontal_gyrus,0.423931,0.420887,1.0072323450237237
Superior_parietal_gyrus,0.384081,0.388602,0.9883659888523476
Superior_temporal_gyrus,0.476161,0.462835,1.0287921181414543
Thalamus,0.29377,0.323025,0.9094342543146814
