Region,Left,Right,Ratio
Amygdala,0.697916,0.693872,1.005828164272373
Anterior_temporal_lobe_lateral_part,0.649318,0.671273,0.9672934856608264
Anterior_temporal_lobe_medial_part,0.571949,0.615821,0.9287585191151326
Caudate_nucleus,0.489624,0.494687,0.9897652454986688
Cerebellum,0.676269,0.708263,0.9548275146379241
Cuneus,0.612091,0.615283,0.9948121433551715
Fusiform_gyrus,0.599729,0.594611,1.0086073079710935
Gyrus_cinguli_anterior_part,0.801462,0.798816,1.0033124023554862
Gyrus_cinguli_posterior_part,0.778471,0.723041,1.0766623192875646
Gyrus_rectus,0.669039,0.614994,1.0878789061356697
Hippocampus,0.63572,0.64769,0.9815189365282774
Inferior_frontal_gyrus,0.723206,0.69916,1.034392699811202
Inferolateral_remainder_of_parietal_lobe,0.625339,0.596982,1.0475005946577953
Insula,0.759705,0.752403,1.0097049054828329
Lateral_remainder_of_occipital_lobe,0.625019,0.619227,1.0093535973076109
Lateral_ventricle_excluding_temporal_horn,0.387947,0.344738,1.1253386629846434
Lateral_ventricle_temporal_horn,0.632214,0.452057,1.3985271768825613
Lingual_gyrus,0.699972,0.655109,1.0684817335741075
Middle_and_inferior_temporal_gyri,0.654866,0.663604,0.9868325085442523
Middle_frontal_gyrus,0.666033,0.651838,1.0217768832133136
Nucleus_accumbens,0.614566,0.578971,1.0614797632351187
Orbitofrontal_gyri,0.614964,0.612977,1.0032415571873006
Pallidum,0.738771,0.680506,1.08562011209306
Parahippocampal_and_ambient_gyri,0.549332,0.559461,0.9818950740087335
Postcentral_gyrus,0.592791,0.575418,1.0301919647977644
Posterior_temporal_lobe,0.68267,0.692613,0.9856442197879624
Precentral_gyrus,0.637123,0.622253,1.023897032236084
Putamen,0.727292,0.718791,1.0118268036188545
Superior_frontal_gyrus,0.669383,0.702283,0.9531527888329918
Superior_parietal_gyrus,0.579618,0.570535,1.0159201451269422
Superior_temporal_gyrus,0.69187,0.699731,0.9887656828123951
Thalamus,0.67477,0.674579,1.000283139558154
Amygdala,0.40948,0.387552,1.056580794319214
Anterior_temporal_lobe_lateral_part,0.613948,0.566727,1.0833223050957517
Anterior_temporal_lobe_medial_part,0.47276,0.437461,1.0806906215639795
Caudate_nucleus,0.31627,0.327099,0.9668938150223634
Cerebellum,0.470242,0.453913,1.0359738540204841
Cuneus,0.476192,0.484293,0.983272523038739
Fusiform_gyrus,0.415397,0.453565,0.9158488860472038
Gyrus_cinguli_anterior_part,0.59075,0.558967,1.0568602439857808
Gyrus_cinguli_posterior_part,0.578084,0.522497,1.1063872137064903
Gyrus_rectus,0.406595,0.370912,1.0962034121301008
Hippocampus,0.421562,0.42206,0.9988200729754063
Inferior_frontal_gyrus,0.525093,0.54844,0.9574301655604989
Inferolateral_remainder_of_parietal_lobe,0.424413,0.417,1.017776978417266
Insula,0.466025,0.460578,1.011826444163638
Lateral_remainder_of_occipital_lobe,0.431078,0.446001,0.9665404337658436
Lateral_ventricle_excluding_temporal_horn,0.200174,0.21461,0.9327337961884348
Lateral_ventricle_temporal_horn,0.437014,0.362031,1.207117622524038
Lingual_gyrus,0.432779,0.38773,1.1161865215485003
Middle_and_inferior_temporal_gyri,0.465228,0.490498,0.9484809316245938
Middle_frontal_gyrus,0.406687,0.397874,1.0221502284642878
Nucleus_accumbens,0.349581,0.344959,1.0133986937578088
Orbitofrontal_gyri,0.43573,0.43734,0.9963186536790598
Pallidum,0.440456,0.403053,1.0927992100294504
Parahippocampal_and_ambient_gyri,0.3451,0.38462,0.8972492330092039
Postcentral_gyrus,0.408824,0.391646,1.0438610377739082
Posterior_temporal_lobe,0.376992,0.378351,0.9964080972430363
Precentral_gyrus,0.441131,0.412263,1.0700232618498386
Putamen,0.601194,0.575566,1.04452660511566
Superior_frontal_gyrus,0.450853,0.452204,0.9970124103280821
Superior_parietal_gyrus,0.399148,0.403769,0.9885553373339707
Superior_temporal_gyrus,0.511387,0.50219,1.0183137856189888
Thalamus,0.317797,0.343085,0.9262923182301762
