Region,Left,Right,Ratio
Amygdala,0.715525,0.720935,0.9924958560757904
Anterior_temporal_lobe_lateral_part,0.681754,0.709442,0.9609721443049607
Anterior_temporal_lobe_medial_part,0.573417,0.643379,0.8912584961585627
Caudate_nucleus,0.471368,0.479797,0.9824321535982927
Cerebellum,0.693171,0.728074,0.9520611915821743
Cuneus,0.61135,0.62131,0.9839693550723471
Fusiform_gyrus,0.607485,0.600277,1.0120077897370716
Gyrus_cinguli_anterior_part,0.807306,0.807098,1.0002577134375255
Gyrus_cinguli_posterior_part,0.791861,0.737258,1.074062268568127
Gyrus_rectus,0.689706,0.619005,1.1142171711052415
Hippocampus,0.642122,0.663367,0.9679739872498933
Inferior_frontal_gyrus,0.742515,0.711446,1.0436702153079784
Inferolateral_remainder_of_parietal_lobe,0.639245,0.606059,1.0547570451061694
Insula,0.759332,0.755237,1.0054221390106681
Lateral_remainder_of_occipital_lobe,0.65218,0.643018,1.014248434725
Lateral_ventricle_excluding_temporal_horn,0.387332,0.336458,1.1512046080045653
Lateral_ventricle_temporal_horn,0.66154,0.445803,1.483929000029161
Lingual_gyrus,0.69963,0.644818,1.0850038305382292
Middle_and_inferior_temporal_gyri,0.673167,0.686734,0.9802441702318511
Middle_frontal_gyrus,0.689565,0.670996,1.0276737864309176
Nucleus_accumbens,0.606506,0.588221,1.0310852553717056
Orbitofrontal_gyri,0.62673,0.629119,0.9962026262122111
Pallidum,0.744074,0.682806,1.0897297328963131
Parahippocampal_and_ambient_gyri,0.541789,0.560522,0.9665793670899626
Postcentral_gyrus,0.594755,0.576366,1.0319050742063203
Posterior_temporal_lobe,0.698301,0.708062,0.9862144840423579
Precentral_gyrus,0.647763,0.627819,1.0317671175928094
Putamen,0.740906,0.728249,1.017380044462814
Superior_frontal_gyrus,0.683796,0.71483,0.9565854818628206
Superior_parietal_gyrus,0.581215,0.569611,1.0203717975952011
Superior_temporal_gyrus,0.699103,0.705878,0.9904020241458156
Thalamus,0.690253,0.686241,1.005846342611415
Amygdala,0.404814,0.389698,1.0387890109777316
Anterior_temporal_lobe_lateral_part,0.618041,0.576419,1.0722078904408077
Anterior_temporal_lobe_medial_part,0.479988,0.437099,1.0981219357628365
Caudate_nucleus,0.309013,0.323676,0.9546985256861799
Cerebellum,0.464195,0.444153,1.0451240901220975
Cuneus,0.476504,0.480863,0.9909350480282326
Fusiform_gyrus,0.418435,0.448403,0.9331672624848629
Gyrus_cinguli_anterior_part,0.590775,0.558679,1.05744980570238
Gyrus_cinguli_posterior_part,0.584267,0.534537,1.0930337843778821
Gyrus_rectus,0.415204,0.374465,1.1087925440294821
Hippocampus,0.420032,0.415476,1.010965735686297
Inferior_frontal_gyrus,0.507835,0.543954,0.9335991646352448
Inferolateral_remainder_of_parietal_lobe,0.419059,0.413936,1.0123763093811604
Insula,0.461531,0.458246,1.0071686386787884
Lateral_remainder_of_occipital_lobe,0.420234,0.441933,0.9508997970280563
Lateral_ventricle_excluding_temporal_horn,0.198952,0.213424,0.9321913186895568
Lateral_ventricle_temporal_horn,0.442403,0.350075,1.2637377704777546
Lingual_gyrus,0.426595,0.374562,1.138916921631132
Middle_and_inferior_temporal_gyri,0.450279,0.488553,0.9216584485204266
Middle_frontal_gyrus,0.392206,0.384672,1.0195855170118957
Nucleus_accumbens,0.335036,0.351326,0.9536328082749355
Orbitofrontal_gyri,0.429356,0.428639,1.0016727362652489
Pallidum,0.434841,0.407756,1.0664245283944318
Parahippocampal_and_ambient_gyri,0.341091,0.390938,0.8724938481293708
Postcentral_gyrus,0.405686,0.388105,1.0452995967586092
Posterior_temporal_lobe,0.368093,0.367992,1.000274462488315
Precentral_gyrus,0.436545,0.410066,1.0645725322265198
Putamen,0.613698,0.587706,1.0442261947300182
Superior_frontal_gyrus,0.439666,0.444673,0.9887400404342067
Superior_parietal_gyrus,0.39663,0.403491,0.9829959032543477
Superior_temporal_gyrus,0.502558,0.496917,1.0113519964098632
Thalamus,0.313199,0.338819,0.924384405833203
