Region,Left,Right,Ratio
Amygdala,0.714499,0.71358,1.001287872417949
Anterior_temporal_lobe_lateral_part,0.660458,0.678434,0.9735036864308098
Anterior_temporal_lobe_medial_part,0.593049,0.639122,0.927912041832389
Caudate_nucleus,0.498157,0.503466,0.9894550972657539
Cerebellum,0.691103,0.722884,0.9560358231749493
Cuneus,0.619094,0.621217,0.9965825146446411
Fusiform_gyrus,0.62254,0.610345,1.0199805028303663
Gyrus_cinguli_anterior_part,0.807102,0.801666,1.0067808788198576
Gyrus_cinguli_posterior_part,0.788668,0.725487,1.087087707980984
Gyrus_rectus,0.685792,0.630013,1.0885362682992255
Hippocampus,0.654958,0.67607,0.9687724643897823
Inferior_frontal_gyrus,0.730568,0.704496,1.0370080170788762
Inferolateral_remainder_of_parietal_lobe,0.63447,0.605054,1.048617148221481
Insula,0.766565,0.760681,1.007735174140014
Lateral_remainder_of_occipital_lobe,0.632551,0.625999,1.0104664703937227
Lateral_ventricle_excluding_temporal_horn,0.401434,0.351528,1.1419687763136934
Lateral_ventricle_temporal_horn,0.66542,0.458986,1.449760994888733
Lingual_gyrus,0.709103,0.658887,1.0762133719438993
Middle_and_inferior_temporal_gyri,0.664764,0.671426,0.9900778343406422
Middle_frontal_gyrus,0.675668,0.662178,1.0203721657922795
Nucleus_accumbens,0.629263,0.594008,1.0593510525110774
Orbitofrontal_gyri,0.637297,0.635096,1.0034656177963646
Pallidum,0.742541,0.687086,1.080710420529599
Parahippocampal_and_ambient_gyri,0.562921,0.573812,0.9810199159306533
Postcentral_gyrus,0.602508,0.583063,1.0333497409370858
Posterior_temporal_lobe,0.690623,0.700764,0.9855286515859832
Precentral_gyrus,0.648621,0.630613,1.0285563412108536
Putamen,0.735749,0.72702,1.012006547275178
Superior_frontal_gyrus,0.679287,0.709685,0.9571669120807118
Superior_parietal_gyrus,0.58822,0.576153,1.0209440895040032
Superior_temporal_gyrus,0.699847,0.70435,0.9936068715837296
Thalamus,0.68695,0.686428,1.0007604584894554
Amygdala,0.386902,0.367142,1.0538211373256123
Anterior_temporal_lobe_lateral_part,0.617341,0.570636,1.081847272166495
Anterior_temporal_lobe_medial_part,0.482095,0.432816,1.1138566966101069
Caudate_nucleus,0.312402,0.324951,0.9613818698819208
Cerebellum,0.462197,0.445053,1.0385212547719036
Cuneus,0.473053,0.479562,0.9864271981516467
Fusiform_gyrus,0.412381,0.455694,0.904951568377025
Gyrus_cinguli_anterior_part,0.582305,0.545273,1.0679146042441126
Gyrus_cinguli_posterior_part,0.57189,0.513515,1.1136773025130715
Gyrus_rectus,0.404433,0.368361,1.0979256761709302
Hippocampus,0.406529,0.414386,0.9810394173548334
Inferior_frontal_gyrus,0.512683,0.537932,0.9530628406564399
Inferolateral_remainder_of_parietal_lobe,0.418044,0.412033,1.0145886373178847
Insula,0.459503,0.454263,1.0115351679533662
Lateral_remainder_of_occipital_lobe,0.42568,0.442472,0.9620495760183696
Lateral_ventricle_excluding_temporal_horn,0.196661,0.213209,0.9223860155997167
Lateral_ventricle_temporal_horn,0.430392,0.35184,1.2232605729877217
Lingual_gyrus,0.428599,0.379164,1.1303789389288013
Middle_and_inferior_temporal_gyri,0.452898,0.486203,0.9314998056367403
Middle_frontal_gyrus,0.400042,0.391202,1.0225970214876203
Nucleus_accumbens,0.350623,0.350291,1.0009477834143612
Orbitofrontal_gyri,0.42879,0.426112,1.0062847326524482
Pallidum,0.433292,0.402609,1.0762104175515204
Parahippocampal_and_ambient_gyri,0.34,0.378836,0.8974859833806713
Postcentral_gyrus,0.404494,0.387979,1.042566736859469
Posterior_temporal_lobe,0.371479,0.373231,0.9953058561587864
Precentral_gyrus,0.434781,0.408599,1.0640774940712043
Putamen,0.601795,0.576523,1.043835198248812
Superior_frontal_gyrus,0.447201,0.448022,0.9981675007030906
Superior_parietal_gyrus,0.398518,0.401902,0.9915800369244243
Superior_temporal_gyrus,0.501097,0.492966,1.0164940381283902
Thalamus,0.308429,0.335654,0.9188896899783706
