Region,Left,Right,Ratio
Amygdala,0.738191,0.726189,1.016527377858932
Anterior_temporal_lobe_lateral_part,0.669627,0.681339,0.9828103190922579
Anterior_temporal_lobe_medial_part,0.595945,0.634733,0.9388908407157024
Caudate_nucleus,0.55734,0.563457,0.9891438033425798
Cerebellum,0.687031,0.719274,0.9551728548508635
Cuneus,0.625962,0.631173,0.991743943419633
Fusiform_gyrus,0.612067,0.611886,1.0002958067352414
Gyrus_cinguli_anterior_part,0.815479,0.812392,1.0037998897084166
Gyrus_cinguli_posterior_part,0.799566,0.73624,1.0860127132456807
Gyrus_rectus,0.687165,0.633602,1.084537296283787
Hippocampus,0.667112,0.672877,0.9914323122948178
Inferior_frontal_gyrus,0.73872,0.716167,1.0314912583238267
Inferolateral_remainder_of_parietal_lobe,0.637245,0.609261,1.0459310541787508
Insula,0.78074,0.772956,1.0100704309171544
Lateral_remainder_of_occipital_lobe,0.63933,0.636482,1.0044745962965174
Lateral_ventricle_excluding_temporal_horn,0.417063,0.377572,1.1045919718623203
Lateral_ventricle_temporal_horn,0.657125,0.444801,1.4773460491320838
Lingual_gyrus,0.716954,0.675887,1.060760156653405
Middle_and_inferior_temporal_gyri,0.669559,0.675055,0.9918584411640534
Middle_frontal_gyrus,0.683086,0.666099,1.0255022151361883
Nucleus_accumbens,0.673154,0.63657,1.0574705059930567
Orbitofrontal_gyri,0.630868,0.628339,1.0040248973881933
Pallidum,0.77367,0.722332,1.071072581582984
Parahippocampal_and_ambient_gyri,0.582603,0.588414,0.9901243002375878
Postcentral_gyrus,0.615052,0.593266,1.0367221448726205
Posterior_temporal_lobe,0.698573,0.708304,0.9862615487135467
Precentral_gyrus,0.655497,0.638956,1.0258875415521571
Putamen,0.745467,0.734767,1.0145624395216444
Superior_frontal_gyrus,0.682615,0.715614,0.9538871514531577
Superior_parietal_gyrus,0.596752,0.588164,1.014601369686006
Superior_temporal_gyrus,0.705893,0.718062,0.9830529954237935
Thalamus,0.71212,0.712447,0.9995410184897964
Amygdala,0.405797,0.378174,1.0730430965640154
Anterior_temporal_lobe_lateral_part,0.597562,0.541233,1.1040753243057981
Anterior_temporal_lobe_medial_part,0.46304,0.425659,1.0878191228189702
Caudate_nucleus,0.313992,0.32606,0.9629884070416487
Cerebellum,0.448658,0.434329,1.0329911196351154
Cuneus,0.455126,0.462746,0.9835330829439909
Fusiform_gyrus,0.390667,0.442806,0.8822531763345574
Gyrus_cinguli_anterior_part,0.57862,0.544047,1.0635478184789182
Gyrus_cinguli_posterior_part,0.564036,0.500368,1.1272423496306716
Gyrus_rectus,0.381171,0.3477,1.0962640207075063
Hippocampus,0.416279,0.414488,1.0043209936113953
Inferior_frontal_gyrus,0.504729,0.52946,0.9532901446757072
Inferolateral_remainder_of_parietal_lobe,0.410864,0.402513,1.0207471559924772
Insula,0.443308,0.437974,1.0121788051345513
Lateral_remainder_of_occipital_lobe,0.413315,0.429397,0.962547479372236
Lateral_ventricle_excluding_temporal_horn,0.179153,0.198443,0.9027932454155602
Lateral_ventricle_temporal_horn,0.43547,0.347451,1.2533278073742773
Lingual_gyrus,0.420018,0.372064,1.128886428141395
Middle_and_inferior_temporal_gyri,0.448738,0.472801,0.9491054375942521
Middle_frontal_gyrus,0.391383,0.38339,1.0208482224366833
Nucleus_accumbens,0.343048,0.337331,1.0169477456859881
Orbitofrontal_gyri,0.416876,0.41658,1.000710547793941
Pallidum,0.42336,0.381077,1.110956578329314
Parahippocampal_and_ambient_gyri,0.322835,0.365923,0.8822484511768869
Postcentral_gyrus,0.395119,0.377897,1.045573264672649
Posterior_temporal_lobe,0.362856,0.363456,0.9983491811938722
Precentral_gyrus,0.42877,0.395804,1.0832886984467058
Putamen,0.56643,0.54143,1.046174020649022
Superior_frontal_gyrus,0.428956,0.42596,1.0070335242745798
Superior_parietal_gyrus,0.386032,0.390937,0.9874532213630329
Superior_temporal_gyrus,0.489208,0.473876,1.0323544555959785
Thalamus,0.306233,0.333821,0.9173569068452854
