Region,Left,Right,Ratio
Amygdala,0.738782,0.72438,1.0198818299787404
Anterior_temporal_lobe_lateral_part,0.66803,0.678358,0.9847750008107813
Anterior_temporal_lobe_medial_part,0.59436,0.6359,0.9346752634061959
Caudate_nucleus,0.556149,0.564134,0.9858455615155264
Cerebellum,0.686245,0.718441,0.9551862992229007
Cuneus,0.631181,0.632437,0.9980140314371233
Fusiform_gyrus,0.60449,0.615171,0.9826373479894207
Gyrus_cinguli_anterior_part,0.814867,0.81131,1.0043842674193588
Gyrus_cinguli_posterior_part,0.80114,0.731601,1.0950504441628703
Gyrus_rectus,0.68448,0.630267,1.0860159265834954
Hippocampus,0.670112,0.669976,1.0002029923459945
Inferior_frontal_gyrus,0.741504,0.71593,1.0357213694076237
Inferolateral_remainder_of_parietal_lobe,0.638733,0.610088,1.0469522429551148
Insula,0.780827,0.772442,1.0108551839490862
Lateral_remainder_of_occipital_lobe,0.640223,0.638003,1.0034796074626608
Lateral_ventricle_excluding_temporal_horn,0.416481,0.383108,1.0871112062394939
Lateral_ventricle_temporal_horn,0.67365,0.460684,1.4622821717272578
Lingual_gyrus,0.715188,0.677222,1.0560613801678032
Middle_and_inferior_temporal_gyri,0.668544,0.67307,0.9932755879774765
Middle_frontal_gyrus,0.68424,0.666223,1.0270434974475513
Nucleus_accumbens,0.70486,0.634206,1.1114054423956885
Orbitofrontal_gyri,0.629205,0.624136,1.0081216273376314
Pallidum,0.772813,0.714914,1.080987363515052
Parahippocampal_and_ambient_gyri,0.585438,0.583851,1.0027181592563856
Postcentral_gyrus,0.614572,0.591876,1.0383458697429868
Posterior_temporal_lobe,0.700489,0.707382,0.9902556186049406
Precentral_gyrus,0.657473,0.63991,1.0274460471003735
Putamen,0.744777,0.730285,1.0198443073594556
Superior_frontal_gyrus,0.685091,0.714863,0.958352859219179
Superior_parietal_gyrus,0.597925,0.587571,1.0176217001860202
Superior_temporal_gyrus,0.706034,0.716142,0.9858854808124647
Thalamus,0.715168,0.714394,1.0010834357511402
Amygdala,0.407767,0.377313,1.0807128299316482
Anterior_temporal_lobe_lateral_part,0.595582,0.541816,1.099232949931342
Anterior_temporal_lobe_medial_part,0.460906,0.423451,1.0884517925332564
Caudate_nucleus,0.311887,0.329502,0.9465405369314905
Cerebellum,0.448858,0.435593,1.0304527391395177
Cuneus,0.452178,0.461642,0.9794992656647359
Fusiform_gyrus,0.392538,0.447616,0.876952566485559
Gyrus_cinguli_anterior_part,0.580006,0.538777,1.0765233111287231
Gyrus_cinguli_posterior_part,0.563658,0.500402,1.1264103660656832
Gyrus_rectus,0.379708,0.349616,1.086071575671594
Hippocampus,0.412893,0.414809,0.995381006680183
Inferior_frontal_gyrus,0.504591,0.527853,0.9559309125836171
Inferolateral_remainder_of_parietal_lobe,0.410774,0.404118,1.0164704368526025
Insula,0.442907,0.437572,1.0121922792134779
Lateral_remainder_of_occipital_lobe,0.411788,0.429349,0.9590985422115808
Lateral_ventricle_excluding_temporal_horn,0.178424,0.198158,0.9004128019055501
Lateral_ventricle_temporal_horn,0.434209,0.350733,1.2380044079114312
Lingual_gyrus,0.420874,0.37447,1.123919139049857
Middle_and_inferior_temporal_gyri,0.447363,0.475788,0.9402570052208127
Middle_frontal_gyrus,0.390815,0.383152,1.0199998956027896
Nucleus_accumbens,0.34649,0.352182,0.9838379019938556
Orbitofrontal_gyri,0.41457,0.421065,0.9845748281144241
Pallidum,0.428484,0.382099,1.1213952405004983
Parahippocampal_and_ambient_gyri,0.327563,0.36169,0.9056457187093919
Postcentral_gyrus,0.39533,0.378381,1.044793475359492
Posterior_temporal_lobe,0.361726,0.363851,0.9941596972387049
Precentral_gyrus,0.428035,0.395303,1.082802306079134
Putamen,0.569273,0.537745,1.058630019804926
Superior_frontal_gyrus,0.429251,0.424778,1.0105302063666197
Superior_parietal_gyrus,0.385706,0.390122,0.9886804640599607
Superior_temporal_gyrus,0.489877,0.47302,1.0356369709526025
Thalamus,0.306562,0.336901,0.9099468389823716
