Region,Left,Right,Ratio
Amygdala,0.66139,0.664679,0.9950517467830337
Anterior_temporal_lobe_lateral_part,0.619787,0.637131,0.9727779687379832
Anterior_temporal_lobe_medial_part,0.548788,0.601882,0.911786695731057
Caudate_nucleus,0.450215,0.453779,0.9921459565118703
Cerebellum,0.660377,0.690931,0.955778507549958
Cuneus,0.59159,0.592811,0.9979403216202128
Fusiform_gyrus,0.576748,0.57648,1.0004648903691369
Gyrus_cinguli_anterior_part,0.78038,0.777023,1.0043203354340862
Gyrus_cinguli_posterior_part,0.753436,0.710647,1.0602113285498989
Gyrus_rectus,0.643841,0.588023,1.09492485838139
Hippocampus,0.606748,0.623002,0.9739101961149402
Inferior_frontal_gyrus,0.694727,0.670675,1.0358623774555484
Inferolateral_remainder_of_parietal_lobe,0.599026,0.568127,1.054387487304775
Insula,0.735425,0.726689,1.012021648875929
Lateral_remainder_of_occipital_lobe,0.589794,0.583443,1.01088538211959
Lateral_ventricle_excluding_temporal_horn,0.365193,0.322909,1.1309471089378123
Lateral_ventricle_temporal_horn,0.625107,0.45598,1.3709088117899908
Lingual_gyrus,0.678966,0.628211,1.0807929183029268
Middle_and_inferior_temporal_gyri,0.627842,0.632783,0.992191635995278
Middle_frontal_gyrus,0.639095,0.621615,1.028120299542321
Nucleus_accumbens,0.56781,0.543025,1.0456424658164911
Orbitofrontal_gyri,0.595034,0.59284,1.003700829903515
Pallidum,0.697764,0.645299,1.0813033957901688
Parahippocampal_and_ambient_gyri,0.520307,0.540932,0.9618713627590899
Postcentral_gyrus,0.568978,0.549216,1.0359822000815708
Posterior_temporal_lobe,0.653894,0.661709,0.9881896724995428
Precentral_gyrus,0.613548,0.595831,1.0297349416193518
Putamen,0.707931,0.699126,1.0125942963071033
Superior_frontal_gyrus,0.649869,0.680343,0.9552078877860138
Superior_parietal_gyrus,0.556571,0.549503,1.0128625321426818
Superior_temporal_gyrus,0.669043,0.671584,0.9962164077762425
Thalamus,0.639256,0.636953,1.003615651390291
Amygdala,0.41536,0.405134,1.025241031362463
Anterior_temporal_lobe_lateral_part,0.628522,0.590629,1.0641570258148518
Anterior_temporal_lobe_medial_part,0.487605,0.455208,1.0711696630990668
Caudate_nucleus,0.321805,0.331376,0.9711174013809087
Cerebellum,0.488709,0.472042,1.0353082988378153
Cuneus,0.490995,0.50461,0.9730187669685499
Fusiform_gyrus,0.436974,0.463934,0.9418882858337607
Gyrus_cinguli_anterior_part,0.603107,0.572761,1.052981959316364
Gyrus_cinguli_posterior_part,0.592185,0.545848,1.084889932728525
Gyrus_rectus,0.423031,0.384768,1.0994443404856953
Hippocampus,0.425259,0.427726,0.9942322888952273
Inferior_frontal_gyrus,0.547193,0.56821,0.9630119146090355
Inferolateral_remainder_of_parietal_lobe,0.437882,0.430083,1.01813370907476
Insula,0.488142,0.483224,1.0101774746287437
Lateral_remainder_of_occipital_lobe,0.446118,0.459917,0.9699967602850079
Lateral_ventricle_excluding_temporal_horn,0.211993,0.224994,0.9422162368774278
Lateral_ventricle_temporal_horn,0.446364,0.373748,1.1942913406894484
Lingual_gyrus,0.446882,0.401318,1.113535899212096
Middle_and_inferior_temporal_gyri,0.481041,0.510151,0.9429384633177236
Middle_frontal_gyrus,0.420001,0.411105,1.021639240583306
Nucleus_accumbens,0.352229,0.360304,0.97758836982104
Orbitofrontal_gyri,0.456284,0.454361,1.0042323174744312
Pallidum,0.454024,0.426333,1.0649515754117087
Parahippocampal_and_ambient_gyri,0.365496,0.404934,0.9026063506645526
Postcentral_gyrus,0.424788,0.405359,1.0479303530944175
Posterior_temporal_lobe,0.390012,0.392322,0.9941119794454556
Precentral_gyrus,0.455872,0.428884,1.0629261058934352
Putamen,0.633153,0.607164,1.0428039211810975
Superior_frontal_gyrus,0.472413,0.475418,0.9936792464736296
Superior_parietal_gyrus,0.413595,0.418395,0.988527587566773
Superior_temporal_gyrus,0.531418,0.532592,0.997795686003545
Thalamus,0.328259,0.351169,0.9347607562170921
