Region,Left,Right,Ratio
Amygdala,0.757094,0.753747,1.0044404820185024
Anterior_temporal_lobe_lateral_part,0.709899,0.726602,0.9770121744779122
Anterior_temporal_lobe_medial_part,0.597184,0.656875,0.9091288296860134
Caudate_nucleus,0.509865,0.522055,0.9766499698307649
Cerebellum,0.703469,0.738308,0.9528123764065946
Cuneus,0.624938,0.63682,0.9813416664049495
Fusiform_gyrus,0.624186,0.616904,1.0118041056631177
Gyrus_cinguli_anterior_part,0.823918,0.818636,1.006452196092036
Gyrus_cinguli_posterior_part,0.815976,0.744708,1.0956992539357708
Gyrus_rectus,0.707036,0.63418,1.1148822100980795
Hippocampus,0.672064,0.688789,0.9757182533402827
Inferior_frontal_gyrus,0.761498,0.730961,1.041776510648311
Inferolateral_remainder_of_parietal_lobe,0.655995,0.623658,1.0518505334654569
Insula,0.779123,0.775751,1.0043467555955454
Lateral_remainder_of_occipital_lobe,0.675983,0.670178,1.0086618778891576
Lateral_ventricle_excluding_temporal_horn,0.411482,0.356605,1.1538873543556596
Lateral_ventricle_temporal_horn,0.6784,0.441735,1.5357623914790541
Lingual_gyrus,0.714662,0.663087,1.0777801404642227
Middle_and_inferior_temporal_gyri,0.693273,0.704172,0.9845222474054635
Middle_frontal_gyrus,0.7101,0.690582,1.028263117196799
Nucleus_accumbens,0.645768,0.627185,1.0296292162599552
Orbitofrontal_gyri,0.641297,0.640543,1.0011771262819202
Pallidum,0.77754,0.713973,1.0890327785504494
Parahippocampal_and_ambient_gyri,0.564973,0.576637,0.9797723697924344
Postcentral_gyrus,0.616457,0.594382,1.0371394153927946
Posterior_temporal_lobe,0.717292,0.728141,0.9851004132441381
Precentral_gyrus,0.669533,0.646283,1.0359749521494455
Putamen,0.758409,0.741554,1.0227292955064633
Superior_frontal_gyrus,0.699834,0.729483,0.9593561467505068
Superior_parietal_gyrus,0.600399,0.58665,1.0234364612631042
Superior_temporal_gyrus,0.715486,0.724019,0.9882143976884584
Thalamus,0.721835,0.71893,1.004040727191799
Amygdala,0.398274,0.373724,1.0656901884813392
Anterior_temporal_lobe_lateral_part,0.597947,0.546575,1.0939889310707587
Anterior_temporal_lobe_medial_part,0.469037,0.422072,1.1112724843154722
Caudate_nucleus,0.303844,0.322293,0.9427570564672518
Cerebellum,0.445598,0.426489,1.0448053759885951
Cuneus,0.462359,0.46094,1.0030784917776718
Fusiform_gyrus,0.397326,0.441306,0.900341259806121
Gyrus_cinguli_anterior_part,0.583175,0.541254,1.077451621604644
Gyrus_cinguli_posterior_part,0.575476,0.513946,1.1197207488724497
Gyrus_rectus,0.399147,0.360336,1.1077078060476888
Hippocampus,0.41592,0.409304,1.016164024783535
Inferior_frontal_gyrus,0.48495,0.526433,0.9211998487936736
Inferolateral_remainder_of_parietal_lobe,0.405941,0.400676,1.0131402929049906
Insula,0.442982,0.439892,1.0070244514562665
Lateral_remainder_of_occipital_lobe,0.401787,0.426255,0.9425977407889644
Lateral_ventricle_excluding_temporal_horn,0.185956,0.203552,0.9135552586071373
Lateral_ventricle_temporal_horn,0.438138,0.337593,1.2978290426637995
Lingual_gyrus,0.415538,0.361078,1.1508261372888962
Middle_and_inferior_temporal_gyri,0.432948,0.469418,0.922308049542199
Middle_frontal_gyrus,0.378611,0.370942,1.0206743911447071
Nucleus_accumbens,0.323779,0.341919,0.9469464990246228
Orbitofrontal_gyri,0.412002,0.409543,1.0060042535216083
Pallidum,0.419665,0.39044,1.0748514496465527
Parahippocampal_and_ambient_gyri,0.322296,0.3747,0.8601441152922339
Postcentral_gyrus,0.393087,0.375394,1.047131813507941
Posterior_temporal_lobe,0.355501,0.355533,0.9999099942902628
Precentral_gyrus,0.42439,0.39512,1.0740787608827698
Putamen,0.58908,0.56163,1.048875594252444
Superior_frontal_gyrus,0.420874,0.4212,0.9992260208926875
Superior_parietal_gyrus,0.384841,0.390879,0.9845527644104698
Superior_temporal_gyrus,0.484693,0.471124,1.0288013346804663
Thalamus,0.302781,0.330569,0.915938881141305
