Region,Left,Right,Ratio
Amygdala,0.750368,0.741208,1.0123582044446364
Anterior_temporal_lobe_lateral_part,0.69357,0.707425,0.9804148849701383
Anterior_temporal_lobe_medial_part,0.61689,0.657946,0.9375997422280856
Caudate_nucleus,0.54069,0.542972,0.9957972050124132
Cerebellum,0.706725,0.738654,0.9567740782558546
Cuneus,0.636709,0.640191,0.9945609982020991
Fusiform_gyrus,0.638714,0.629915,1.0139685513124788
Gyrus_cinguli_anterior_part,0.823931,0.818741,1.0063390009783313
Gyrus_cinguli_posterior_part,0.812987,0.741437,1.0965017931395384
Gyrus_rectus,0.704497,0.651556,1.0812531846840487
Hippocampus,0.683473,0.699737,0.97675698155164
Inferior_frontal_gyrus,0.753784,0.730497,1.0318782965570017
Inferolateral_remainder_of_parietal_lobe,0.655711,0.627741,1.0445565926074607
Insula,0.790112,0.783338,1.0086476080568032
Lateral_remainder_of_occipital_lobe,0.661627,0.656977,1.0070778733502086
Lateral_ventricle_excluding_temporal_horn,0.423947,0.373948,1.1337057558804968
Lateral_ventricle_temporal_horn,0.688369,0.45175,1.5237830658550084
Lingual_gyrus,0.728207,0.679677,1.0714015628011542
Middle_and_inferior_temporal_gyri,0.688619,0.696948,0.9880493236224223
Middle_frontal_gyrus,0.701283,0.68615,1.0220549442541718
Nucleus_accumbens,0.660405,0.625787,1.055319142136222
Orbitofrontal_gyri,0.654027,0.651839,1.003356657088637
Pallidum,0.779498,0.722134,1.0794367804313327
Parahippocampal_and_ambient_gyri,0.589535,0.596254,0.9887313124943398
Postcentral_gyrus,0.629585,0.60603,1.0388677128194974
Posterior_temporal_lobe,0.715112,0.725801,0.9852728227158684
Precentral_gyrus,0.672968,0.652998,1.0305820232221232
Putamen,0.756849,0.74422,1.0169694445190938
Superior_frontal_gyrus,0.696723,0.727358,0.9578818133573839
Superior_parietal_gyrus,0.610845,0.599174,1.0194784820436134
Superior_temporal_gyrus,0.721378,0.730547,0.9874491305829741
Thalamus,0.716948,0.71595,1.0013939520916266
Amygdala,0.373466,0.3497,1.067961109522448
Anterior_temporal_lobe_lateral_part,0.594118,0.540365,1.0994753546214133
Anterior_temporal_lobe_medial_part,0.46408,0.417063,1.1127335678302799
Caudate_nucleus,0.300731,0.313829,0.9582638953060425
Cerebellum,0.43904,0.42347,1.0367676576853142
Cuneus,0.451243,0.456072,0.9894117595467383
Fusiform_gyrus,0.389416,0.440758,0.8835143094396471
Gyrus_cinguli_anterior_part,0.557992,0.525511,1.0618084112416297
Gyrus_cinguli_posterior_part,0.553882,0.489355,1.1318613276660094
Gyrus_rectus,0.38349,0.348902,1.099133854205479
Hippocampus,0.398101,0.402891,0.9881109282659577
Inferior_frontal_gyrus,0.486443,0.510565,0.9527543016070431
Inferolateral_remainder_of_parietal_lobe,0.401837,0.395494,1.0160381699848797
Insula,0.435526,0.429595,1.013806026606455
Lateral_remainder_of_occipital_lobe,0.406238,0.425351,0.9550653460318654
Lateral_ventricle_excluding_temporal_horn,0.18789,0.204697,0.9178932764036601
Lateral_ventricle_temporal_horn,0.424284,0.339741,1.2488454440294223
Lingual_gyrus,0.411183,0.362422,1.1345420531866166
Middle_and_inferior_temporal_gyri,0.431525,0.463204,0.9316089671073652
Middle_frontal_gyrus,0.385672,0.376314,1.0248675308386084
Nucleus_accumbens,0.336706,0.327639,1.0276737506829163
Orbitofrontal_gyri,0.40689,0.405892,1.0024587821390911
Pallidum,0.415934,0.380453,1.0932598770413167
Parahippocampal_and_ambient_gyri,0.316758,0.358114,0.8845172207732733
Postcentral_gyrus,0.388166,0.373413,1.0395085334468805
Posterior_temporal_lobe,0.356064,0.357667,0.9955181775226677
Precentral_gyrus,0.420201,0.389752,1.0781240378497097
Putamen,0.563728,0.540266,1.0434267564496007
Superior_frontal_gyrus,0.424577,0.423967,1.0014387912266756
Superior_parietal_gyrus,0.382365,0.385316,0.9923413509950275
Superior_temporal_gyrus,0.477689,0.462182,1.0335517177215903
Thalamus,0.293638,0.322276,0.9111382789906788
