Region,Left,Right,Ratio
Amygdala,0.738565,0.730488,1.011056992038199
Anterior_temporal_lobe_lateral_part,0.668899,0.68756,0.9728590959334459
Anterior_temporal_lobe_medial_part,0.597925,0.637651,0.9376994625586725
Caudate_nucleus,0.580122,0.588585,0.9856214480491348
Cerebellum,0.692774,0.725528,0.954854947017896
Cuneus,0.633539,0.638093,0.9928631092959803
Fusiform_gyrus,0.619902,0.615954,1.0064095695457778
Gyrus_cinguli_anterior_part,0.819218,0.816272,1.0036090910872846
Gyrus_cinguli_posterior_part,0.801308,0.737943,1.0858670656134688
Gyrus_rectus,0.695477,0.641463,1.084204389029453
Hippocampus,0.671639,0.678788,0.9894679929521442
Inferior_frontal_gyrus,0.746886,0.721002,1.0359000391122355
Inferolateral_remainder_of_parietal_lobe,0.644558,0.616794,1.0450134080422313
Insula,0.7845,0.779014,1.0070422354412116
Lateral_remainder_of_occipital_lobe,0.647949,0.641998,1.0092694992819293
Lateral_ventricle_excluding_temporal_horn,0.426763,0.393155,1.0854828248400759
Lateral_ventricle_temporal_horn,0.657636,0.444328,1.4800687780198412
Lingual_gyrus,0.72463,0.685777,1.0566554433875734
Middle_and_inferior_temporal_gyri,0.674544,0.682371,0.9885297001191435
Middle_frontal_gyrus,0.687897,0.673262,1.0217374513933655
Nucleus_accumbens,0.696779,0.664751,1.0481804465130553
Orbitofrontal_gyri,0.639247,0.639642,0.9993824670675159
Pallidum,0.777925,0.737743,1.0544661216710967
Parahippocampal_and_ambient_gyri,0.596383,0.600778,0.992684485783434
Postcentral_gyrus,0.61868,0.600528,1.0302267338075828
Posterior_temporal_lobe,0.706755,0.715575,0.9876742479823919
Precentral_gyrus,0.657819,0.644358,1.0208905608372987
Putamen,0.748417,0.741434,1.0094182354734205
Superior_frontal_gyrus,0.688225,0.721176,0.9543093502834259
Superior_parietal_gyrus,0.600637,0.59106,1.016203092748621
Superior_temporal_gyrus,0.711145,0.725249,0.9805528859743343
Thalamus,0.722393,0.72437,0.99727073180833
Amygdala,0.405994,0.379736,1.0691480396907325
Anterior_temporal_lobe_lateral_part,0.590337,0.539684,1.0938567754463722
Anterior_temporal_lobe_medial_part,0.460752,0.423035,1.0891581074851964
Caudate_nucleus,0.313053,0.326431,0.9590173727372706
Cerebellum,0.444971,0.431878,1.0303164319553209
Cuneus,0.450079,0.45897,0.9806283635095976
Fusiform_gyrus,0.386919,0.441225,0.8769199388067314
Gyrus_cinguli_anterior_part,0.576421,0.539064,1.0692997491949008
Gyrus_cinguli_posterior_part,0.557224,0.491414,1.1339196685483117
Gyrus_rectus,0.375139,0.34341,1.0923939314522
Hippocampus,0.415957,0.414296,1.0040092108058007
Inferior_frontal_gyrus,0.500816,0.526179,0.9517977722410056
Inferolateral_remainder_of_parietal_lobe,0.408125,0.401007,1.0177503135855483
Insula,0.436837,0.433269,1.0082350687448212
Lateral_remainder_of_occipital_lobe,0.411501,0.426908,0.9639102570108782
Lateral_ventricle_excluding_temporal_horn,0.170399,0.193436,0.8809063462850761
Lateral_ventricle_temporal_horn,0.435365,0.345231,1.2610831588125053
Lingual_gyrus,0.419751,0.370439,1.1331177332840223
Middle_and_inferior_temporal_gyri,0.446295,0.470429,0.9486978906487483
Middle_frontal_gyrus,0.388731,0.383073,1.0147700307774237
Nucleus_accumbens,0.351306,0.347483,1.0110019770751375
Orbitofrontal_gyri,0.412181,0.41432,0.9948373238076849
Pallidum,0.419528,0.376934,1.1130012150668287
Parahippocampal_and_ambient_gyri,0.319569,0.364153,0.8775679453416558
Postcentral_gyrus,0.390708,0.376201,1.03856183263734
Posterior_temporal_lobe,0.360969,0.360817,1.0004212661820258
Precentral_gyrus,0.424706,0.393158,1.0802425487971756
Putamen,0.553967,0.532839,1.039651752217837
Superior_frontal_gyrus,0.424998,0.421149,1.009139283246547
Superior_parietal_gyrus,0.383541,0.387975,0.9885714285714285
Superior_temporal_gyrus,0.483152,0.466456,1.0357933009758693
Thalamus,0.303967,0.333799,0.9106288514944622
