Region,Left,Right,Ratio
Amygdala,0.83384,0.825104,1.0105877562101264
Anterior_temporal_lobe_lateral_part,0.704669,0.742131,0.9495210414333858
Anterior_temporal_lobe_medial_part,0.652932,0.716103,0.9117850365101109
Caudate_nucleus,0.594948,0.602187,0.9879788172112649
Cerebellum,0.776139,0.827428,0.9380139419985787
Cuneus,0.710489,0.718072,0.9894397776267561
Fusiform_gyrus,0.669652,0.703359,0.9520771042952462
Gyrus_cinguli_anterior_part,0.934991,0.93794,0.9968558756423652
Gyrus_cinguli_posterior_part,0.925557,0.864757,1.0703087688217614
Gyrus_rectus,0.762478,0.700866,1.0879083876233118
Hippocampus,0.732092,0.776334,0.9430116418964003
Inferior_frontal_gyrus,0.78022,0.791329,0.985961591196582
Inferolateral_remainder_of_parietal_lobe,0.672996,0.653093,1.0304749859514648
Insula,0.872745,0.874589,0.9978915810740817
Lateral_remainder_of_occipital_lobe,0.684792,0.705336,0.9708734560549865
Lateral_ventricle_excluding_temporal_horn,0.452667,0.417102,1.0852669131291628
Lateral_ventricle_temporal_horn,0.759197,0.562681,1.3492493970828943
Lingual_gyrus,0.81593,0.762575,1.0699668885027702
Middle_and_inferior_temporal_gyri,0.707036,0.735428,0.961393909396977
Middle_frontal_gyrus,0.730428,0.72091,1.0132027576257785
Nucleus_accumbens,0.744817,0.716015,1.0402254142720473
Orbitofrontal_gyri,0.682872,0.703098,0.9712330286816347
Pallidum,0.849781,0.795741,1.0679115440828109
Parahippocampal_and_ambient_gyri,0.624365,0.659861,0.9462068526553319
Postcentral_gyrus,0.647277,0.645342,1.0029984101453184
Posterior_temporal_lobe,0.749483,0.777198,0.9643398464741288
Precentral_gyrus,0.710799,0.707565,1.0045706048207586
Putamen,0.839622,0.836827,1.0033399973949215
Superior_frontal_gyrus,0.754783,0.787247,0.958762624690853
Superior_parietal_gyrus,0.660661,0.660724,0.9999046500505507
Superior_temporal_gyrus,0.751237,0.785595,0.9562649965949376
Thalamus,0.788766,0.786686,1.00264400281688
Amygdala,0.51287,0.496387,1.033205946167003
Anterior_temporal_lobe_lateral_part,0.704641,0.668132,1.0546433938203827
Anterior_temporal_lobe_medial_part,0.569838,0.530442,1.0742701369801033
Caudate_nucleus,0.385456,0.406631,0.9479257607019632
Cerebellum,0.559369,0.550728,1.0156901410496653
Cuneus,0.565781,0.581579,0.9728360205578263
Fusiform_gyrus,0.48232,0.550221,0.8765932234502137
Gyrus_cinguli_anterior_part,0.715447,0.683853,1.0461999874241978
Gyrus_cinguli_posterior_part,0.72403,0.645291,1.1220209176944975
Gyrus_rectus,0.485515,0.436666,1.1118681097223049
Hippocampus,0.490701,0.519264,0.9449932982066926
Inferior_frontal_gyrus,0.603397,0.651387,0.9263264388144067
Inferolateral_remainder_of_parietal_lobe,0.500409,0.498202,1.004429930028382
Insula,0.555325,0.550411,1.008927873897869
Lateral_remainder_of_occipital_lobe,0.49971,0.535956,0.9323713140630947
Lateral_ventricle_excluding_temporal_horn,0.228919,0.255318,0.896603451382198
Lateral_ventricle_temporal_horn,0.531732,0.455422,1.1675588794568554
Lingual_gyrus,0.522216,0.473168,1.1036587427721234
Middle_and_inferior_temporal_gyri,0.539886,0.580188,0.9305363089205567
Middle_frontal_gyrus,0.470072,0.471697,0.9965549918697808
Nucleus_accumbens,0.442455,0.467299,0.9468348958589682
Orbitofrontal_gyri,0.505499,0.523025,0.9664910855121649
Pallidum,0.520519,0.491663,1.058690607184189
Parahippocampal_and_ambient_gyri,0.40438,0.466472,0.8668901884786225
Postcentral_gyrus,0.484625,0.475129,1.0199861511294825
Posterior_temporal_lobe,0.443707,0.456621,0.9717183397171835
Precentral_gyrus,0.528394,0.499743,1.0573314683747448
Putamen,0.72728,0.699023,1.0404235626009446
Superior_frontal_gyrus,0.531243,0.530485,1.0014288811182221
Superior_parietal_gyrus,0.483634,0.492584,0.9818305101261916
Superior_temporal_gyrus,0.586199,0.60384,0.9707853073661897
Thalamus,0.388861,0.404946,0.9602786544378757
