Region,Left,Right,Ratio
Amygdala,0.82181,0.816937,1.0059649642506092
Anterior_temporal_lobe_lateral_part,0.701779,0.744983,0.942006730354921
Anterior_temporal_lobe_medial_part,0.64699,0.711852,0.9088827452897511
Caudate_nucleus,0.570086,0.573793,0.9935394820083201
Cerebellum,0.773641,0.826661,0.935862463573339
Cuneus,0.708166,0.718003,0.9862995001413644
Fusiform_gyrus,0.666639,0.701146,0.9507848579325846
Gyrus_cinguli_anterior_part,0.932814,0.939238,0.9931604130156574
Gyrus_cinguli_posterior_part,0.920528,0.865032,1.0641548520748365
Gyrus_rectus,0.758515,0.696976,1.0882942884690434
Hippocampus,0.723179,0.768433,0.9411087238575127
Inferior_frontal_gyrus,0.777794,0.791932,0.9821474571049029
Inferolateral_remainder_of_parietal_lobe,0.673081,0.655109,1.027433602652383
Insula,0.870279,0.871141,0.9990104931348657
Lateral_remainder_of_occipital_lobe,0.686731,0.708393,0.9694209287782346
Lateral_ventricle_excluding_temporal_horn,0.447028,0.403789,1.1070831548160054
Lateral_ventricle_temporal_horn,0.751763,0.561829,1.338063716896066
Lingual_gyrus,0.812392,0.76148,1.0668592740452802
Middle_and_inferior_temporal_gyri,0.706105,0.737903,0.9569076152285598
Middle_frontal_gyrus,0.729819,0.721563,1.0114418283642592
Nucleus_accumbens,0.718496,0.687481,1.0451139740589195
Orbitofrontal_gyri,0.676749,0.699323,0.9677202094025221
Pallidum,0.846793,0.783961,1.0801468440394357
Parahippocampal_and_ambient_gyri,0.611516,0.647904,0.9438373586210301
Postcentral_gyrus,0.644581,0.644954,0.9994216641807011
Posterior_temporal_lobe,0.74853,0.778689,0.9612695183828205
Precentral_gyrus,0.709936,0.707747,1.0030929131455166
Putamen,0.836318,0.833307,1.0036133141807282
Superior_frontal_gyrus,0.752198,0.786819,0.9559987748135212
Superior_parietal_gyrus,0.658873,0.661125,0.9965936850066176
Superior_temporal_gyrus,0.749563,0.785192,0.9546238372270731
Thalamus,0.778395,0.773988,1.0056938867269258
Amygdala,0.508017,0.490566,1.035573195044092
Anterior_temporal_lobe_lateral_part,0.705988,0.669165,1.0550282815150223
Anterior_temporal_lobe_medial_part,0.567752,0.530022,1.0711857243661584
Caudate_nucleus,0.382369,0.402662,0.949602892748757
Cerebellum,0.56289,0.552941,1.0179928780828333
Cuneus,0.568944,0.585412,0.9718693842968712
Fusiform_gyrus,0.487665,0.551617,0.8840644867725251
Gyrus_cinguli_anterior_part,0.714897,0.689626,1.0366445000623528
Gyrus_cinguli_posterior_part,0.722423,0.653051,1.1062275381248938
Gyrus_rectus,0.492225,0.440917,1.1163665723934437
Hippocampus,0.4928,0.518778,0.9499246305741571
Inferior_frontal_gyrus,0.605011,0.651811,0.9282000457187742
Inferolateral_remainder_of_parietal_lobe,0.501942,0.498913,1.006071198786161
Insula,0.560839,0.553826,1.01266282189713
Lateral_remainder_of_occipital_lobe,0.500862,0.53575,0.9348800746616893
Lateral_ventricle_excluding_temporal_horn,0.243732,0.263164,0.9261601130853764
Lateral_ventricle_temporal_horn,0.530876,0.454206,1.168800059884722
Lingual_gyrus,0.520811,0.475442,1.0954248888402793
Middle_and_inferior_temporal_gyri,0.541302,0.580399,0.9326377199133699
Middle_frontal_gyrus,0.471847,0.472119,0.9994238740656487
Nucleus_accumbens,0.433226,0.448003,0.9670158458760321
Orbitofrontal_gyri,0.507028,0.524273,0.967106831746056
Pallidum,0.528113,0.497187,1.0622019481603502
Parahippocampal_and_ambient_gyri,0.409155,0.471935,0.8669732060559188
Postcentral_gyrus,0.486517,0.4764,1.0212363560033586
Posterior_temporal_lobe,0.445373,0.458014,0.9724004069744594
Precentral_gyrus,0.530993,0.501717,1.0583516205350827
Putamen,0.733162,0.704729,1.040346005343898
Superior_frontal_gyrus,0.533527,0.53513,0.9970044662044737
Superior_parietal_gyrus,0.48459,0.494737,0.9794901129286875
Superior_temporal_gyrus,0.58951,0.606981,0.971216561968167
Thalamus,0.39271,0.406551,0.9659550708275223
