Region,Left,Right,Ratio
Amygdala,0.854762,0.842778,1.0142196402848673
Anterior_temporal_lobe_lateral_part,0.721801,0.75649,0.9541448003278299
Anterior_temporal_lobe_medial_part,0.65992,0.722533,0.9133423663694253
Caudate_nucleus,0.627727,0.637589,0.984532355482921
Cerebellum,0.784853,0.836263,0.9385241245875999
Cuneus,0.723785,0.730068,0.9913939523441652
Fusiform_gyrus,0.675923,0.714027,0.946635071222797
Gyrus_cinguli_anterior_part,0.947036,0.948283,0.9986849917166079
Gyrus_cinguli_posterior_part,0.940189,0.870228,1.0803938737893979
Gyrus_rectus,0.77261,0.706683,1.0932907682794124
Hippocampus,0.743216,0.789495,0.9413815160324005
Inferior_frontal_gyrus,0.797243,0.805723,0.9894752911360357
Inferolateral_remainder_of_parietal_lobe,0.688914,0.66697,1.032901030031336
Insula,0.886272,0.889998,0.9958134737381432
Lateral_remainder_of_occipital_lobe,0.702634,0.722429,0.9725993834688254
Lateral_ventricle_excluding_temporal_horn,0.466441,0.435928,1.0699955038446716
Lateral_ventricle_temporal_horn,0.776186,0.560716,1.384276532148182
Lingual_gyrus,0.83051,0.776514,1.0695364153125377
Middle_and_inferior_temporal_gyri,0.719627,0.749395,0.960277290347547
Middle_frontal_gyrus,0.748845,0.738397,1.0141495699467902
Nucleus_accumbens,0.773408,0.746794,1.0356376725040641
Orbitofrontal_gyri,0.692489,0.714141,0.9696810573822257
Pallidum,0.867353,0.820489,1.0571171581824985
Parahippocampal_and_ambient_gyri,0.638083,0.674389,0.9461646023289229
Postcentral_gyrus,0.664026,0.660703,1.0050294913145543
Posterior_temporal_lobe,0.765906,0.792218,0.9667869197619847
Precentral_gyrus,0.726755,0.723062,1.0051074458345204
Putamen,0.85055,0.849097,1.001711229694605
Superior_frontal_gyrus,0.76997,0.801427,0.9607487643915167
Superior_parietal_gyrus,0.674987,0.672701,1.003398240823189
Superior_temporal_gyrus,0.764281,0.800756,0.954449295415832
Thalamus,0.811983,0.811783,1.0002463712593144
Amygdala,0.512042,0.489409,1.0462455737430247
Anterior_temporal_lobe_lateral_part,0.69067,0.654122,1.055873369188011
Anterior_temporal_lobe_medial_part,0.560431,0.518852,1.0801365321902971
Caudate_nucleus,0.384517,0.407027,0.944696543472546
Cerebellum,0.548456,0.540096,1.0154787297073113
Cuneus,0.554701,0.567322,0.9777533746267552
Fusiform_gyrus,0.467726,0.543104,0.8612089028988922
Gyrus_cinguli_anterior_part,0.705849,0.670568,1.052613605182472
Gyrus_cinguli_posterior_part,0.715546,0.627182,1.140890523006081
Gyrus_rectus,0.469393,0.420628,1.1159337942314824
Hippocampus,0.487605,0.515228,0.9463868423299976
Inferior_frontal_gyrus,0.590136,0.640054,0.9220097054311043
Inferolateral_remainder_of_parietal_lobe,0.491407,0.49049,1.0018695590124163
Insula,0.538918,0.536987,1.0035959902195026
Lateral_remainder_of_occipital_lobe,0.489643,0.52862,0.926266505240059
Lateral_ventricle_excluding_temporal_horn,0.218139,0.248227,0.8787883670994694
Lateral_ventricle_temporal_horn,0.535309,0.450749,1.1875988632254315
Lingual_gyrus,0.516622,0.463606,1.114355724472936
Middle_and_inferior_temporal_gyri,0.529338,0.571024,0.9269978144526324
Middle_frontal_gyrus,0.460442,0.463751,0.9928647054130342
Nucleus_accumbens,0.439843,0.476628,0.9228224107689854
Orbitofrontal_gyri,0.493474,0.513466,0.9610646079779382
Pallidum,0.502814,0.478694,1.0503870948873393
Parahippocampal_and_ambient_gyri,0.387983,0.454565,0.8535258983863694
Postcentral_gyrus,0.475128,0.466909,1.0176030018697433
Posterior_temporal_lobe,0.435701,0.448567,0.9713175512242319
Precentral_gyrus,0.518337,0.489663,1.0585586413512968
Putamen,0.704989,0.678374,1.0392335201526002
Superior_frontal_gyrus,0.517959,0.514954,1.0058354726829968
Superior_parietal_gyrus,0.475396,0.483885,0.9824565754259793
Superior_temporal_gyrus,0.571515,0.58561,0.9759310804118783
Thalamus,0.38239,0.400261,0.9553516330594288
