Region,Left,Right,Ratio
Amygdala,0.836142,0.826864,1.0112207086050427
Anterior_temporal_lobe_lateral_part,0.70632,0.743922,0.949454378281594
Anterior_temporal_lobe_medial_part,0.654047,0.717135,0.9120277214192587
Caudate_nucleus,0.598097,0.605281,0.9881311324822686
Cerebellum,0.777085,0.828427,0.9380247143079595
Cuneus,0.711677,0.719247,0.9894751038238603
Fusiform_gyrus,0.670566,0.704492,0.9518433140475691
Gyrus_cinguli_anterior_part,0.935972,0.939304,0.9964526926319913
Gyrus_cinguli_posterior_part,0.926878,0.865603,1.0707888027190293
Gyrus_rectus,0.763762,0.702224,1.08763300599239
Hippocampus,0.733491,0.777805,0.9430268512030651
Inferior_frontal_gyrus,0.78175,0.792868,0.9859774893172634
Inferolateral_remainder_of_parietal_lobe,0.674366,0.65442,1.0304788973442132
Insula,0.874144,0.876099,0.9977685170283268
Lateral_remainder_of_occipital_lobe,0.686502,0.707051,0.9709370328307293
Lateral_ventricle_excluding_temporal_horn,0.454007,0.418699,1.0843278823211902
Lateral_ventricle_temporal_horn,0.760395,0.562413,1.352022446138336
Lingual_gyrus,0.817283,0.763929,1.069841569046338
Middle_and_inferior_temporal_gyri,0.708308,0.736992,0.9610796318006166
Middle_frontal_gyrus,0.732028,0.722599,1.0130487310389302
Nucleus_accumbens,0.748079,0.718644,1.0409590840527438
Orbitofrontal_gyri,0.684029,0.70449,0.9709562946244802
Pallidum,0.851904,0.79796,1.0676023860845154
Parahippocampal_and_ambient_gyri,0.625895,0.661262,0.946515904437273
Postcentral_gyrus,0.648657,0.646742,1.0029609952655
Posterior_temporal_lobe,0.751043,0.77874,0.9644335721807022
Precentral_gyrus,0.712109,0.709034,1.0043368865244826
Putamen,0.840664,0.837994,1.0031861803306468
Superior_frontal_gyrus,0.755975,0.788602,0.9586267851210115
Superior_parietal_gyrus,0.661839,0.661803,1.0000543968522353
Superior_temporal_gyrus,0.752446,0.787127,0.9559397657557166
Thalamus,0.790979,0.789018,1.0024853678876782
Amygdala,0.512816,0.495604,1.0347293403604492
Anterior_temporal_lobe_lateral_part,0.7035,0.666799,1.0550405744459725
Anterior_temporal_lobe_medial_part,0.568987,0.5295,1.0745741265344666
Caudate_nucleus,0.385451,0.406497,0.94822594016684
Cerebellum,0.558291,0.549673,1.0156784124379403
Cuneus,0.564726,0.58027,0.9732124700570424
Fusiform_gyrus,0.48094,0.549453,0.8753068961312432
Gyrus_cinguli_anterior_part,0.714433,0.683247,1.045643815486932
Gyrus_cinguli_posterior_part,0.72325,0.644015,1.1230328486137744
Gyrus_rectus,0.484164,0.435523,1.1116841131237616
Hippocampus,0.490394,0.518803,0.9452412572787744
Inferior_frontal_gyrus,0.602272,0.650217,0.9262630783261588
Inferolateral_remainder_of_parietal_lobe,0.499651,0.497495,1.004333711896602
Insula,0.553877,0.549008,1.0088687232244338
Lateral_remainder_of_occipital_lobe,0.49881,0.535234,0.9319475220184069
Lateral_ventricle_excluding_temporal_horn,0.227955,0.254542,0.8955496538881599
Lateral_ventricle_temporal_horn,0.53166,0.454846,1.16887913711454
Lingual_gyrus,0.521578,0.472252,1.1044484724257388
Middle_and_inferior_temporal_gyri,0.53894,0.579235,0.9304341070549949
Middle_frontal_gyrus,0.469242,0.470853,0.99657854999331
Nucleus_accumbens,0.442736,0.467521,0.9469863385815824
Orbitofrontal_gyri,0.504289,0.522067,0.9659468995358834
Pallidum,0.519252,0.490178,1.0593131474688788
Parahippocampal_and_ambient_gyri,0.402902,0.465238,0.8660126644857041
Postcentral_gyrus,0.483722,0.474326,1.0198091607881499
Posterior_temporal_lobe,0.442943,0.455766,0.9718649482409832
Precentral_gyrus,0.527483,0.498809,1.057484929101119
Putamen,0.725363,0.697035,1.0406407138809386
Superior_frontal_gyrus,0.529846,0.529103,1.0014042634420899
Superior_parietal_gyrus,0.482814,0.491801,0.9817263486654155
Superior_temporal_gyrus,0.584877,0.602146,0.9713209088825634
Thalamus,0.388207,0.404363,0.9600458004317903
