Region,Left,Right,Ratio
Amygdala,1.00053,0.986922,1.0137883236973133
Anterior_temporal_lobe_lateral_part,0.832363,0.865315,0.9619190699340703
Anterior_temporal_lobe_medial_part,0.778869,0.839635,0.9276280764856157
Caudate_nucleus,0.722973,0.733549,0.985582421896833
Cerebellum,0.878345,0.929551,0.9449131892709491
Cuneus,0.800655,0.806014,0.9933512321125936
Fusiform_gyrus,0.79331,0.817187,0.9707814735183011
Gyrus_cinguli_anterior_part,1.04291,1.0458,0.9972365653088544
Gyrus_cinguli_posterior_part,1.07751,0.992362,1.0858033661103508
Gyrus_rectus,0.882518,0.811586,1.0873992404994666
Hippocampus,0.86422,0.91977,0.9396044663339748
Inferior_frontal_gyrus,0.884398,0.892263,0.9911853343689024
Inferolateral_remainder_of_parietal_lobe,0.774647,0.752037,1.0300650100992372
Insula,0.986628,0.992768,0.9938152720474471
Lateral_remainder_of_occipital_lobe,0.790298,0.808266,0.977769694630233
Lateral_ventricle_excluding_temporal_horn,0.586241,0.547241,1.0712665900398546
Lateral_ventricle_temporal_horn,0.913023,0.662829,1.3774638707720996
Lingual_gyrus,0.923064,0.851681,1.0838142450048787
Middle_and_inferior_temporal_gyri,0.818757,0.847256,0.9663631771271021
Middle_frontal_gyrus,0.831121,0.82613,1.0060414220522194
Nucleus_accumbens,0.884333,0.854244,1.0352229573751761
Orbitofrontal_gyri,0.786143,0.809513,0.9711307909817384
Pallidum,0.987456,0.920621,1.072597735658865
Parahippocampal_and_ambient_gyri,0.743446,0.771869,0.9631763939217666
Postcentral_gyrus,0.749091,0.748381,1.0009487146253044
Posterior_temporal_lobe,0.8593,0.885795,0.9700890160815989
Precentral_gyrus,0.820903,0.816854,1.0049568221493683
Putamen,0.971352,0.965997,1.005543495476694
Superior_frontal_gyrus,0.852375,0.885221,0.9628951414392564
Superior_parietal_gyrus,0.766466,0.760501,1.0078435136837427
Superior_temporal_gyrus,0.854817,0.891829,0.9584987705042111
Thalamus,0.955384,0.951677,1.0038952291586327
Amygdala,0.616888,0.584039,1.0562445316151832
Anterior_temporal_lobe_lateral_part,0.763323,0.712476,1.0713666144543816
Anterior_temporal_lobe_medial_part,0.655828,0.594964,1.1022986264715176
Caudate_nucleus,0.489848,0.517564,0.9464491347929918
Cerebellum,0.618421,0.604858,1.0224234448415992
Cuneus,0.629214,0.630612,0.9977831059351869
Fusiform_gyrus,0.560804,0.633053,0.8858721149729959
Gyrus_cinguli_anterior_part,0.796223,0.762346,1.044437827443182
Gyrus_cinguli_posterior_part,0.849679,0.752009,1.129878764748826
Gyrus_rectus,0.576439,0.52424,1.0995708072638486
Hippocampus,0.589231,0.611937,0.9628948731650481
Inferior_frontal_gyrus,0.641164,0.696412,0.920667650758459
Inferolateral_remainder_of_parietal_lobe,0.571392,0.569652,1.003054496429399
Insula,0.634609,0.630836,1.0059809522601755
Lateral_remainder_of_occipital_lobe,0.544369,0.584913,0.9306837085173351
Lateral_ventricle_excluding_temporal_horn,0.336934,0.365027,0.923038569749635
Lateral_ventricle_temporal_horn,0.633781,0.531987,1.1913467810303637
Lingual_gyrus,0.596125,0.529751,1.1252928262523338
Middle_and_inferior_temporal_gyri,0.589266,0.633161,0.93067324108718
Middle_frontal_gyrus,0.518201,0.521117,0.9944043276270011
Nucleus_accumbens,0.533279,0.562709,0.9476994325663886
Orbitofrontal_gyri,0.559723,0.57181,0.9788618597086444
Pallidum,0.612106,0.588349,1.0403790947209905
Parahippocampal_and_ambient_gyri,0.49185,0.558145,0.8812226213618325
Postcentral_gyrus,0.562865,0.554644,1.014822120134717
Posterior_temporal_lobe,0.518811,0.527042,0.9843826488211566
Precentral_gyrus,0.603447,0.578654,1.04284598395587
Putamen,0.822751,0.795986,1.0336249632531227
Superior_frontal_gyrus,0.583899,0.578686,1.0090083395831244
Superior_parietal_gyrus,0.562971,0.569284,0.9889106316003963
Superior_temporal_gyrus,0.647874,0.6585,0.9838633257403189
Thalamus,0.500684,0.521171,0.960690445170587
