Region,Left,Right,Ratio
Amygdala,0.935947,0.920585,1.016687215194686
Anterior_temporal_lobe_lateral_part,0.802675,0.842594,0.9526236835296715
Anterior_temporal_lobe_medial_part,0.72284,0.785449,0.9202889048174994
Caudate_nucleus,0.731811,0.740875,0.987765817445588
Cerebellum,0.832923,0.88824,0.9377229127262902
Cuneus,0.768926,0.779408,0.9865513312668076
Fusiform_gyrus,0.736027,0.772428,0.9528745721284054
Gyrus_cinguli_anterior_part,0.98507,0.985955,0.9991023931112475
Gyrus_cinguli_posterior_part,0.991949,0.899875,1.1023186553688011
Gyrus_rectus,0.84,0.776276,1.0820893599699075
Hippocampus,0.816482,0.869183,0.9393671988522555
Inferior_frontal_gyrus,0.860562,0.869367,0.9898719413090215
Inferolateral_remainder_of_parietal_lobe,0.740354,0.721702,1.0258444621187137
Insula,0.936305,0.946479,0.9892506859634499
Lateral_remainder_of_occipital_lobe,0.77787,0.799898,0.972461488839827
Lateral_ventricle_excluding_temporal_horn,0.520814,0.491724,1.0591592031302113
Lateral_ventricle_temporal_horn,0.846612,0.561848,1.5068345887143855
Lingual_gyrus,0.877526,0.829006,1.0585279238027228
Middle_and_inferior_temporal_gyri,0.782358,0.821132,0.9527798210275571
Middle_frontal_gyrus,0.810887,0.806397,1.0055679770634067
Nucleus_accumbens,0.878842,0.849934,1.0340120527005627
Orbitofrontal_gyri,0.771897,0.795307,0.9705648259099946
Pallidum,0.943672,0.906767,1.040699540234702
Parahippocampal_and_ambient_gyri,0.705373,0.736415,0.9578471378231025
Postcentral_gyrus,0.714235,0.712634,1.0022465950263388
Posterior_temporal_lobe,0.828967,0.858914,0.9651338783626766
Precentral_gyrus,0.773046,0.770682,1.0030674130185993
Putamen,0.896715,0.891096,1.0063057179024482
Superior_frontal_gyrus,0.818215,0.845377,0.9678699562443738
Superior_parietal_gyrus,0.714667,0.710748,1.0055139092899312
Superior_temporal_gyrus,0.816224,0.862814,0.9460022670007673
Thalamus,0.8823,0.88475,0.9972308561740604
Amygdala,0.464168,0.433698,1.0702562612693627
Anterior_temporal_lobe_lateral_part,0.629823,0.5836,1.07920322138451
Anterior_temporal_lobe_medial_part,0.533272,0.482347,1.105577519918233
Caudate_nucleus,0.361247,0.388895,0.928906260044485
Cerebellum,0.493271,0.484912,1.017238179298512
Cuneus,0.507983,0.514105,0.9880919267464816
Fusiform_gyrus,0.423026,0.509216,0.8307398039338906
Gyrus_cinguli_anterior_part,0.654105,0.623589,1.048936078089896
Gyrus_cinguli_posterior_part,0.697264,0.582223,1.1975892398617023
Gyrus_rectus,0.427522,0.387227,1.1040604090107353
Hippocampus,0.459729,0.486697,0.9445897550221185
Inferior_frontal_gyrus,0.519409,0.565121,0.9191111284132071
Inferolateral_remainder_of_parietal_lobe,0.454291,0.453341,1.0020955527957984
Insula,0.478495,0.475248,1.0068322223344444
Lateral_remainder_of_occipital_lobe,0.440226,0.479718,0.9176766350230761
Lateral_ventricle_excluding_temporal_horn,0.190657,0.227109,0.8394955726105086
Lateral_ventricle_temporal_horn,0.506051,0.413768,1.223030780534019
Lingual_gyrus,0.481416,0.42174,1.1414995020628824
Middle_and_inferior_temporal_gyri,0.475306,0.515271,0.9224388719722243
Middle_frontal_gyrus,0.417059,0.420203,0.9925179020616226
Nucleus_accumbens,0.422042,0.481128,0.8771927636720374
Orbitofrontal_gyri,0.431358,0.458153,0.9415151706962522
Pallidum,0.457846,0.426796,1.0727513847365018
Parahippocampal_and_ambient_gyri,0.335448,0.404597,0.8290916640508952
Postcentral_gyrus,0.435868,0.432759,1.0071841371294414
Posterior_temporal_lobe,0.39701,0.404765,0.9808407347473225
Precentral_gyrus,0.479994,0.451328,1.0635147830402722
Putamen,0.630021,0.597756,1.053976873506916
Superior_frontal_gyrus,0.465525,0.455931,1.0210426577705838
Superior_parietal_gyrus,0.443418,0.450782,0.983663943990665
Superior_temporal_gyrus,0.504875,0.508606,0.9926642627102314
Thalamus,0.346209,0.368888,0.9385206349894819
